Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,25.16,2387.19,23.8719,93.25,3.90,205.98,0.1110,2.80,7.03,1.9392,No,0.8
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,25.16,2387.19,23.8719,93.25,3.90,205.98,0.1110,2.80,7.03,1.9392,Yes,0.8
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,25.16,2387.19,23.8719,93.25,3.90,205.98,0.1110,2.80,7.03,1.9392,Yes,0.85
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,25.16,2387.19,23.8719,93.25,3.90,205.98,0.1110,2.80,7.03,1.9392,Yes,0.85
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,25.16,2387.19,23.8719,93.25,3.90,205.98,0.1110,2.80,7.03,1.9392,Yes,0.85
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.84,2275.71,22.7571,88.69,3.89,205.74,0.1057,2.80,7.03,1.9168,No,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.84,2275.71,22.7571,88.69,3.89,205.74,0.1057,2.80,7.03,1.9168,Yes,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.84,2275.71,22.7571,88.69,3.89,205.74,0.1057,2.80,7.03,1.9168,Yes,0.85
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.84,2275.71,22.7571,88.69,3.89,205.74,0.1057,2.80,7.03,1.9168,Yes,0.85
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.84,2275.71,22.7571,88.69,3.89,205.74,0.1057,2.80,7.03,1.9168,Yes,0.85
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.81,2262.93,22.6293,88.40,3.90,205.60,0.1052,2.80,7.03,1.9159,No,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.81,2262.93,22.6293,88.40,3.90,205.60,0.1052,2.80,7.03,1.9159,Yes,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.81,2262.93,22.6293,88.40,3.90,205.60,0.1052,2.80,7.03,1.9159,Yes,0.85
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.81,2262.93,22.6293,88.40,3.90,205.60,0.1052,2.80,7.03,1.9159,Yes,0.85
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.81,2262.93,22.6293,88.40,3.90,205.60,0.1052,2.80,7.03,1.9159,Yes,0.85
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.82,2244.24,22.4424,92.83,4.13,206.05,0.1041,3.13,7.01,1.9125,No,0.8
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.82,2244.24,22.4424,92.83,4.13,206.05,0.1041,3.13,7.01,1.9125,Yes,0.8
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.82,2244.24,22.4424,92.83,4.13,206.05,0.1041,3.13,7.01,1.9125,Yes,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.61,2192.50,21.9250,85.51,3.89,205.49,0.1018,2.80,7.03,1.9011,No,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.61,2192.50,21.9250,85.51,3.89,205.49,0.1018,2.80,7.03,1.9011,Yes,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.61,2192.50,21.9250,85.51,3.89,205.49,0.1018,2.80,7.03,1.9011,Yes,0.85
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.61,2192.50,21.9250,85.51,3.89,205.49,0.1018,2.80,7.03,1.9011,Yes,0.85
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,192,54.69,24.61,2192.50,21.9250,85.51,3.89,205.49,0.1018,2.80,7.03,1.9011,Yes,0.85
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.69,2190.80,21.9080,90.96,4.14,206.08,0.1015,3.26,7.01,1.9022,No,0.8
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.50,2139.28,21.3928,88.28,4.12,205.81,0.0991,3.13,7.01,1.8901,No,0.8
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.50,2139.28,21.3928,88.28,4.12,205.81,0.0991,3.13,7.01,1.8901,Yes,0.8
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.50,2139.28,21.3928,88.28,4.12,205.81,0.0991,3.13,7.01,1.8901,Yes,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.48,2127.15,21.2715,87.99,4.13,205.66,0.0986,3.13,7.01,1.8892,No,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.48,2127.15,21.2715,87.99,4.13,205.66,0.0986,3.13,7.01,1.8892,Yes,0.8
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.48,2127.15,21.2715,87.99,4.13,205.66,0.0986,3.13,7.01,1.8892,Yes,0.8
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.37,2088.25,20.8825,86.50,4.13,205.84,0.0966,3.26,7.01,1.8798,No,0.8
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.35,2076.33,20.7633,86.21,4.14,205.69,0.0961,3.26,7.01,1.8789,No,0.8
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.27,2060.88,20.6088,85.11,4.12,205.55,0.0954,3.13,7.01,1.8744,No,0.8
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.27,2060.88,20.6088,85.11,4.12,205.55,0.0954,3.13,7.01,1.8744,Yes,0.8
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,192,54.69,24.27,2060.88,20.6088,85.11,4.12,205.55,0.0954,3.13,7.01,1.8744,Yes,0.8
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,192,54.69,24.14,2011.60,20.1160,83.39,4.13,205.58,0.0930,3.26,7.01,1.8641,No,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_NoClamp,192,51.04,22.92,1607.06,16.0706,131.29,8.15,205.72,0.0733,2.99,7.19,1.7685,No,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp80,192,51.04,22.92,1607.06,16.0706,131.29,8.15,205.72,0.0733,2.99,7.19,1.7685,Yes,0.8
PT1.5_SL15_TS15@1.5_NoExitCross_KijunSL_Clamp85,192,51.04,22.92,1607.06,16.0706,131.29,8.15,205.72,0.0733,2.99,7.19,1.7685,Yes,0.85
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp85,192,51.04,22.92,1607.06,16.0706,131.29,8.15,205.72,0.0733,2.99,7.19,1.7685,Yes,0.85
