TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,489491o1vxGSfViAioSdAdoktbe6XZtaKo1wN63Ybonk,2025-07-19T22:31:00.000Z,2025-07-20T16:00:00.000+10:00,2025-07-20T18:00:00.000+10:00,1.183299,18.33,1.0000,120,Yes
2,CThsTJ1GKnPT1LEaifwmwcP2gVvJfmZDyM81GjGYpump,2025-07-19T23:31:30.000Z,2025-07-20T20:00:00.000+10:00,2025-07-20T22:00:00.000+10:00,0.800000,-20.00,1.0706,120,No
3,ARcJ4zY7RGuHhDUMdpsSzNnV9Fy35Bfy8qLjpYmbonk,2025-07-20T00:03:09.000Z,2025-07-21T03:00:00.000+10:00,2025-07-21T07:00:00.000+10:00,1.229009,22.90,1.5004,240,Yes
4,4Cg3fnMky4Y8UTmCRVboo5ARzmeJ9PCTKVjzqNDzbonk,2025-07-20T02:12:44.000Z,2025-07-21T08:00:00.000+10:00,2025-07-21T10:00:00.000+10:00,0.917591,-8.24,1.0000,120,No
5,647ZKwBb6uxnGMEhW1xH8Nb2NwMJAXdvRSDysdwgbonk,2025-07-20T03:33:06.000Z,2025-07-21T12:00:00.000+10:00,2025-07-22T06:00:00.000+10:00,1.000000,0.00,1.0000,1080,No
6,HbQmL7wEBepWBrf3aUvavG7ojKmZFoUuLY9F8rtEbonk,2025-07-23T01:24:32.000Z,2025-07-25T05:00:00.000+10:00,2025-07-25T07:00:00.000+10:00,1.105312,10.53,1.0000,120,Yes
7,HGL8ceyDesmctaWPjXEStfhtTPtrw8c1WQCPERxRbonk,2025-07-31T16:59:50.000Z,2025-08-01T14:00:00.000+10:00,2025-08-01T16:00:00.000+10:00,1.041377,4.14,1.0000,120,Yes
8,Arz4FEoHgmYFGqkpQYhTUGjvHGoahJbtzTUqFeJLbonk,2025-07-31T19:19:04.000Z,2025-08-02T18:00:00.000+10:00,2025-08-02T19:00:00.000+10:00,1.032166,3.22,1.3148,60,Yes
9,6RVSfgQgRPvqjjzD5UFnhZZAQE8oJYQXHuEmZSkvbonk,2025-08-03T15:23:35.000Z,2025-08-04T18:00:00.000+10:00,2025-08-04T20:00:00.000+10:00,1.236878,23.69,1.0000,120,Yes
10,AZsaBkL5ywWYL8aEqnD9gx8wiSScV1QFtCstzeCLbonk,2025-08-04T01:24:24.000Z,2025-08-06T16:00:00.000+10:00,2025-08-06T17:00:00.000+10:00,1.178527,17.85,1.0183,60,Yes
