priority,quality_score,mint,chain,alert_count,has_duplicates,duplicate_count,has_gaps,gap_count,has_distortions,distortion_count,callers
medium,70.0,GxzvWxCzNN3MTEZzTRx7RnP3yg4dmD8Ez8Ssu8wSbonk,solana,4,False,0,False,0,True,3720,
medium,70.0,6T7xYGQxtSRjKFpJHvX1ondUnULLLyx8iKsGmM7Xbonk,solana,4,False,0,False,0,True,6957,
medium,70.0,dgU3DSSTFyHx4j5MKx94V3BB6jMse7EQpGDi6zUuULt,solana,4,False,0,False,0,True,7356,
medium,70.0,2TobP67e8TXkGAqcSQpu9WJPeBnKKZxAnHN518qxbonk,solana,4,False,0,False,0,True,7513,
medium,70.0,FjoHttjKHeuycYZA38xCBeYLyLxuf1tTY72RLackpump,solana,4,False,0,False,0,True,8434,
medium,70.0,7iqRq48RjwPzXHEarqSiYW53jqrKfuLPJd8z6S9Ybonk,solana,4,False,0,False,0,True,5441,
medium,70.0,71B6bJU6nAFrEJfRyvhToR4r9qA3H7tY2whvup4ibonk,solana,4,False,0,False,0,True,8895,
medium,70.0,G95Ymh2s4qSkKA6mdegcEu4qf2QWk1A1a7c85Kg7eBLV,solana,4,False,0,False,0,True,8129,
medium,70.0,ATvV475xNu3qZe6ZFcuHeieftruYxHbvnGbZPqoPjups,solana,4,False,0,False,0,True,5039,
medium,70.0,6NWctRoMdzNjEwNqHmQv5b1nEi5XURek63wDdrawsBLV,solana,4,False,0,False,0,True,8549,
medium,70.0,44vNZ1MKwcmjDgN4WW8yCbPMEer8jNVGhyeUm83o4TN2,solana,4,False,0,False,0,True,4999,
medium,70.0,3Y7uP2UhEE68dpyAmWfXc7biSQmQqQonCiyDp6KYpump,solana,4,False,0,False,0,True,2142,
medium,70.0,5tmCnHXMeNeXP1VbZmZrNPFriqLYxuGtRZRc3AL9pump,solana,4,False,0,False,0,True,4357,
medium,70.0,B4VPrWzFCegrnGge4KvgNMPaZfkc37s3xaz5T4Xwpump,solana,4,False,0,False,0,True,4165,
medium,70.0,Hqh1ysr1hUhS7ZMFjRBDSgAgx5QsHaRx9gauGnpNpump,solana,4,False,0,False,0,True,3855,
medium,70.0,8BmHnfjHKkWKTBroPMXdr617VLSzMjdUQYaMUcJfpump,solana,4,False,0,False,0,True,3365,
medium,70.0,5T6bWCA3pY1B9V6Dw3ndX99jsuEgkRJqoMeD5muBpump,solana,4,False,0,False,0,True,2944,
medium,70.0,9p7EwSQDibG35mgZq6jucRDub16euT4YxvaVRx73fhYU,solana,4,False,0,False,0,True,4992,
medium,70.0,EzVkdRYRACWKQeY7fHg4BBL7gx8WC5DvNxWm4ZA2pump,solana,4,False,0,False,0,True,4272,
medium,70.0,CK9H4BAg9MHpjncNwaoRLiLZeDHUzii7EdA2AS1pump,solana,4,False,0,False,0,True,5605,
medium,70.0,2N7AHJHKTW7E1gFQi52jC9nzUucXSLYc3h6KBEoPoCu5,solana,4,False,0,False,0,True,4997,
medium,70.0,AFMyfmGLmZ7VGfqbQ3aUaHtNQnH3mE4T1foJyimppump,solana,4,False,0,False,0,True,2096,
