title,year,lot_id,price_text,location_text,time_text,url,source_page
2013 Jeep Grand Cherokee Limited WK Automatic - 8 Speed Wagon,2013,21061267,"$4,800",VIC,,https://www.grays.com/lot/0001-21061267/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-limited-wk-automatic-8-speed-wagon,1
2017 Land Rover Discovery 2.0 SD4 SE SERIES 5 Auto - 8 Speed 7 Seats Wagon,2017,21061172,"$4,100",VIC,,https://www.grays.com/lot/0001-21061172/motor-vehicles-motor-cycles/2017-land-rover-discovery-2-0-sd4-se-series-5-auto-8-speed-7-seats-wagon,1
Volkswagen Transporter LWB 2.5 TDI 128kW T5 Turbo Diesel Automatic Van,,21061249,"$3,109",VIC,,https://www.grays.com/lot/0001-21061249/motor-vehicles-motor-cycles/volkswagen-transporter-lwb-2-5-tdi-128kw-t5-turbo-diesel-automatic-van,1
2014 Renault CAPTUR Dynamique Automatic Wagon,2014,21061324,"$2,409",VIC,,https://www.grays.com/lot/0001-21061324/motor-vehicles-motor-cycles/2014-renault-captur-dynamique-automatic-wagon,1
2013 Volkswagen Golf 90TSI A7 Automatic Hatchback,2013,21061000,"$2,100",VIC,,https://www.grays.com/lot/0001-21061000/motor-vehicles-motor-cycles/2013-volkswagen-golf-90tsi-a7-automatic-hatchback,1
BMW 3 Series Touring 320i EXEC. E91 Automatic Wagon,,21061255,"$2,050",VIC,,https://www.grays.com/lot/0001-21061255/motor-vehicles-motor-cycles/bmw-3-series-touring-320i-exec-e91-automatic-wagon,1
2009 Mitsubishi Lancer ES CJ CVT Sedan,2009,21061263,"$2,009",VIC,,https://www.grays.com/lot/0001-21061263/motor-vehicles-motor-cycles/2009-mitsubishi-lancer-es-cj-cvt-sedan,1
2017 Land Rover Discovery 2.0 TD4 SE SERIES 5 Turbo Diesel Auto 7 Seats,2017,21061164,"$10,000",VIC,,https://www.grays.com/lot/0001-21061164/motor-vehicles-motor-cycles/2017-land-rover-discovery-2-0-td4-se-series-5-turbo-diesel-auto-7-seats,1
2012 Mazda BT-50 4X2 XT Turbo Diesel Tipper Tray Cab Chassis,2012,21061024,"$8,500",VIC,,https://www.grays.com/lot/0001-21061024/motor-vehicles-motor-cycles/2012-mazda-bt-50-4x2-xt-turbo-diesel-tipper-tray-cab-chassis,1
2013 Holden Colorado 4X4 LX RG Turbo Diesel Manual Crew Cab Chassis,2013,21061250,"$3,200",VIC,,https://www.grays.com/lot/0001-21061250/motor-vehicles-motor-cycles/2013-holden-colorado-4x4-lx-rg-turbo-diesel-manual-crew-cab-chassis,1
2011 Ford Falcon G6 FG II Automatic Sedan,2011,21061261,"$1,909",VIC,,https://www.grays.com/lot/0001-21061261/motor-vehicles-motor-cycles/2011-ford-falcon-g6-fg-ii-automatic-sedan,1
