Strategy,Total PnL %,Total Trades,Win Rate %,Avg Win,Avg Loss,Profit Factor,Sharpe Ratio,Max Drawdown %,Trailing Stop %,Stop Activation,Min Exit %,Profit Targets
"Strategy_283","-14.08","238","38.66","0.8795","0.7836","0.71","-0.13","92.33","35","2.0x","10","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_211","-14.16","238","38.66","0.9358","0.8205","0.72","-0.13","82.33","30","2.0x","2","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1632","-14.21","238","24.79","1.8871","0.8109","0.77","-0.10","93.81","25","3.0x","5","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_210","-14.23","238","38.66","0.9358","0.8216","0.72","-0.13","81.75","30","2.0x","1","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_3335","-14.23","238","20.17","2.1350","0.7177","0.75","-0.10","94.85","40","4.0x","20","[{""target"":4,""percent"":0.1}]"
"Strategy_2406","-14.33","238","24.79","1.3704","0.6423","0.70","-0.13","99.35","45","3.0x","30","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_162","-14.37","238","24.79","1.7793","0.7775","0.75","-0.11","89.26","25","3.0x","5","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1416","-14.46","238","29.83","1.0163","0.6381","0.68","-0.15","99.82","45","2.5x","30","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_354","-14.48","238","38.66","0.8176","0.7512","0.69","-0.14","96.14","40","2.0x","15","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_2931","-14.52","238","17.23","3.0657","0.8134","0.78","-0.06","99.54","45","5.0x","2","[{""target"":5,""percent"":0.05}]"
"Strategy_844","-14.59","238","38.66","0.8147","0.7512","0.68","-0.15","96.34","40","2.0x","15","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_2930","-14.59","238","17.23","3.0657","0.8143","0.78","-0.06","99.75","45","5.0x","1","[{""target"":5,""percent"":0.05}]"
"Strategy_1131","-14.65","238","29.83","1.4300","0.8168","0.74","-0.11","84.37","25","2.5x","2","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_2122","-14.66","238","24.79","1.8690","0.8109","0.76","-0.10","93.34","25","3.0x","5","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_1951","-14.69","238","17.23","2.9952","0.8009","0.78","-0.06","99.98","45","5.0x","2","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_1130","-14.72","238","29.83","1.4300","0.8178","0.74","-0.11","83.81","25","2.5x","1","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1461","-14.72","238","17.23","2.8859","0.7785","0.77","-0.06","99.17","45","5.0x","2","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1916","-14.75","238","24.79","1.3534","0.6423","0.69","-0.13","99.93","45","3.0x","30","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_1950","-14.76","238","17.23","2.9952","0.8017","0.78","-0.06","99.22","45","5.0x","1","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_481","-14.77","238","17.65","2.6461","0.7464","0.76","-0.07","98.84","45","5.0x","2","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_742","-14.79","238","20.59","2.1728","0.7495","0.75","-0.10","82.75","30","4.0x","5","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_1460","-14.79","238","17.23","2.8859","0.7793","0.77","-0.07","98.42","45","5.0x","1","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_480","-14.84","238","17.65","2.6461","0.7472","0.76","-0.07","99.87","45","5.0x","1","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1631","-14.90","238","24.79","1.8871","0.8200","0.76","-0.10","93.20","25","3.0x","2","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_1630","-14.97","238","24.79","1.8871","0.8210","0.76","-0.10","92.57","25","3.0x","1","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_161","-15.05","238","24.79","1.7793","0.7865","0.75","-0.11","88.76","25","3.0x","2","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_160","-15.12","238","24.79","1.7793","0.7875","0.74","-0.11","88.16","25","3.0x","1","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_813","-15.22","238","20.59","2.0572","0.7250","0.74","-0.11","86.52","35","4.0x","10","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_3192","-15.23","238","20.17","2.4425","0.8079","0.76","-0.10","88.53","30","4.0x","5","[{""target"":4,""percent"":0.1}]"
"Strategy_884","-15.26","238","20.59","1.9385","0.6947","0.72","-0.12","89.46","40","4.0x","15","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_304","-15.28","238","24.79","1.5712","0.7210","0.72","-0.13","98.97","35","3.0x","15","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_233","-15.29","238","24.79","1.6651","0.7521","0.73","-0.12","95.53","30","3.0x","10","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_2121","-15.34","238","24.79","1.8690","0.8200","0.75","-0.11","92.74","25","3.0x","2","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_1274","-15.36","238","29.83","1.2462","0.7487","0.71","-0.13","99.00","35","2.5x","15","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_2120","-15.42","238","24.79","1.8690","0.8210","0.75","-0.11","92.11","25","3.0x","1","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_1203","-15.44","238","29.83","1.3193","0.7809","0.72","-0.12","93.56","30","2.5x","10","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_741","-15.47","238","20.59","2.1728","0.7581","0.74","-0.11","82.44","30","4.0x","2","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_740","-15.54","238","20.59","2.1728","0.7590","0.74","-0.11","81.86","30","4.0x","1","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_772","-15.58","238","38.66","0.8831","0.8105","0.69","-0.14","92.37","35","2.0x","5","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_282","-15.72","238","38.66","0.8795","0.8105","0.68","-0.14","93.11","35","2.0x","5","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1703","-15.72","238","24.79","1.7478","0.7852","0.73","-0.11","99.11","30","3.0x","10","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_375","-15.74","238","24.79","1.4486","0.6868","0.70","-0.14","99.97","40","3.0x","20","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_3191","-15.93","238","20.17","2.4425","0.8166","0.76","-0.10","88.08","30","4.0x","2","[{""target"":4,""percent"":0.1}]"
"Strategy_2193","-15.99","238","24.79","1.7371","0.7852","0.73","-0.12","99.11","30","3.0x","10","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_3190","-16.00","238","20.17","2.4425","0.8175","0.75","-0.10","87.45","30","4.0x","1","[{""target"":4,""percent"":0.1}]"
"Strategy_3405","-16.09","238","20.17","2.0432","0.7177","0.72","-0.12","97.90","45","4.0x","20","[{""target"":4,""percent"":0.1}]"
"Strategy_771","-16.20","238","38.66","0.8831","0.8205","0.68","-0.15","91.56","35","2.0x","2","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_425","-16.22","238","38.66","0.7165","0.7158","0.63","-0.18","99.68","45","2.0x","20","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_770","-16.26","238","38.66","0.8831","0.8216","0.68","-0.15","90.88","35","2.0x","1","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_1774","-16.28","238","24.79","1.6292","0.7535","0.71","-0.13","100.00","35","3.0x","15","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_3263","-16.29","238","20.17","2.2908","0.7828","0.74","-0.11","94.23","35","4.0x","10","[{""target"":4,""percent"":0.1}]"
"Strategy_281","-16.34","238","38.66","0.8795","0.8205","0.68","-0.15","92.28","35","2.0x","2","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_915","-16.34","238","38.66","0.7132","0.7158","0.63","-0.18","99.67","45","2.0x","20","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_280","-16.40","238","38.66","0.8795","0.8216","0.67","-0.15","91.59","35","2.0x","1","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_2264","-16.46","238","24.79","1.6222","0.7535","0.71","-0.13","99.88","35","3.0x","15","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_353","-16.47","238","38.66","0.8176","0.7836","0.66","-0.16","97.69","40","2.0x","10","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_843","-16.58","238","38.66","0.8147","0.7836","0.66","-0.16","97.89","40","2.0x","10","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_1345","-16.64","238","29.83","1.1213","0.7139","0.67","-0.15","99.94","40","2.5x","20","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_954","-16.70","238","20.59","1.8686","0.6947","0.70","-0.14","93.57","45","4.0x","15","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_3334","-16.96","238","20.17","2.1350","0.7518","0.72","-0.12","99.32","40","4.0x","15","[{""target"":4,""percent"":0.1}]"
"Strategy_812","-17.16","238","20.59","2.0572","0.7495","0.71","-0.13","88.50","35","4.0x","5","[{""target"":2,""percent"":0.15},{""target"":4,""percent"":0.15}]"
"Strategy_232","-17.20","238","24.79","1.6651","0.7775","0.71","-0.14","96.78","30","3.0x","5","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1202","-17.30","238","29.83","1.3193","0.8074","0.69","-0.14","94.83","30","2.5x","5","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_2335","-17.37","238","24.79","1.4798","0.7187","0.68","-0.15","99.48","40","3.0x","20","[{""target"":3,""percent"":0.1},{""target"":6,""percent"":0.1}]"
"Strategy_1845","-17.38","238","24.79","1.4793","0.7187","0.68","-0.14","99.87","40","3.0x","20","[{""target"":3,""percent"":0.05},{""target"":5,""percent"":0.05}]"
"Strategy_303","-17.62","238","24.79","1.5712","0.7521","0.69","-0.15","99.59","35","3.0x","10","[{""target"":2,""percent"":0.1},{""target"":3,""percent"":0.1},{""target"":5,""percent"":0.1}]"
"Strategy_1273","-17.62","238","29.83","1.2462","0.7809","0.68","-0.15","99.23","35","2.5x","10","[{""target"":2.5,""percent"":0.1},{""target"":5,""percent"":0.1}]"
