TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-24T10:39:52.000Z,1.000270,10.00,0.00,100.00,100.00,100.00
2,2025-08-09T14:05:35.000Z,0.869418,10.00,-1.31,100.00,98.70,100.00
3,2025-08-09T14:50:14.000Z,1.000000,9.96,0.00,98.70,98.70,99.57
4,2025-08-09T20:02:41.000Z,1.769417,9.93,7.64,98.70,106.34,99.35
5,2025-08-12T13:34:31.000Z,0.986245,10.07,-0.14,106.34,106.20,100.75
6,2025-08-14T22:11:46.000Z,0.984134,10.17,-0.16,106.20,106.04,101.66
7,2025-08-18T21:37:40.000Z,1.108575,10.23,1.11,106.04,107.15,102.28
8,2025-08-20T13:02:47.000Z,1.025817,10.29,0.27,107.15,107.42,102.89
9,2025-08-24T19:16:59.000Z,1.000000,10.34,0.00,107.42,107.42,103.39
10,2025-08-24T20:38:42.000Z,0.985468,10.38,-0.15,107.42,107.27,103.80
11,2025-08-25T13:32:29.000Z,1.113263,10.45,1.18,107.27,108.45,104.52
12,2025-08-26T15:52:24.000Z,1.000000,10.54,0.00,108.45,108.45,105.37
13,2025-08-27T18:55:42.000Z,0.990902,10.63,-0.10,108.45,108.35,106.34
14,2025-08-31T20:28:13.000Z,1.032550,10.73,0.35,108.35,108.70,107.31
15,2025-09-01T12:19:32.000Z,0.996196,10.75,-0.04,108.70,108.66,107.55
16,2025-09-04T16:09:56.000Z,0.926831,10.78,-0.79,108.66,107.87,107.79
17,2025-09-05T14:29:04.000Z,1.000000,10.80,0.00,107.87,107.87,107.97
18,2025-09-05T20:03:38.000Z,1.000000,10.80,0.00,107.87,107.87,108.05
19,2025-09-08T09:53:19.000Z,1.054123,10.81,0.59,107.87,108.46,108.09
20,2025-09-22T16:47:24.000Z,1.009454,10.82,0.10,108.46,108.56,108.20
21,2025-09-25T11:25:34.000Z,0.800000,10.83,-2.17,108.56,106.39,108.33
22,2025-09-25T15:13:17.000Z,1.000000,10.81,0.00,106.39,106.39,108.12
23,2025-10-22T13:50:22.000Z,0.985477,10.79,-0.16,106.39,106.24,107.91
