TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,9dehC9ZwPVnSmk6sBYbwcmxJ3LQkVNpw8D2Y8Bf5pump,2025-08-05T23:57:18.000Z,2025-08-08T10:00:00.000+10:00,2025-08-09T03:00:00.000+10:00,1.000000,0.00,1.0000,1020,No
2,GY15RsMaKYaoD2PJrTCsJ5CV4yJNnN79czKgYK3zpump,2025-10-04T18:59:11.000Z,2025-10-05T21:00:00.000+11:00,2025-10-06T01:00:00.000+11:00,0.905471,-9.45,1.0000,240,No
3,CuFFw6irQnSV48HwdM4mKGauSwEWqTEztL14kShLpump,2025-10-20T17:11:02.000Z,2025-10-21T11:00:00.000+11:00,2025-10-21T14:00:00.000+11:00,0.894937,-10.51,1.0000,180,No
