TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-08-11T15:32:27.000Z,0.817282,10.00,-1.83,100.00,98.17,100.00
2,2025-08-11T15:53:16.000Z,1.000309,9.91,0.00,98.17,98.18,99.09
3,2025-08-11T16:55:00.000Z,1.000533,9.88,0.01,98.18,98.18,98.78
4,2025-08-11T19:25:50.000Z,0.970415,9.86,-0.29,98.18,97.89,98.63
5,2025-08-11T19:30:08.000Z,0.985683,9.85,-0.14,97.89,97.75,98.48
6,2025-08-11T21:13:20.000Z,0.927934,9.84,-0.71,97.75,97.04,98.36
7,2025-08-12T09:36:59.000Z,0.967124,9.82,-0.32,97.04,96.72,98.17
8,2025-08-12T10:05:40.000Z,0.982576,9.80,-0.17,96.72,96.55,97.99
9,2025-08-12T10:26:49.000Z,1.007226,9.78,0.07,96.55,96.62,97.83
10,2025-08-12T10:28:00.000Z,2.086183,9.77,10.61,96.62,107.23,97.71
11,2025-08-12T11:35:19.000Z,0.983972,9.84,-0.16,107.23,107.07,98.43
12,2025-08-12T14:20:15.000Z,1.001209,9.93,0.01,107.07,107.08,99.32
13,2025-08-12T14:48:55.000Z,1.328345,10.02,3.29,107.08,110.37,100.21
14,2025-08-18T17:16:08.000Z,1.005501,10.14,0.06,110.37,110.43,101.43
15,2025-08-18T19:50:57.000Z,1.037396,10.27,0.38,110.43,110.81,102.69
16,2025-08-18T20:49:13.000Z,1.124482,10.40,1.29,110.81,112.11,103.99
17,2025-08-19T10:19:08.000Z,1.000000,10.55,0.00,112.11,112.11,105.50
18,2025-08-19T13:48:39.000Z,0.911980,10.70,-0.94,112.11,111.17,107.04
19,2025-08-20T22:38:38.000Z,1.554178,10.85,6.01,111.17,117.18,108.50
20,2025-08-20T22:57:00.000Z,0.986620,11.06,-0.15,117.18,117.03,110.56
21,2025-08-21T10:35:08.000Z,1.003291,11.15,0.04,117.03,117.07,111.54
22,2025-08-21T18:29:04.000Z,1.031822,11.25,0.36,117.07,117.43,112.54
23,2025-08-21T18:35:50.000Z,1.120798,11.36,1.37,117.43,118.80,113.57
24,2025-08-21T19:08:15.000Z,0.975499,11.44,-0.28,118.80,118.52,114.41
25,2025-08-21T19:14:46.000Z,0.944586,11.52,-0.64,118.52,117.88,115.22
26,2025-08-21T20:21:27.000Z,0.915961,11.59,-0.97,117.88,116.91,115.93
27,2025-08-21T21:40:14.000Z,1.098413,11.64,1.15,116.91,118.05,116.41
28,2025-08-22T08:56:48.000Z,0.977788,11.70,-0.26,118.05,117.79,117.00
29,2025-08-22T13:50:15.000Z,1.268956,11.77,3.16,117.79,120.96,117.66
30,2025-08-22T14:06:11.000Z,0.968308,11.80,-0.37,120.96,120.58,118.04
31,2025-08-22T14:28:33.000Z,1.117200,11.84,1.39,120.58,121.97,118.40
32,2025-08-22T14:58:19.000Z,0.902127,11.89,-1.16,121.97,120.81,118.89
33,2025-08-22T15:00:20.000Z,0.992306,11.92,-0.09,120.81,120.71,119.23
34,2025-08-22T16:44:12.000Z,1.000000,11.94,0.00,120.71,120.71,119.42
35,2025-08-22T17:14:33.000Z,0.987068,11.96,-0.15,120.71,120.56,119.64
36,2025-08-23T11:01:46.000Z,1.075119,11.99,0.90,120.56,121.46,119.90
37,2025-08-23T11:03:42.000Z,0.939877,12.04,-0.72,121.46,120.74,120.36
38,2025-08-23T11:22:56.000Z,1.034039,12.06,0.41,120.74,121.15,120.63
39,2025-08-23T11:56:21.000Z,0.962610,12.10,-0.45,121.15,120.69,120.96
40,2025-08-23T14:13:55.000Z,1.389502,12.09,4.71,120.69,125.40,120.94
41,2025-08-23T15:23:49.000Z,1.237721,12.14,2.89,125.40,128.29,121.42
42,2025-08-23T17:16:11.000Z,1.000000,12.21,0.00,128.29,128.29,122.05
43,2025-08-23T18:32:00.000Z,1.000000,12.28,0.00,128.29,128.29,122.80
44,2025-08-23T21:29:46.000Z,0.995388,12.36,-0.06,128.29,128.23,123.56
45,2025-08-24T10:25:29.000Z,0.800000,12.43,-2.49,128.23,125.75,124.31
46,2025-08-24T20:19:59.000Z,1.233215,12.48,2.91,125.75,128.66,124.83
47,2025-08-24T22:52:19.000Z,0.933354,12.55,-0.84,128.66,127.82,125.55
48,2025-08-25T09:59:14.000Z,1.261650,12.63,3.30,127.82,131.13,126.26
49,2025-08-30T00:14:46.000Z,0.994368,12.73,-0.07,131.13,131.05,127.26
50,2025-08-31T16:01:53.000Z,1.301127,12.83,3.86,131.05,134.92,128.29
51,2025-09-24T21:41:45.000Z,0.800000,12.92,-2.58,134.92,132.33,129.24
