TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter
1,2025-07-18T14:50:51.000Z,1.128920,10.00,1.29,100.00,101.29
2,2025-07-18T16:26:39.000Z,0.800000,10.00,-2.00,101.29,99.29
3,2025-07-18T17:15:38.000Z,0.800000,10.00,-2.00,99.29,97.29
4,2025-07-18T18:20:22.000Z,1.000000,10.00,0.00,97.29,97.29
5,2025-07-18T19:23:45.000Z,1.478899,10.00,4.79,97.29,102.08
6,2025-07-18T19:23:58.000Z,0.814130,10.00,-1.86,102.08,100.22
7,2025-07-18T19:38:01.000Z,1.017391,10.00,0.17,100.22,100.39
8,2025-07-18T19:47:22.000Z,0.949465,10.00,-0.51,100.39,99.89
9,2025-07-18T20:14:53.000Z,0.969792,10.00,-0.30,99.89,99.59
10,2025-07-18T20:45:19.000Z,0.907156,10.00,-0.93,99.59,98.66
11,2025-07-18T21:18:13.000Z,0.937806,10.00,-0.62,98.66,98.04
12,2025-07-18T22:41:09.000Z,1.210243,10.00,2.10,98.04,100.14
13,2025-07-18T22:47:32.000Z,1.016423,10.00,0.16,100.14,100.30
14,2025-07-18T23:02:45.000Z,1.009283,10.00,0.09,100.30,100.40
15,2025-07-19T00:56:08.000Z,1.000322,10.00,0.00,100.40,100.40
16,2025-07-19T00:56:52.000Z,0.964527,10.00,-0.35,100.40,100.04
17,2025-07-19T00:59:31.000Z,1.405979,10.00,4.06,100.04,104.10
18,2025-07-19T01:05:40.000Z,0.800000,10.00,-2.00,104.10,102.10
19,2025-07-19T04:13:29.000Z,0.856715,10.00,-1.43,102.10,100.67
20,2025-07-19T07:06:49.000Z,1.101795,10.00,1.02,100.67,101.69
21,2025-07-19T08:02:24.000Z,1.334323,10.00,3.34,101.69,105.03
22,2025-07-19T08:26:51.000Z,1.030744,10.00,0.31,105.03,105.34
23,2025-07-19T08:34:53.000Z,1.317929,10.00,3.18,105.34,108.52
24,2025-07-19T09:39:43.000Z,0.934011,10.00,-0.66,108.52,107.86
25,2025-07-19T09:53:13.000Z,0.800000,10.00,-2.00,107.86,105.86
26,2025-07-19T10:39:09.000Z,1.063622,10.00,0.64,105.86,106.49
27,2025-07-19T10:39:40.000Z,1.044088,10.00,0.44,106.49,106.94
28,2025-07-19T10:42:00.000Z,0.996780,10.00,-0.03,106.94,106.90
29,2025-07-19T11:04:33.000Z,1.170795,10.00,1.71,106.90,108.61
30,2025-07-19T11:50:14.000Z,0.926963,10.00,-0.73,108.61,107.88
31,2025-07-19T13:12:35.000Z,0.800000,10.00,-2.00,107.88,105.88
32,2025-07-19T13:14:28.000Z,1.000000,10.00,0.00,105.88,105.88
33,2025-07-19T13:16:28.000Z,1.003151,10.00,0.03,105.88,105.91
34,2025-07-19T16:00:45.000Z,1.018279,10.00,0.18,105.91,106.10
35,2025-07-19T16:00:53.000Z,1.484809,10.00,4.85,106.10,110.94
36,2025-07-19T17:15:21.000Z,1.436081,10.00,4.36,110.94,115.30
37,2025-07-19T17:17:22.000Z,0.994853,10.00,-0.05,115.30,115.25
38,2025-07-19T19:27:48.000Z,0.878910,10.00,-1.21,115.25,114.04
39,2025-07-19T19:55:25.000Z,0.943044,10.00,-0.57,114.04,113.47
40,2025-07-19T22:31:00.000Z,1.183299,10.00,1.83,113.47,115.31
41,2025-07-19T23:31:30.000Z,1.920477,10.00,9.20,115.31,124.51
42,2025-07-20T00:03:09.000Z,1.229009,10.00,2.29,124.51,126.80
43,2025-07-20T02:12:44.000Z,1.347405,10.00,3.47,126.80,130.27
44,2025-07-20T03:33:06.000Z,1.000000,10.00,0.00,130.27,130.27
45,2025-07-20T08:36:03.000Z,1.009923,10.00,0.10,130.27,130.37
46,2025-07-20T12:52:28.000Z,1.117926,10.00,1.18,130.37,131.55
47,2025-07-20T12:54:29.000Z,1.099570,10.00,1.00,131.55,132.55
48,2025-07-20T13:22:38.000Z,0.964226,10.00,-0.36,132.55,132.19
49,2025-07-20T14:16:35.000Z,1.037060,13.22,0.49,132.19,132.68
50,2025-07-20T14:21:46.000Z,1.035366,13.22,0.47,132.68,133.15
51,2025-07-20T15:11:04.000Z,1.000000,13.22,0.00,133.15,133.15
52,2025-07-20T16:08:04.000Z,1.083279,13.22,1.10,133.15,134.25
53,2025-07-20T16:46:45.000Z,1.152514,13.22,2.02,134.25,136.27
54,2025-07-20T17:13:52.000Z,1.047966,13.22,0.63,136.27,136.90
55,2025-07-20T20:07:20.000Z,1.020187,13.22,0.27,136.90,137.17
56,2025-07-20T20:08:04.000Z,0.972010,13.22,-0.37,137.17,136.80
57,2025-07-20T21:08:14.000Z,1.372341,13.22,4.92,136.80,141.72
58,2025-07-21T01:57:10.000Z,0.909748,13.22,-1.19,141.72,140.52
59,2025-07-21T01:57:24.000Z,1.088291,13.22,1.17,140.52,141.69
60,2025-07-21T01:57:36.000Z,0.959076,13.22,-0.54,141.69,141.15
61,2025-07-21T07:38:24.000Z,0.800000,13.22,-2.64,141.15,138.51
62,2025-07-21T07:38:33.000Z,0.800000,13.22,-2.64,138.51,135.86
63,2025-07-21T07:43:00.000Z,0.986364,13.22,-0.18,135.86,135.68
64,2025-07-21T07:53:54.000Z,0.977511,13.22,-0.30,135.68,135.39
65,2025-07-21T08:04:35.000Z,0.992286,13.22,-0.10,135.39,135.28
66,2025-07-21T09:17:54.000Z,1.234739,13.22,3.10,135.28,138.39
67,2025-07-21T10:37:16.000Z,0.907276,13.22,-1.23,138.39,137.16
68,2025-07-21T10:49:56.000Z,0.941410,13.22,-0.77,137.16,136.39
69,2025-07-21T11:10:43.000Z,0.959631,13.22,-0.53,136.39,135.85
70,2025-07-21T12:01:24.000Z,0.981108,13.22,-0.25,135.85,135.60
71,2025-07-21T12:45:56.000Z,0.972460,13.22,-0.36,135.60,135.24
72,2025-07-21T12:47:32.000Z,1.153973,13.22,2.04,135.24,137.27
73,2025-07-21T14:02:02.000Z,0.985510,13.22,-0.19,137.27,137.08
