Rank,Strategy,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,TotalTrades,WinningTrades,LosingTrades,ProfitFactor,MaxDrawdown,AvgHoldDuration,InitialStop,ProfitTargets,EntryDelay,WaitForDip,DipConfirmation,StagedStops
26,Conservative_17,47.06,1.33,106.47,1.0647,238,112,126,1.29,18.60,133,10%,"[{""target"":1.1,""percent"":0.2},{""target"":1.2,""percent"":0.2},{""target"":1.3,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
27,Conservative_1,47.06,1.30,106.29,1.0629,238,112,126,1.25,28.37,133,10%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
28,Conservative_9,47.06,1.15,105.50,1.0550,238,112,126,1.22,28.32,133,10%,"[{""target"":1.2,""percent"":0.2},{""target"":1.4,""percent"":0.2},{""target"":1.6,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
29,Conservative_13,47.06,0.99,104.76,1.0476,238,112,126,1.22,20.70,133,10%,"[{""target"":1.15,""percent"":0.25},{""target"":1.3,""percent"":0.25}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
30,Conservative_21,66.39,0.89,104.28,1.0428,238,158,80,1.34,10.68,133,10%,"[{""target"":1.05,""percent"":0.3},{""target"":1.1,""percent"":0.3}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
31,Conservative_18,54.62,0.82,103.90,1.0390,238,130,108,1.14,23.59,181,15%,"[{""target"":1.1,""percent"":0.2},{""target"":1.2,""percent"":0.2},{""target"":1.3,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
32,Conservative_2,54.62,0.65,103.01,1.0301,238,130,108,1.10,31.29,181,15%,"[{""target"":1.2,""percent"":0.3},{""target"":1.5,""percent"":0.3}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
33,StagedStops_48,18.07,0.61,102.69,1.0269,238,43,195,1.09,52.41,177,15%,"[{""target"":2,""percent"":0.3},{""target"":3,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2},{""activationMultiplier"":2,""stopPrice"":1.5}]"
34,Conservative_5,28.57,0.53,102.44,1.0244,238,68,170,1.10,31.58,133,10%,"[{""target"":1.3,""percent"":0.25},{""target"":1.6,""percent"":0.25}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
35,Conservative_10,54.62,0.43,101.92,1.0192,238,130,108,1.06,34.56,181,15%,"[{""target"":1.2,""percent"":0.2},{""target"":1.4,""percent"":0.2},{""target"":1.6,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
36,Conservative_14,54.62,0.38,101.74,1.0174,238,130,108,1.06,29.73,181,15%,"[{""target"":1.15,""percent"":0.25},{""target"":1.3,""percent"":0.25}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
37,Conservative_22,54.62,0.22,101.02,1.0102,238,130,108,1.06,18.42,181,15%,"[{""target"":1.05,""percent"":0.3},{""target"":1.1,""percent"":0.3}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
38,Conservative_19,58.40,0.06,100.15,1.0015,238,139,99,1.01,25.34,245,20%,"[{""target"":1.1,""percent"":0.2},{""target"":1.2,""percent"":0.2},{""target"":1.3,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
39,StagedStops_49,16.81,0.03,99.78,0.9978,238,40,198,1.00,71.60,236,15%,"[{""target"":2,""percent"":0.3},{""target"":3,""percent"":0.2}]",0,,,"[{""activationMultiplier"":1.3,""stopPrice"":1},{""activationMultiplier"":1.6,""stopPrice"":1.3},{""activationMultiplier"":2,""stopPrice"":1.5}]"
40,Conservative_6,34.03,-0.18,99.04,0.9904,238,81,157,0.97,41.67,181,15%,"[{""target"":1.3,""percent"":0.25},{""target"":1.6,""percent"":0.25}]",0,,,"[{""activationMultiplier"":1.2,""stopPrice"":1},{""activationMultiplier"":1.5,""stopPrice"":1.2}]"
