TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-23T22:03:44.000Z,0.986089,10.00,-0.14,100.00,99.86,100.00
2,2025-08-10T10:57:10.000Z,1.611810,9.99,6.11,99.86,105.97,99.93
3,2025-08-13T08:33:32.000Z,0.981392,10.19,-0.19,105.97,105.79,101.95
4,2025-08-14T11:07:56.000Z,1.491477,10.29,5.06,105.79,110.84,102.91
5,2025-08-17T09:46:41.000Z,1.002732,10.45,0.03,110.84,110.87,104.49
6,2025-08-18T11:20:00.000Z,1.011796,10.56,0.12,110.87,111.00,105.56
7,2025-09-04T13:35:36.000Z,1.000000,10.63,0.00,111.00,111.00,106.33
8,2025-09-18T07:09:41.000Z,0.997719,10.69,-0.02,111.00,110.97,106.92
9,2025-09-19T19:00:15.000Z,1.109201,10.74,1.17,110.97,112.14,107.37
10,2025-09-23T19:21:04.000Z,1.000000,10.78,0.00,112.14,112.14,107.84
11,2025-09-25T06:44:48.000Z,0.976127,10.91,-0.26,112.14,111.88,109.06
12,2025-09-28T05:29:52.000Z,0.867555,11.03,-1.46,111.88,110.42,110.26
13,2025-10-07T08:44:22.000Z,0.935540,11.07,-0.71,110.42,109.71,110.71
14,2025-10-07T16:32:34.000Z,0.800000,11.11,-2.22,109.71,107.49,111.10
15,2025-10-08T04:57:54.000Z,1.091645,11.08,1.02,107.49,108.50,110.76
16,2025-10-08T23:16:48.000Z,1.239723,11.05,2.65,108.50,111.15,110.53
17,2025-10-10T06:05:33.000Z,1.281798,11.05,3.12,111.15,114.27,110.54
18,2025-10-10T11:15:35.000Z,1.377106,11.09,4.18,114.27,118.45,110.87
19,2025-10-14T21:44:34.000Z,1.025485,11.16,0.28,118.45,118.73,111.62
20,2025-10-17T13:10:40.000Z,0.800000,11.23,-2.25,118.73,116.49,112.27
21,2025-10-20T07:50:08.000Z,1.602546,11.27,6.79,116.49,123.28,112.71
22,2025-11-03T06:15:54.000Z,1.080004,11.38,0.91,123.28,124.19,113.85
