TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,3x3bFdRvztRniuHUFFeDayzeaXboaxdR4JoemDaWbonk,2025-07-23T22:03:44.000Z,2025-07-25T11:00:00.000+10:00,2025-07-25T14:00:00.000+10:00,0.986089,-1.39,1.0042,180,No
2,6Mg79q2CLm9JuU8frpxayBdeessGnjVuAD99WqzsBAGS,2025-08-10T10:57:10.000Z,2025-08-13T00:00:00.000+10:00,2025-08-13T02:00:00.000+10:00,1.611810,61.18,2.9543,120,Yes
3,BwjHqV4t1q9A64QMfCJXMaPn9dwnqDfjZqoHNL5aBAGS,2025-08-13T08:33:32.000Z,2025-08-15T00:00:00.000+10:00,2025-08-15T02:00:00.000+10:00,0.981392,-1.86,1.1390,120,No
4,zmWpMEd8YoYJn5PFSsso7G1hxDen3tSXBZLeSm7BAGS,2025-08-14T11:07:56.000Z,2025-08-17T03:00:00.000+10:00,2025-08-17T05:00:00.000+10:00,1.491477,49.15,1.7396,120,Yes
5,3FkaAp3x4ZZ4hZc93wEMcPEhh1jdVpzPoE6k4qTLBAGS,2025-08-17T09:46:41.000Z,2025-08-20T21:00:00.000+10:00,2025-08-20T23:00:00.000+10:00,1.002732,0.27,1.0000,120,Yes
6,4mp9GZ8XYVrhmNkoA7QA8R5mLno1aZMJb5AnAC2TBAGS,2025-08-18T11:20:00.000Z,2025-08-23T09:00:00.000+10:00,2025-08-23T22:00:00.000+10:00,1.011796,1.18,1.0663,780,Yes
7,DscRimxgNWx1kgCRNK3ynAH489odVMKeKUVbfyQSacs,2025-09-04T13:35:36.000Z,2025-09-07T04:00:00.000+10:00,2025-09-07T06:00:00.000+10:00,1.000000,0.00,1.0000,120,No
8,8D7n3WYZxUkmhUPveQU4XZdqLfDe4XLEEpPToAk4pump,2025-09-18T07:09:41.000Z,2025-09-21T15:00:00.000+10:00,2025-09-21T19:00:00.000+10:00,0.997719,-0.23,1.0274,240,No
9,0xdbb0560f081324ccd6e77080dd49ded0c4b04444,2025-09-19T19:00:15.000Z,2025-09-20T20:00:00.000+10:00,2025-09-20T22:00:00.000+10:00,1.109201,10.92,1.0565,120,Yes
10,0x5e43D55818be8Cd2cc679B94a57D2487266cDfEf,2025-09-23T19:21:04.000Z,2025-09-27T08:00:00.000+10:00,2025-09-27T10:00:00.000+10:00,1.000000,0.00,1.0000,120,No
11,0x503489A8B37281BAD6E7794B62D3b173F0bF4444,2025-09-25T06:44:48.000Z,2025-10-01T21:00:00.000+10:00,2025-10-02T00:00:00.000+10:00,0.976127,-2.39,1.0000,180,No
12,0xb9C088656039a10a3eAf3f8731E8d7fa34484444,2025-09-28T05:29:52.000Z,2025-10-03T13:00:00.000+10:00,2025-10-03T18:00:00.000+10:00,0.867555,-13.24,1.0044,300,No
13,0x6715Bf0E3a9e4EC93BedC0eD98aA9545b1024444,2025-10-07T08:44:22.000Z,2025-10-08T03:05:00.000+11:00,2025-10-08T04:45:00.000+11:00,0.935540,-6.45,1.0078,100,No
14,0xc3f67caE9Ba89513a73dCfBa1ECCe1B9f9B94444,2025-10-07T16:32:34.000Z,2025-10-08T23:00:00.000+11:00,2025-10-09T00:00:00.000+11:00,0.800000,-20.00,1.0089,60,No
15,0x1554BcaD1D037163C9960cF668608841fFd7359d,2025-10-08T04:57:54.000Z,2025-10-12T21:00:00.000+11:00,2025-10-14T04:00:00.000+11:00,1.091645,9.16,1.1167,1860,Yes
16,0xDBE4BA2BC5c0F2459CE0366C8e3DEa52591c4444,2025-10-08T23:16:48.000Z,2025-10-10T03:00:00.000+11:00,2025-10-10T05:00:00.000+11:00,1.239723,23.97,1.1015,120,Yes
17,0xf1fe5566d487fce99a244559a57013dc7b224444,2025-10-10T06:05:33.000Z,2025-10-11T17:00:00.000+11:00,2025-10-11T19:00:00.000+11:00,1.281798,28.18,1.0000,120,Yes
18,0x55d1393ccd6B6eBEA6745aDa746f803DE071de13,2025-10-10T11:15:35.000Z,2025-10-11T10:00:00.000+11:00,2025-10-11T11:00:00.000+11:00,1.377106,37.71,1.4450,60,Yes
19,0xF60fe458bFD8B843506EE3c7F29bA4d5860C4444,2025-10-14T21:44:34.000Z,2025-10-18T20:00:00.000+11:00,2025-10-20T02:00:00.000+11:00,1.025485,2.55,1.0255,1800,Yes
20,0x5AF9Ef13C0b7F82d3a3c52D93F27039bc8A71d63,2025-10-17T13:10:40.000Z,2025-10-18T17:00:00.000+11:00,2025-10-18T18:00:00.000+11:00,0.800000,-20.00,1.0000,60,No
21,0x955990813017212aC69D62Cb4556b7f9B1cc4444,2025-10-20T07:50:08.000Z,2025-10-23T06:00:00.000+11:00,2025-10-23T07:00:00.000+11:00,1.602546,60.25,1.0045,60,Yes
22,0x203a3f01ca47951DC3F5E7235dCfD17F029e4444,2025-11-03T06:15:54.000Z,2025-11-06T10:00:00.000+11:00,2025-11-06T12:00:00.000+11:00,1.080004,8.00,1.0000,120,Yes
