TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-29T18:50:09.000Z,1.353030,10.00,3.53,100.00,103.53,100.00
2,2025-08-01T20:57:37.000Z,1.457544,10.18,4.66,103.53,108.19,101.77
3,2025-08-08T19:12:44.000Z,1.004202,10.39,0.04,108.19,108.23,103.91
4,2025-08-10T23:07:07.000Z,0.875405,10.50,-1.31,108.23,106.92,104.99
5,2025-08-13T03:04:52.000Z,0.800000,10.54,-2.11,106.92,104.81,105.37
6,2025-08-15T14:47:11.000Z,1.027380,10.53,0.29,104.81,105.10,105.28
7,2025-08-27T00:41:18.000Z,1.080768,10.53,0.85,105.10,105.95,105.26
8,2025-09-06T07:12:00.000Z,1.098796,10.53,1.04,105.95,106.99,105.34
9,2025-09-16T14:30:52.000Z,0.930334,10.55,-0.74,106.99,106.26,105.53
10,2025-09-17T22:12:05.000Z,1.042142,10.56,0.45,106.26,106.70,105.60
11,2025-09-24T10:00:11.000Z,0.999532,10.63,-0.00,106.70,106.70,106.27
12,2025-09-25T22:57:22.000Z,0.820128,10.66,-1.92,106.70,104.78,106.59
13,2025-10-09T20:24:44.000Z,2.206716,10.62,12.82,104.78,117.60,106.25
14,2025-10-11T09:59:26.000Z,0.889409,10.72,-1.19,117.60,116.42,107.18
15,2025-10-13T15:02:59.000Z,0.936007,10.81,-0.69,116.42,115.72,108.13
16,2025-10-14T11:41:42.000Z,1.000000,10.92,0.00,115.72,115.72,109.22
17,2025-10-15T16:07:23.000Z,1.011426,11.03,0.13,115.72,115.85,110.29
18,2025-10-22T13:40:32.000Z,0.986447,11.13,-0.15,115.85,115.70,111.28
19,2025-10-25T11:14:48.000Z,1.393273,11.21,4.41,115.70,120.11,112.15
