TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,fwxWQcdmf9N3QC7et9nwyKao4qjZmH9rpwvFsW9jups,2025-07-29T18:50:09.000Z,2025-07-30T20:00:00.000+10:00,2025-07-30T22:00:00.000+10:00,1.353030,35.30,2.0221,120,Yes
2,2wnQbF4yDak1eVYkSmsAJX9948MZk2ZzEfRMHWerBAGS,2025-08-01T20:57:37.000Z,2025-08-02T20:00:00.000+10:00,2025-08-02T22:00:00.000+10:00,1.457544,45.75,1.1684,120,Yes
3,3g2sAACygbxT9RRdJEeWemdedD8rjDS51GTJMjorpump,2025-08-08T19:12:44.000Z,2025-08-10T05:00:00.000+10:00,2025-08-10T07:00:00.000+10:00,1.004202,0.42,1.0000,120,Yes
4,hC16Tp4jsvU7oi9hGz4Q142FubFxNza6ParQSMkbonk,2025-08-10T23:07:07.000Z,2025-08-12T12:00:00.000+10:00,2025-08-12T21:00:00.000+10:00,0.875405,-12.46,1.3865,540,No
5,CuM7jCNGFLQpFfnV7ZeUUbBpRWnCsPgTaNj6fgq4pump,2025-08-13T03:04:52.000Z,2025-08-13T20:00:00.000+10:00,2025-08-13T22:00:00.000+10:00,0.800000,-20.00,1.0000,120,No
6,TgjK296F6PYWg3eRbRcEk9QQwA83eNwpm5JsRcdbonk,2025-08-15T14:47:11.000Z,2025-08-18T20:00:00.000+10:00,2025-08-18T21:00:00.000+10:00,1.027380,2.74,1.0010,60,Yes
7,4pTN87RQi7Bt7yzU3CFk6FDiD8BYbH2dFYPwsAfjBAGS,2025-08-27T00:41:18.000Z,2025-08-28T10:00:00.000+10:00,2025-08-28T12:00:00.000+10:00,1.080768,8.08,1.0662,120,Yes
8,F6LUj3AnDMwLs9Sq5U2R1oAiPeG4PMcJK73KqoXUpump,2025-09-06T07:12:00.000Z,2025-09-09T04:00:00.000+10:00,2025-09-09T06:00:00.000+10:00,1.098796,9.88,1.0135,120,Yes
9,tyTaDrjPqeTAT7WKnYnn8djoBF6WEkemoRprgmqpump,2025-09-16T14:30:52.000Z,2025-09-19T22:00:00.000+10:00,2025-09-20T00:00:00.000+10:00,0.930334,-6.97,1.0008,120,No
10,6ZgtoMm99gbABv9hYQ6ieSsafCnAuxtCY6JiMYBeYYxV,2025-09-17T22:12:05.000Z,2025-09-20T08:00:00.000+10:00,2025-09-20T10:00:00.000+10:00,1.042142,4.21,1.0000,120,Yes
11,G114LVxZdHtsCfDuYjqP3u3RgmVTjKS6s8qHsHuKpump,2025-09-24T10:00:11.000Z,2025-09-27T09:00:00.000+10:00,2025-09-28T11:00:00.000+10:00,0.999532,-0.05,1.0003,1560,No
12,4Ds7cxJ82gm34gV22zo2LjPdX3nFbQk9PXK7mjX4pump,2025-09-25T22:57:22.000Z,2025-09-28T08:00:00.000+10:00,2025-09-28T11:00:00.000+10:00,0.820128,-17.99,1.0819,180,No
13,0xd8ee75f571a9e761db37e34c5b33d86d3a104444,2025-10-09T20:24:44.000Z,2025-10-11T01:00:00.000+11:00,2025-10-11T03:00:00.000+11:00,2.206716,120.67,1.0000,120,Yes
14,0xafd9480304aa4b6ce0a27df996dbef64559e4444,2025-10-11T09:59:26.000Z,2025-10-12T05:25:00.000+11:00,2025-10-12T08:00:00.000+11:00,0.889409,-11.06,1.1878,155,No
15,0xa57030b6e8cf0ec67def4fc1d3c6b8fd511a4444,2025-10-13T15:02:59.000Z,2025-10-16T21:00:00.000+11:00,2025-10-17T03:00:00.000+11:00,0.936007,-6.40,1.0000,360,No
16,0x60f6bf252329d827a284c1a382037095033b4444,2025-10-14T11:41:42.000Z,2025-10-16T21:00:00.000+11:00,2025-10-16T23:00:00.000+11:00,1.000000,0.00,1.0000,120,No
17,0x9f9265d238837ae6df92e556a8a269d25dcd4444,2025-10-15T16:07:23.000Z,2025-10-18T22:00:00.000+11:00,2025-10-18T23:00:00.000+11:00,1.011426,1.14,1.0348,60,Yes
18,0xe39f85adb72a065352106e56b53c16d1e02c4444,2025-10-22T13:40:32.000Z,2025-10-27T01:00:00.000+11:00,2025-10-27T04:00:00.000+11:00,0.986447,-1.36,1.0000,180,No
19,0x3846778e25418AfF8Fa012E055A1f505494e4444,2025-10-25T11:14:48.000Z,2025-10-26T09:00:00.000+11:00,2025-10-26T10:00:00.000+11:00,1.393273,39.33,1.0655,60,Yes
