Date,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment
2025-07-19,99.10,99.10,-0.90,-0.90
2025-07-20,100.49,100.52,0.49,0.52
2025-07-21,101.56,101.58,1.56,1.58
2025-07-22,104.56,104.60,4.56,4.60
2025-07-25,111.92,111.59,11.92,11.59
2025-07-23,102.27,102.37,2.27,2.37
2025-07-27,112.19,111.89,12.19,11.89
2025-07-24,104.96,104.97,4.96,4.97
2025-07-26,113.61,113.17,13.61,13.17
2025-07-28,108.48,108.59,8.48,8.59
2025-07-31,96.36,97.50,-3.64,-2.50
2025-07-30,94.63,95.74,-5.37,-4.26
2025-07-29,98.16,99.18,-1.84,-0.82
2025-08-02,99.37,100.62,-0.63,0.62
2025-08-01,99.23,100.48,-0.77,0.48
2025-08-04,99.11,100.39,-0.89,0.39
2025-08-03,97.69,98.94,-2.31,-1.06
2025-08-05,100.97,102.27,0.97,2.27
2025-08-06,96.83,98.19,-3.17,-1.81
2025-08-07,101.68,103.06,1.68,3.06
2025-08-08,105.86,107.29,5.86,7.29
2025-08-09,104.57,106.10,4.57,6.10
2025-08-10,103.83,105.40,3.83,5.40
2025-08-11,105.18,106.70,5.18,6.70
2025-08-12,102.76,104.39,2.76,4.39
2025-08-15,111.01,112.31,11.01,12.31
2025-08-13,104.94,106.52,4.94,6.52
2025-08-14,107.41,108.89,7.41,8.89
2025-08-16,114.75,115.75,14.75,15.75
2025-08-18,116.42,117.21,16.42,17.21
2025-08-17,114.68,115.65,14.68,15.65
2025-08-20,126.98,126.48,26.98,26.48
2025-08-19,113.04,114.27,13.04,14.27
2025-08-22,123.19,123.32,23.19,23.32
2025-08-21,122.09,122.44,22.09,22.44
2025-08-23,118.88,119.83,18.88,19.83
2025-08-24,117.80,118.94,17.80,18.94
2025-08-25,116.90,118.19,16.90,18.19
2025-08-26,127.95,127.62,27.95,27.62
2025-08-27,120.27,121.52,20.27,21.52
2025-08-28,120.56,121.77,20.56,21.77
2025-08-29,124.10,124.71,24.10,24.71
2025-08-30,124.69,125.19,24.69,25.19
2025-09-01,120.56,121.82,20.56,21.82
2025-08-31,122.34,123.27,22.34,23.27
2025-09-02,118.33,119.99,18.33,19.99
2025-09-03,125.20,125.68,25.20,25.68
2025-09-04,117.64,119.55,17.64,19.55
2025-09-05,117.33,119.32,17.33,19.32
2025-09-06,116.12,118.29,16.12,18.29
2025-09-08,107.16,110.54,7.16,10.54
2025-09-07,111.72,114.51,11.72,14.51
2025-09-09,114.44,117.07,14.44,17.07
2025-09-11,103.77,107.65,3.77,7.65
2025-09-12,103.82,107.70,3.82,7.70
2025-09-10,115.57,118.07,15.57,18.07
2025-09-17,90.48,94.29,-9.52,-5.71
2025-09-13,101.64,105.61,1.64,5.61
2025-09-15,93.29,97.28,-6.71,-2.72
2025-09-14,98.77,102.80,-1.23,2.80
2025-09-16,94.35,98.38,-5.65,-1.62
2025-09-19,89.68,93.44,-10.32,-6.56
2025-09-18,89.87,93.64,-10.13,-6.36
2025-09-20,107.56,112.92,7.56,12.92
2025-09-21,108.12,113.54,8.12,13.54
2025-09-22,125.75,129.93,25.75,29.93
2025-09-26,157.52,154.65,57.52,54.65
2025-09-23,137.53,139.92,37.53,39.92
2025-09-28,148.90,148.95,48.90,48.95
2025-09-24,134.73,137.70,34.73,37.70
2025-09-27,155.26,153.11,55.26,53.11
2025-09-25,144.94,145.54,44.94,45.54
2025-10-02,142.47,144.72,42.47,44.72
2025-09-29,154.97,152.92,54.97,52.92
2025-10-01,143.47,145.39,43.47,45.39
2025-09-30,146.05,147.09,46.05,47.09
2025-10-03,142.83,144.96,42.83,44.96
2025-10-04,141.29,143.92,41.29,43.92
2025-10-05,142.93,145.03,42.93,45.03
2025-10-06,145.68,146.97,45.68,46.97
2025-10-08,189.77,177.99,89.77,77.99
2025-10-07,195.85,181.67,95.85,81.67
2025-10-09,184.88,175.38,84.88,75.38
2025-10-12,184.80,175.34,84.80,75.34
2025-10-10,184.23,175.04,84.23,75.04
2025-10-11,188.19,177.18,88.19,77.18
2025-10-13,190.54,178.45,90.54,78.45
2025-10-14,189.12,177.69,89.12,77.69
2025-10-18,192.02,179.24,92.02,79.24
2025-10-16,190.38,178.38,90.38,78.38
2025-10-19,185.78,175.97,85.78,75.97
2025-10-17,189.99,178.17,89.99,78.17
2025-10-15,190.28,178.33,90.28,78.33
2025-10-23,178.60,172.11,78.60,72.11
2025-10-26,179.68,172.71,79.68,72.71
2025-10-27,172.43,168.68,72.43,68.68
2025-10-22,182.30,174.12,82.30,74.12
2025-10-25,173.58,169.33,73.58,69.33
2025-10-24,174.34,169.76,74.34,69.76
2025-10-28,167.33,165.76,67.33,65.76
2025-10-31,167.83,166.05,67.83,66.05
2025-10-30,168.63,166.52,68.63,66.52
2025-10-29,165.62,164.73,65.62,64.73
2025-11-04,162.64,162.98,62.64,62.98
2025-11-01,169.05,166.78,69.05,66.78
2025-11-02,165.00,164.39,65.00,64.39
2025-11-07,167.70,165.98,67.70,65.98
2025-11-03,164.78,164.25,64.78,64.25
2025-11-06,163.61,163.56,63.61,63.56
2025-11-05,164.62,164.16,64.62,64.16
