Strategy,TotalTrades,NoCompound_Return,NoCompound_Final,Compound_Return,Compound_Final,CompoundImpact,CompoundMultiplier
MultiTrade_20pctTrail_50pctDropRebound_24h,2323,4474.295507682127,4574.295507682127,1771974.316151471,1772074.316151471,1767500.020643789,387.39830279338713
MultiTrade_20pctTrail_RSI_MACD_24h,2127,565.5130583141072,665.5130583141072,509.41127525969955,609.4112752596996,-56.10178305440763,0.9157014541585015
MultiTrade_20pctTrail_MA_24h,2059,502.8682232395047,602.8682232395047,231.41290595439278,331.4129059543928,-271.4553172851119,0.5497269439307148
Trailing_6h_20pctSL_25pctTrail_50pctActivate,1463,222.93003917437116,322.93003917437113,-73.83250783504927,26.16749216495074,-296.7625470094204,0.0810314588009609
