Strategy,TotalTrades,NoCompound_Return,NoCompound_Final,Compound_Return,Compound_Final,CompoundImpact,CompoundMultiplier
MultiTrade_20pctTrail_50pctDropRebound_24h,2323,5331.129389363053,5431.129389363053,1137634375920.5356,1137634376020.5356,1137634370589.4062,209465526.31366313
MultiTrade_20pctTrail_RSI_MACD_24h,2127,1240.8382044475352,1340.8382044475352,424296.0437033158,424396.0437033158,423055.20549886825,316.5154768827455
MultiTrade_20pctTrail_MA_24h,2059,1155.2249724118649,1255.2249724118649,183933.61169078268,184033.61169078268,182778.3867183708,146.614045876708
Trailing_6h_20pctSL_25pctTrail_50pctActivate,1463,682.2990094581216,782.2990094581216,2054.9900753264333,2154.9900753264333,1372.6910658683116,2.7546884877422246
