TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-18T17:10:12.000Z,0.982924,10.00,-0.17,100.00,99.83,100.00
2,2025-07-18T22:47:32.000Z,0.999234,9.99,-0.01,99.83,99.82,99.91
3,2025-07-19T00:59:31.000Z,1.202944,9.99,2.03,99.82,101.85,99.88
4,2025-07-19T07:06:49.000Z,0.974385,10.04,-0.26,101.85,101.59,100.37
5,2025-07-19T08:26:51.000Z,0.994189,10.06,-0.06,101.59,101.53,100.62
6,2025-07-19T10:42:00.000Z,0.946798,10.08,-0.54,101.53,101.00,100.77
7,2025-07-19T15:41:12.000Z,0.792015,10.08,-2.10,101.00,98.90,100.80
8,2025-07-19T17:15:21.000Z,1.028397,10.06,0.29,98.90,99.19,100.57
9,2025-07-20T12:56:43.000Z,1.077797,10.04,0.78,99.19,99.97,100.41
10,2025-07-20T21:08:14.000Z,1.020048,10.04,0.20,99.97,100.17,100.37
11,2025-07-21T07:43:00.000Z,0.991665,10.04,-0.08,100.17,100.08,100.38
12,2025-07-21T10:37:16.000Z,0.958527,10.04,-0.42,100.08,99.67,100.41
13,2025-07-21T12:49:17.000Z,0.792015,10.04,-2.09,99.67,97.58,100.39
14,2025-07-21T15:12:53.000Z,0.974739,10.00,-0.25,97.58,97.33,99.97
15,2025-07-21T15:48:39.000Z,1.100326,9.95,1.00,97.33,98.33,99.54
16,2025-07-21T16:55:58.000Z,0.883280,9.92,-1.16,98.33,97.17,99.22
17,2025-07-21T20:13:54.000Z,0.876467,9.88,-1.22,97.17,95.95,98.84
18,2025-07-22T07:56:06.000Z,0.892503,9.85,-1.06,95.95,94.89,98.54
19,2025-07-22T16:35:54.000Z,1.048933,9.81,0.48,94.89,95.37,98.11
20,2025-07-22T21:33:04.000Z,0.972170,9.77,-0.27,95.37,95.10,97.65
21,2025-07-23T01:25:30.000Z,0.954600,9.71,-0.44,95.10,94.66,97.15
22,2025-07-23T10:12:40.000Z,1.086760,9.66,0.84,94.66,95.49,96.60
23,2025-07-23T11:12:33.000Z,1.073813,9.62,0.71,95.49,96.20,96.19
24,2025-07-23T14:58:31.000Z,1.145100,9.60,1.39,96.20,97.60,96.05
25,2025-07-23T19:41:03.000Z,1.017069,9.61,0.16,97.60,97.76,96.07
26,2025-07-24T11:25:57.000Z,1.073811,9.60,0.71,97.76,98.47,96.02
27,2025-07-24T14:51:57.000Z,0.852118,9.61,-1.42,98.47,97.05,96.15
28,2025-07-24T16:51:53.000Z,1.236503,9.63,2.28,97.05,99.32,96.26
29,2025-07-24T18:02:56.000Z,1.158122,9.67,1.53,99.32,100.85,96.70
30,2025-07-26T04:03:02.000Z,0.894526,9.73,-1.03,100.85,99.83,97.25
31,2025-07-26T19:06:11.000Z,0.928177,9.77,-0.70,99.83,99.13,97.72
32,2025-07-26T20:30:08.000Z,0.844063,9.82,-1.53,99.13,97.60,98.17
33,2025-07-27T19:32:00.000Z,0.792015,9.84,-2.05,97.60,95.55,98.38
34,2025-07-28T00:28:59.000Z,0.926355,9.83,-0.72,95.55,94.82,98.32
35,2025-07-28T06:46:27.000Z,0.872214,9.80,-1.25,94.82,93.57,98.04
36,2025-07-28T07:39:54.000Z,0.792015,9.76,-2.03,93.57,91.54,97.62
37,2025-07-28T16:06:47.000Z,0.867553,9.69,-1.28,91.54,90.26,96.93
38,2025-07-30T06:25:23.000Z,1.050649,9.62,0.49,90.26,90.75,96.25
39,2025-07-30T08:52:22.000Z,0.806019,9.54,-1.85,90.75,88.90,95.39
40,2025-07-30T14:49:14.000Z,0.987173,9.42,-0.12,88.90,88.77,94.19
41,2025-07-31T06:52:57.000Z,1.301306,9.31,2.80,88.77,91.58,93.09
42,2025-07-31T18:17:10.000Z,1.034395,9.23,0.32,91.58,91.90,92.33
43,2025-07-31T21:35:46.000Z,0.983561,9.18,-0.15,91.90,91.75,91.76
44,2025-08-01T09:04:11.000Z,1.080733,9.14,0.74,91.75,92.48,91.38
45,2025-08-01T15:03:52.000Z,1.030728,9.11,0.28,92.48,92.76,91.15
46,2025-08-02T01:13:10.000Z,1.078593,9.11,0.72,92.76,93.48,91.07
47,2025-08-02T09:05:43.000Z,0.980666,9.13,-0.18,93.48,93.30,91.26
48,2025-08-02T09:53:47.000Z,1.121887,9.16,1.12,93.30,94.42,91.57
49,2025-08-02T11:33:00.000Z,0.952961,9.19,-0.43,94.42,93.99,91.93
50,2025-08-02T11:56:04.000Z,0.898184,9.24,-0.94,93.99,93.05,92.44
51,2025-08-02T14:16:40.000Z,0.949299,9.29,-0.47,93.05,92.57,92.87
52,2025-08-02T22:15:21.000Z,0.984986,9.30,-0.14,92.57,92.43,92.97
53,2025-08-03T09:45:59.000Z,1.009310,9.30,0.09,92.43,92.52,93.02
54,2025-08-03T12:03:40.000Z,0.930115,9.31,-0.65,92.52,91.87,93.10
55,2025-08-03T12:03:45.000Z,0.989352,9.30,-0.10,91.87,91.77,93.04
