TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,2025-07-18T17:10:12.000Z,2025-07-19T12:00:00.000+10:00,2025-07-19T13:00:00.000+10:00,0.00040495,0.00039804,0.982924,-1.71,1.4016,60,No
2,6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,2025-07-18T22:47:32.000Z,2025-07-19T18:00:00.000+10:00,2025-07-19T20:00:00.000+10:00,0.00169587,0.00169457,0.999234,-0.08,1.1960,120,No
3,FvBJS4xPWLsjuoCiafXu4GR15YGiKpNHhJpXEm7bonk,2025-07-19T00:59:31.000Z,2025-07-20T05:00:00.000+10:00,2025-07-20T06:00:00.000+10:00,0.00003615,0.00004349,1.202944,20.29,1.2073,60,Yes
4,4ZVCJdxrbWLWKFFAZqqphyNBUhPE7YpnHWXvFuKkbonk,2025-07-19T07:06:49.000Z,2025-07-21T03:00:00.000+10:00,2025-07-21T05:00:00.000+10:00,0.00000694,0.00000676,0.974385,-2.56,1.0000,120,No
5,935zJVrrhH5j2fBjq9zSj9mrSKhDuLGQfhp1QNRBbonk,2025-07-19T08:26:51.000Z,2025-07-20T15:00:00.000+10:00,2025-07-20T17:00:00.000+10:00,0.00000541,0.00000538,0.994189,-0.58,1.0000,120,No
6,HHM5XfhBa3Arm6xvRqH2jHVJCFWmVBTYjUbf9wKJbonk,2025-07-19T10:42:00.000Z,2025-07-21T18:00:00.000+10:00,2025-07-21T19:00:00.000+10:00,0.00001558,0.00001476,0.946798,-5.32,1.0139,60,No
7,BDWvvvKUS9c3C4Rz1w9tk5uD519CzD2f6n7zBk2Bbonk,2025-07-19T15:41:12.000Z,2025-07-21T01:00:00.000+10:00,2025-07-21T03:00:00.000+10:00,0.00165455,0.00131043,0.792015,-20.80,1.0000,120,No
8,DRTxSx7s5WQxa1t7u6uHtqjnEKqS6Na8ZoCPoLc4bonk,2025-07-19T17:15:21.000Z,2025-07-20T14:00:00.000+10:00,2025-07-20T19:00:00.000+10:00,0.00000697,0.00000716,1.028397,2.84,1.3456,300,Yes
9,LarJmR9bQNUGUNPWaQ2tb6KrBT5DYMtpuuL9W7ELg5w,2025-07-20T12:56:43.000Z,2025-07-22T10:00:00.000+10:00,2025-07-22T12:00:00.000+10:00,0.00000510,0.00000550,1.077797,7.78,1.0000,120,Yes
10,HjsZ73QxNbXoUnyXXffoXn6kHUKQqdy6GXd4J1N4shot,2025-07-20T21:08:14.000Z,2025-07-21T22:15:00.000+10:00,2025-07-21T23:20:00.000+10:00,0.00157217,0.00160369,1.020048,2.00,1.0000,65,Yes
11,3LBDmVsUMY4XF82kVruJxrZqLnhUBFqanMdn5ifCbonk,2025-07-21T07:43:00.000Z,2025-07-25T00:00:00.000+10:00,2025-07-25T03:00:00.000+10:00,0.00000543,0.00000538,0.991665,-0.83,1.0277,180,No
12,9tqjeRS1swj36Ee5C1iGiwAxjQJNGAVCzaTLwFY8bonk,2025-07-21T10:37:16.000Z,2025-07-22T07:00:00.000+10:00,2025-07-22T10:00:00.000+10:00,0.04645443,0.04452782,0.958527,-4.15,1.0571,180,No
13,3UofsdJQyTe8PF3HMUR8KEB13wtwGkk4qyAhgLCgbonk,2025-07-21T12:49:17.000Z,2025-07-23T22:00:00.000+10:00,2025-07-23T23:00:00.000+10:00,0.00017815,0.00014109,0.792015,-20.80,1.0318,60,No
14,2Pqk7MiMcQWEbXRLz8WPDF3tFkKuumobn7B69i3uEeTe,2025-07-21T15:12:53.000Z,2025-07-26T16:00:00.000+10:00,2025-07-27T14:00:00.000+10:00,0.00000512,0.00000499,0.974739,-2.53,1.0000,1320,No
15,GxNGdYcXRFSuPJrVsSLgcavKE1E8Jptqvxz4ZR3tbonk,2025-07-21T15:48:39.000Z,2025-07-22T12:00:00.000+10:00,2025-07-22T14:00:00.000+10:00,0.00010308,0.00011342,1.100326,10.03,1.0000,120,Yes
16,6nz8p3Mzw4q4rhHZFbaLAqGv48Ab2PRPSYW1o8YHbonk,2025-07-21T16:55:58.000Z,2025-07-22T20:00:00.000+10:00,2025-07-22T21:00:00.000+10:00,0.00412378,0.00364246,0.883280,-11.67,1.0000,60,No
17,G85CQEBqwsoe3qkb5oXXpdZFh7uhYXhDRsQAM4aJuBLV,2025-07-21T20:13:54.000Z,2025-07-22T18:00:00.000+10:00,2025-07-22T19:00:00.000+10:00,0.00726354,0.00636625,0.876467,-12.35,1.0572,60,No
18,4daoTLufDmV3ods48Zh8rymaZKBLtgEvuH9qALYLbonk,2025-07-22T07:56:06.000Z,2025-07-28T18:00:00.000+10:00,2025-07-28T23:00:00.000+10:00,0.04389153,0.03917334,0.892503,-10.75,1.1205,300,No
19,3MrwYcAvGNNtMcHwscSqFQJ3qhMpKwxZCbprYrz1RYWi,2025-07-22T16:35:54.000Z,2025-07-23T15:00:00.000+10:00,2025-07-23T16:00:00.000+10:00,0.00037623,0.00039464,1.048933,4.89,1.3063,60,Yes
20,GPbVkH7bmxuwM8vKsWVYJ4rW7ErwsNwRoBGho16Sbonk,2025-07-22T21:33:04.000Z,2025-07-23T21:00:00.000+10:00,2025-07-23T22:00:00.000+10:00,0.00334555,0.00325244,0.972170,-2.78,1.1945,60,No
21,GxzvWxCzNN3MTEZzTRx7RnP3yg4dmD8Ez8Ssu8wSbonk,2025-07-23T01:25:30.000Z,2025-07-24T01:00:00.000+10:00,2025-07-24T02:00:00.000+10:00,0.00179341,0.00171199,0.954600,-4.54,1.3162,60,No
22,4CG16Qpsy78ymFE7K7DV4kzh5j8aYqhhAskkX2sfbonk,2025-07-23T10:12:40.000Z,2025-07-24T14:00:00.000+10:00,2025-07-24T15:00:00.000+10:00,0.00000684,0.00000743,1.086760,8.68,1.2783,60,Yes
23,CCk7zxbYt3zMLybZ2Civw6r4H9ZSiLts3HNmLcdvbonk,2025-07-23T11:12:33.000Z,2025-07-24T05:00:00.000+10:00,2025-07-24T06:00:00.000+10:00,0.00057857,0.00062128,1.073813,7.38,1.2283,60,Yes
24,D9JXMRovgX9hyCAqkQZTvj5Pr3rgZkNCFw8vfhxabonk,2025-07-23T14:58:31.000Z,2025-07-24T12:00:00.000+10:00,2025-07-24T13:00:00.000+10:00,0.00027518,0.00031511,1.145100,14.51,1.2111,60,Yes
25,ECesgiZHYtJuGjTib64CdEhWfNr9qKUrkFT6MNsfbonk,2025-07-23T19:41:03.000Z,2025-07-27T02:00:00.000+10:00,2025-07-27T04:00:00.000+10:00,0.00016046,0.00016320,1.017069,1.71,1.0512,120,Yes
26,y31hFyYbrVW4R53Zfka8WJfQpwpMLfCcAjVKAonpump,2025-07-24T11:25:57.000Z,2025-07-25T17:00:00.000+10:00,2025-07-25T18:00:00.000+10:00,0.00024770,0.00026599,1.073811,7.38,1.0818,60,Yes
27,3UzkMymHpqDijXYaGsz8Vbc1Vk4tKBED5TDT9v6Hbonk,2025-07-24T14:51:57.000Z,2025-07-25T20:00:00.000+10:00,2025-07-25T21:00:00.000+10:00,0.00109152,0.00093010,0.852118,-14.79,1.0264,60,No
28,7ZC4BjM92HboXQPi39ehiueJ8CuDJQxPVMuZtzshbonk,2025-07-24T16:51:53.000Z,2025-07-28T13:00:00.000+10:00,2025-07-28T15:00:00.000+10:00,0.00004277,0.00005289,1.236503,23.65,1.0886,120,Yes
29,EtZFFYibEKAQbR4UB1VoQFscpkTYxbMdB1bssbAybonk,2025-07-24T18:02:56.000Z,2025-07-26T00:00:00.000+10:00,2025-07-26T02:00:00.000+10:00,0.00066893,0.00077471,1.158122,15.81,1.0655,120,Yes
30,ErgAfNEtv1SpjG5q1T7dmooSqr7kt7wAfNqZq8azbonk,2025-07-26T04:03:02.000Z,2025-07-27T11:00:00.000+10:00,2025-07-27T13:00:00.000+10:00,0.00021949,0.00019634,0.894526,-10.55,1.0000,120,No
31,3hrGWXzgQzAikcG6rerG45tK7KLYw2dZ84owWJ14bonk,2025-07-26T19:06:11.000Z,2025-07-27T16:00:00.000+10:00,2025-07-27T17:00:00.000+10:00,0.00075801,0.00070357,0.928177,-7.18,1.1501,60,No
32,HY9af7cfvWjyWVxc6mUcqVt4be1NWk2TawjwuSbujups,2025-07-26T20:30:08.000Z,2025-07-27T15:00:00.000+10:00,2025-07-27T16:00:00.000+10:00,0.00039412,0.00033266,0.844063,-15.59,1.0447,60,No
33,5BuqrxLTaWpazYKrh4dz1mCiMNj4WCHiU8ZKnoEDjups,2025-07-27T19:32:00.000Z,2025-07-29T21:00:00.000+10:00,2025-07-29T23:00:00.000+10:00,0.00437335,0.00346376,0.792015,-20.80,1.0098,120,No
34,2uaTpSujZBYwBZNXusmW7PqM8Vi4qwbyotnfWhaN9oT9,2025-07-28T00:28:59.000Z,2025-07-29T01:00:00.000+10:00,2025-07-29T02:00:00.000+10:00,0.00163518,0.00151476,0.926355,-7.36,1.0893,60,No
35,7PagSBusvxQ252fuBFnhipMZwd4T4jGikLeuwrDibonk,2025-07-28T06:46:27.000Z,2025-07-29T02:00:00.000+10:00,2025-07-29T05:00:00.000+10:00,0.00721045,0.00628906,0.872214,-12.78,1.0766,180,No
36,9AfZdS6orGRi6ey4mMwyRnU2yZ6SzMZxcpMroE4rjups,2025-07-28T07:39:54.000Z,2025-07-30T19:00:00.000+10:00,2025-07-30T20:00:00.000+10:00,0.00009395,0.00007441,0.792015,-20.80,1.1747,60,No
37,dgU3DSSTFyHx4j5MKx94V3BB6jMse7EQpGDi6zUuULt,2025-07-28T16:06:47.000Z,2025-07-29T18:00:00.000+10:00,2025-07-29T19:00:00.000+10:00,0.00069450,0.00060252,0.867553,-13.24,1.0671,60,No
38,DGKj2gcKkrYnJYLGN89d1yStpx7r6yPkR166opx2bonk,2025-07-30T06:25:23.000Z,2025-07-31T06:00:00.000+10:00,2025-07-31T08:00:00.000+10:00,0.00190964,0.00200636,1.050649,5.06,1.0333,120,Yes
39,FBQZyWrCs4LJPb1HL6XiE3HVaEE9oszeNJPBa6sLbonk,2025-07-30T08:52:22.000Z,2025-07-31T09:00:00.000+10:00,2025-07-31T10:00:00.000+10:00,0.00003242,0.00002613,0.806019,-19.40,1.0295,60,No
40,AuRK3tsrbjTNasc7EJ4HSLAJUZqFYLH3Q8A4BsHnbonk,2025-07-30T14:49:14.000Z,2025-08-02T12:00:00.000+10:00,2025-08-02T14:00:00.000+10:00,0.00000683,0.00000674,0.987173,-1.28,1.0000,120,No
41,5hUL8iHMXcUj9AS7yBErJmmTXyRvbdwwUqbtB2udjups,2025-07-31T06:52:57.000Z,2025-08-03T19:00:00.000+10:00,2025-08-04T00:00:00.000+10:00,0.00044861,0.00058377,1.301306,30.13,1.6089,300,Yes
42,6pcSWu35Dw4qZjtcn1sdeSHXzxNaY3JVege6xn59DEpQ,2025-07-31T18:17:10.000Z,2025-08-03T04:00:00.000+10:00,2025-08-03T06:00:00.000+10:00,0.00001575,0.00001629,1.034395,3.44,1.0000,120,Yes
43,CFE79emBnGNMtkbYSU39tv9eMH2i7uiVMscaerYxbonk,2025-07-31T21:35:46.000Z,2025-08-04T16:00:00.000+10:00,2025-08-04T18:00:00.000+10:00,0.00000469,0.00000461,0.983561,-1.64,1.0000,120,No
44,8Ejzgzic8ubyoARqXjJX6S2mYkGxiKHJx5rb5feBbonk,2025-08-01T09:04:11.000Z,2025-08-04T01:00:00.000+10:00,2025-08-04T03:00:00.000+10:00,0.00004410,0.00004766,1.080733,8.07,1.1905,120,Yes
45,5uEduS1nkyE2QW1oEZei2pnCN3oym4ziaZ143A7Jbonk,2025-08-01T15:03:52.000Z,2025-08-02T23:00:00.000+10:00,2025-08-03T00:00:00.000+10:00,0.00018971,0.00019554,1.030728,3.07,1.0050,60,Yes
46,76jtf8RVt6e8aMfVRvYXoV2iBggqMXotEyUjmAHdjups,2025-08-02T01:13:10.000Z,2025-08-02T19:00:00.000+10:00,2025-08-02T21:00:00.000+10:00,0.00007800,0.00008412,1.078593,7.86,1.3636,120,Yes
47,6W7oWHbWvNceicjqtaVzeRkRpiXBcmbNZx6mNtmYbonk,2025-08-02T09:05:43.000Z,2025-08-05T08:00:00.000+10:00,2025-08-05T15:00:00.000+10:00,0.00000460,0.00000451,0.980666,-1.93,1.0000,420,No
48,Bb5BKNzKtkRM9zeEdc5ojkPgYKr5GsuMzBeGktn2bonk,2025-08-02T09:53:47.000Z,2025-08-03T08:00:00.000+10:00,2025-08-03T09:00:00.000+10:00,0.00008054,0.00009036,1.121887,12.19,1.1972,60,Yes
49,7hZmPPkBDYbFpvzQW54sX3DQHQjEVsVcCFRWsvCdbonk,2025-08-02T11:33:00.000Z,2025-08-03T07:00:00.000+10:00,2025-08-03T10:00:00.000+10:00,0.01139345,0.01085751,0.952961,-4.70,1.2222,180,No
50,9mAnyxAq8JQieHT7Lc47PVQbTK7ZVaaog8LwAbFzBAGS,2025-08-02T11:56:04.000Z,2025-08-03T04:35:00.000+10:00,2025-08-03T04:45:00.000+10:00,0.00433209,0.00389101,0.898184,-10.18,1.1158,10,No
