Week,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment
2025-07-14,99.19,99.21,-0.81,-0.79,2.61,2.59
2025-07-21,97.60,97.74,-2.40,-2.26,6.83,6.85
2025-07-28,92.57,92.80,-7.43,-7.20,10.62,10.87
2025-08-04,90.86,91.08,-9.14,-8.92,8.57,9.32
2025-08-11,96.87,97.62,-3.13,-2.38,3.23,3.51
2025-08-18,94.82,95.82,-5.18,-4.18,9.84,10.03
2025-08-25,101.02,102.73,1.02,2.73,8.86,8.59
2025-09-01,101.89,103.77,1.89,3.77,4.90,4.64
2025-09-08,87.37,89.15,-12.63,-10.85,14.61,14.63
2025-09-15,78.91,79.37,-21.09,-20.63,15.68,17.27
2025-09-22,95.94,101.38,-4.06,1.38,6.36,6.06
2025-09-29,90.76,96.06,-9.24,-3.94,9.18,8.82
2025-10-06,109.80,117.88,9.80,17.88,6.51,5.90
2025-10-13,110.06,118.15,10.06,18.15,3.37,2.83
2025-10-20,104.41,112.98,4.41,12.98,5.38,4.58
2025-10-27,104.14,112.75,4.14,12.75,7.49,6.46
2025-11-03,103.90,112.52,3.90,12.52,0.00,0.00
