TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,DrhNHUpe4vhhqFe78tCk3wipmM1fV2NEXPzzLwBqbonk,2025-07-18T23:02:45.000Z,2025-07-21T05:00:00.000+10:00,2025-07-21T14:00:00.000+10:00,1.009283,0.93,1.0297,540,Yes
2,ncZKG8wBopUDBqD9Xitsh2CNr7eECv11fshozS3pump,2025-09-11T22:12:45.000Z,2025-09-13T00:00:00.000+10:00,2025-09-13T02:00:00.000+10:00,1.090065,9.01,1.0268,120,Yes
