TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,7PEfo7wZZcrej6AYqELt3yEBTkKLK9joZJ8KLWGHpump,2025-09-18T14:46:53.000Z,2025-09-19T11:00:00.000+10:00,2025-09-19T13:00:00.000+10:00,0.00022442,0.00023156,1.031787,3.18,1.1418,120,Yes
2,CkwBaHQAN5aiPE5G7ApvELn1V3E1jHCQoZZB61FJbonk,2025-09-18T19:27:49.000Z,2025-09-21T14:00:00.000+10:00,2025-09-21T19:00:00.000+10:00,0.00000808,0.00000736,0.910833,-8.92,1.0734,300,No
3,98PneCu5cHokTT33cVqWhe7GWqYxUvoHbD5gKUhwbonk,2025-09-19T01:38:24.000Z,2025-09-21T15:00:00.000+10:00,2025-09-21T17:00:00.000+10:00,0.00000954,0.00001019,1.068063,6.81,1.0000,120,Yes
4,HZyBRogvt2Wd7orhGLPaixt5gN79BB8hnYPmN57Lpump,2025-09-19T16:56:01.000Z,2025-09-20T21:00:00.000+10:00,2025-09-20T23:00:00.000+10:00,0.00008734,0.00007022,0.803921,-19.61,1.0000,120,No
5,8dHQtB8F3vEUWUXvptPWsSMQy5jo2h6WU2aDNbfipump,2025-09-20T18:03:26.000Z,2025-09-21T18:00:00.000+10:00,2025-09-21T19:00:00.000+10:00,0.00026539,0.00027414,1.032994,3.30,1.0911,60,Yes
6,BvDCexvFmqp6LLG32VuUviZCE9S1r5c157twJjFxpump,2025-09-22T11:39:58.000Z,2025-09-24T06:00:00.000+10:00,2025-09-24T11:00:00.000+10:00,0.00000656,0.00000625,0.952018,-4.80,1.0000,300,No
7,B3E9oKWsoKS4Mm3dJ8vMSxETiE42PMR76BssfvY8pump,2025-09-23T16:39:35.000Z,2025-09-26T03:00:00.000+10:00,2025-09-26T05:00:00.000+10:00,0.00001095,0.00001354,1.236195,23.62,1.0000,120,Yes
8,3vQNYEhmBVnnSReH1QZP16EYje8X1vRPh8k3iASRpump,2025-09-24T16:38:20.000Z,2025-09-29T11:00:00.000+10:00,2025-09-29T22:00:00.000+10:00,0.00000568,0.00000555,0.976688,-2.33,1.0076,660,No
9,3d1qHSAkQhoN7kN1C6tvpAArCkXWxwYdBng6taXCDM6u,2025-09-25T21:11:38.000Z,2025-09-27T06:00:00.000+10:00,2025-09-27T08:00:00.000+10:00,0.00010590,0.00010801,1.019916,1.99,1.1019,120,Yes
10,0x718447e29b90d00461966d01e533fa1b69574444,2025-09-26T07:56:00.000Z,2025-09-27T22:00:00.000+10:00,2025-09-28T00:00:00.000+10:00,0.00105903,0.00106864,1.009071,0.91,1.0000,120,Yes
11,0xbdadc9e47be92fd086b5b4099b53512e489a4444,2025-09-27T15:17:23.000Z,2025-10-01T12:00:00.000+10:00,2025-10-01T14:00:00.000+10:00,0.00001633,0.00001641,1.004972,0.50,1.0000,120,Yes
