Week,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment
2025-09-15,98.47,98.48,-1.53,-1.52,2.17,2.16
2025-09-22,100.40,100.41,0.40,0.41,0.03,0.03
2025-09-29,105.84,105.93,5.84,5.93,2.01,1.97
2025-10-06,153.42,150.21,53.42,50.21,1.54,1.53
2025-10-13,156.61,152.51,56.61,52.51,2.13,1.40
2025-10-20,167.86,159.95,67.86,59.95,2.64,1.79
2025-10-27,156.60,153.05,56.60,53.05,6.08,3.89
2025-11-03,154.10,151.50,54.10,51.50,1.20,0.76
