TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-08-03T01:15:52.000Z,0.983082,10.00,-0.17,100.00,99.83,100.00
2,2025-08-13T09:45:23.000Z,1.013329,9.99,0.13,99.83,99.96,99.92
