Strategy,WeekStart,Trades,PortfolioStart,PortfolioEnd,ReturnPercent,Multiplier
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-14,10,100.00,106.92,6.92,1.0692
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-21,28,106.92,123.01,15.05,1.1505
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-28,30,123.01,124.14,0.91,1.0091
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-04,47,124.14,147.81,19.07,1.1907
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-11,31,147.81,187.88,27.11,1.2711
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-18,31,187.88,233.75,24.41,1.2441
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-25,30,233.75,297.92,27.46,1.2746
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-01,18,297.92,349.46,17.30,1.1730
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-08,36,349.46,329.35,-5.75,0.9425
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,23,329.35,340.58,3.41,1.0341
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,22,340.58,532.94,56.48,1.5648
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,22,532.94,676.60,26.95,1.2695
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,26,676.60,1031.86,52.51,1.5251
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,18,1031.86,1222.35,18.46,1.1846
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,18,1222.35,1230.85,0.70,1.0070
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,11,1230.85,1335.95,8.54,1.0854
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,1335.95,1335.55,-0.03,0.9997
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-14,10,100.00,106.92,6.92,1.0692
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-21,28,106.92,123.01,15.05,1.1505
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-28,30,123.01,124.14,0.91,1.0091
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-04,47,124.14,147.81,19.07,1.1907
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-11,31,147.81,187.88,27.11,1.2711
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-18,31,187.88,221.22,17.74,1.1774
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-25,30,221.22,281.95,27.46,1.2746
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-01,18,281.95,330.73,17.30,1.1730
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-08,36,330.73,311.70,-5.75,0.9425
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,23,311.70,322.32,3.41,1.0341
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,22,322.32,501.68,55.64,1.5564
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,22,501.68,636.91,26.95,1.2695
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,26,636.91,971.33,52.51,1.5251
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,18,971.33,1150.64,18.46,1.1846
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,18,1150.64,1158.64,0.70,1.0070
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,11,1158.64,1257.58,8.54,1.0854
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,1257.58,1257.20,-0.03,0.9997
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-14,10,100.00,106.92,6.92,1.0692
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-21,28,106.92,123.01,15.05,1.1505
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-28,30,123.01,124.14,0.91,1.0091
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-04,47,124.14,147.81,19.07,1.1907
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-11,31,147.81,187.88,27.11,1.2711
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-18,31,187.88,233.75,24.41,1.2441
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-25,30,233.75,297.92,27.46,1.2746
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-01,18,297.92,349.46,17.30,1.1730
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-08,36,349.46,329.35,-5.75,0.9425
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,23,329.35,340.58,3.41,1.0341
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,22,340.58,532.94,56.48,1.5648
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,22,532.94,621.08,16.54,1.1654
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,26,621.08,947.19,52.51,1.5251
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,18,947.19,1122.05,18.46,1.1846
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,18,1122.05,1129.85,0.70,1.0070
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,11,1129.85,1226.33,8.54,1.0854
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,1226.33,1225.96,-0.03,0.9997
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-14,10,100.00,106.92,6.92,1.0692
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-21,28,106.92,121.46,13.60,1.1360
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-28,30,121.46,122.79,1.09,1.0109
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-04,47,122.79,147.14,19.84,1.1984
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-11,31,147.14,182.93,24.32,1.2432
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-18,31,182.93,223.03,21.92,1.2192
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-25,30,223.03,283.40,27.07,1.2707
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-01,18,283.40,325.19,14.75,1.1475
