Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,50.12,6.35,1028.74,10.2874,58.55,5.69,27.00,0.3439,4.25,5.06,3.7351,No,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,49.13,6.30,1015.70,10.1570,49.59,4.88,26.35,0.3475,3.92,4.98,3.7976,No,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,403,49.13,6.30,1015.70,10.1570,49.59,4.88,26.35,0.3475,3.92,4.98,3.7976,Yes,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,403,49.13,6.30,1015.70,10.1570,49.59,4.88,26.35,0.3475,3.92,4.98,3.7976,Yes,0.85
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,403,50.12,6.26,1008.39,10.0839,54.21,5.37,25.72,0.3531,4.08,5.06,3.8621,Yes,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,49.88,6.29,1003.18,10.0318,56.69,5.65,26.65,0.3389,4.13,5.04,3.7447,No,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,403,49.88,6.29,1003.18,10.0318,56.69,5.65,26.65,0.3389,4.13,5.04,3.7447,Yes,0.8
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,50.12,6.17,967.33,9.6733,57.57,5.95,26.92,0.3222,4.25,5.06,3.6370,No,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,49.13,6.15,965.75,9.6575,48.76,5.05,26.34,0.3287,3.92,4.98,3.7057,No,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,403,49.13,6.15,965.75,9.6575,48.76,5.05,26.34,0.3287,3.92,4.98,3.7057,Yes,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,403,49.13,6.15,965.75,9.6575,48.76,5.05,26.34,0.3287,3.92,4.98,3.7057,Yes,0.85
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,403,49.88,6.13,953.86,9.5386,55.75,5.84,26.63,0.3206,4.13,5.04,3.6537,Yes,0.8
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,49.88,6.13,953.86,9.5386,55.75,5.84,26.63,0.3206,4.13,5.04,3.6537,No,0.8
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,50.12,6.09,943.72,9.4372,55.98,5.93,25.91,0.3257,4.25,5.06,3.7337,No,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,49.13,6.06,938.76,9.3876,47.42,5.05,25.28,0.3318,3.92,4.98,3.8081,No,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,403,49.13,6.06,938.76,9.3876,47.42,5.05,25.28,0.3318,3.92,4.98,3.8081,Yes,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,403,49.13,6.06,938.76,9.3876,47.42,5.05,25.28,0.3318,3.92,4.98,3.8081,Yes,0.85
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,403,49.88,6.05,927.09,9.2709,54.21,5.85,25.58,0.3233,4.13,5.04,3.7510,No,0.8
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,403,49.88,6.05,927.09,9.2709,54.21,5.85,25.58,0.3233,4.13,5.04,3.7510,Yes,0.8
PT2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.65,5.82,851.09,8.5109,61.27,7.12,27.62,0.2719,4.10,4.89,3.3457,Yes,0.85
PT2-3_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.65,5.64,800.70,8.0070,57.96,7.16,26.00,0.2695,4.10,4.89,3.4420,Yes,0.85
PT2_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.40,5.60,779.37,7.7937,61.27,7.78,27.43,0.2477,4.14,4.87,3.2414,Yes,0.85
PT1.5_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.65,5.45,751.90,7.5190,57.00,7.50,25.91,0.2516,4.10,4.89,3.3403,Yes,0.85
PT1.5-2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.65,5.38,733.50,7.3350,55.43,7.48,24.85,0.2549,4.10,4.89,3.4348,Yes,0.85
PT2-3_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.40,5.42,733.23,7.3323,57.96,7.82,25.80,0.2454,4.14,4.87,3.3336,Yes,0.85
PT2_SL25_TS10@1.3_ExitCross_KijunSL_Clamp80,403,46.65,5.41,722.54,7.2254,66.12,8.99,27.96,0.2227,4.51,4.87,3.0729,Yes,0.8
PT1.5_SL20_TS10@1.3_ExitCross_KijunSL_Clamp85,403,46.40,5.26,696.39,6.9639,57.00,8.10,25.78,0.2314,4.14,4.87,3.2401,Yes,0.85
PT2_SL15_TS10@1.3_ExitCross_KijunSL_Clamp85,403,45.66,5.27,685.02,6.8502,58.47,8.45,27.44,0.2132,4.28,4.79,3.0489,Yes,0.85
