Strategy,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,PnL,PnLPercent,MaxReached,MaxGainPercent,TokenMaxDrawdownPercent,HoldDurationHours
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,2025-07-18T17:10:12.000Z,2025-07-19T12:00:00.000+10:00,2025-07-19T13:00:00.000+10:00,0.00040093,1.2741,27.41,1.4157,41.57,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,2025-07-18T22:47:32.000Z,2025-07-19T18:00:00.000+10:00,2025-07-19T20:00:00.000+10:00,0.00167905,1.0194,1.94,1.2080,20.80,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,FvBJS4xPWLsjuoCiafXu4GR15YGiKpNHhJpXEm7bonk,2025-07-19T00:59:31.000Z,2025-07-20T05:00:00.000+10:00,2025-07-20T06:00:00.000+10:00,0.00003579,1.2272,22.72,1.2193,21.93,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,4ZVCJdxrbWLWKFFAZqqphyNBUhPE7YpnHWXvFuKkbonk,2025-07-19T07:06:49.000Z,2025-07-21T03:00:00.000+10:00,2025-07-21T05:00:00.000+10:00,0.00000687,0.9941,-0.59,1.0041,0.41,0.59,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,935zJVrrhH5j2fBjq9zSj9mrSKhDuLGQfhp1QNRBbonk,2025-07-19T08:26:51.000Z,2025-07-20T15:00:00.000+10:00,2025-07-20T17:00:00.000+10:00,0.00000536,1.0143,1.43,1.0000,0.00,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,HHM5XfhBa3Arm6xvRqH2jHVJCFWmVBTYjUbf9wKJbonk,2025-07-19T10:42:00.000Z,2025-07-21T18:00:00.000+10:00,2025-07-21T19:00:00.000+10:00,0.00001543,0.9659,-3.41,1.0240,2.40,3.41,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,BDWvvvKUS9c3C4Rz1w9tk5uD519CzD2f6n7zBk2Bbonk,2025-07-19T15:41:12.000Z,2025-07-21T01:00:00.000+10:00,2025-07-21T03:00:00.000+10:00,0.00163814,0.8500,-15.00,1.0005,0.05,15.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,DRTxSx7s5WQxa1t7u6uHtqjnEKqS6Na8ZoCPoLc4bonk,2025-07-19T17:15:21.000Z,2025-07-20T14:00:00.000+10:00,2025-07-20T19:00:00.000+10:00,0.00000690,1.2232,22.32,1.3591,35.91,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,2025-07-20T12:53:20.000Z,2025-07-21T17:00:00.000+10:00,2025-07-21T19:00:00.000+10:00,0.00385459,1.0120,1.20,1.0790,7.90,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,LarJmR9bQNUGUNPWaQ2tb6KrBT5DYMtpuuL9W7ELg5w,2025-07-20T12:56:43.000Z,2025-07-22T10:00:00.000+10:00,2025-07-22T12:00:00.000+10:00,0.00000505,1.0996,9.96,1.0000,0.00,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,HjsZ73QxNbXoUnyXXffoXn6kHUKQqdy6GXd4J1N4shot,2025-07-20T21:08:14.000Z,2025-07-21T22:15:00.000+10:00,2025-07-21T23:20:00.000+10:00,0.00155657,1.0407,4.07,1.0029,0.29,0.00,0.00
