Message ID,Sender,Timestamp,Address,Chain,Token Name,Token Symbol,Updated Call Price,Updated Market Cap,OHLCV Candles,Simulation PNL,Max Price,Targets Hit,OHLCV File,Error
146563,Brook Giga I verify @BrookCalls,2025-10-18T07:49:36.000Z,0xab26879a1cf3ee841340086231ce2d4050f7517d,bsc,N/A,N/A,N/A,N/A,0,N/A,N/A,0,N/A,Token not found on Birdeye
146563,Brook Giga I verify @BrookCalls,2025-10-18T07:49:36.000Z,0xab26879a1cf3ee841340086231ce2d4050f7517d,bsc,N/A,N/A,N/A,N/A,0,N/A,N/A,0,N/A,Token not found on Birdeye
146566,JK -Whale,2025-10-18T07:50:16.000Z,0x986a444d8afb896d07fd154d303886c028964444,bsc,Fangpi,FANGPI,0.00023763,238,373,0.775,0.00023763,0,FANGPI_0x986a44_bsc.csv,
146569,exy,2025-10-18T08:21:55.000Z,0x7dc31152F557f0a21897cab58b0d2d213a6d4444,bsc,STAKE FLOW,FLOW,0.00025092,251,576,1.054,0.00025092,0,FLOW_0x7dc311_bsc.csv,
146581,Brook Giga I verify @BrookCalls,2025-10-18T08:59:44.000Z,0xd6C9383d1030c3ca802632E139880d6f99604444,bsc,高手,高手,0.00052922,529,302,2.486,0.12512954,0,高手_0xd6C938_bsc.csv,
146584,Brook,2025-10-18T09:03:30.000Z,0xd6C9383d1030c3ca802632E139880d6f99604444,bsc,高手,高手,0.00064119,641,303,2.328,0.12512954,0,高手_0xd6C938_bsc.csv,
146587,JK -Whale,2025-10-18T09:03:58.000Z,9QFfgxdSqH5zT7j6rZb1y6SZhw2aFtcQu2r6BuYpump,solana,goldcoin,goldcoin,0.00414480,4145,576,1.107,0.00414480,0,goldcoin_9QFfgxdS_solana.csv,
146590,meme world order,2025-10-18T11:21:26.000Z,5uDpMmodeafTKGDDQ5PxzYuUDx6cSh9rfb6LT4Fspump,solana,natural selection,NS,0.00001952,20,576,1.533,0.00001952,0,NS_5uDpMmod_solana.csv,
146594,Brook,2025-10-18T11:42:09.000Z,0xd6C9383d1030c3ca802632E139880d6f99604444,bsc,高手,高手,0.00055581,556,335,1.872,0.12512954,0,高手_0xd6C938_bsc.csv,
146597,Brook Giga I verify @BrookCalls,2025-10-18T12:21:23.000Z,0xc160598f2f5b216b48fa36007b4538114a234444,bsc,SAFE,SAFE,0.00256556,2566,326,0.891,0.00256556,0,SAFE_0xc16059_bsc.csv,
146600,Brook Giga I verify @BrookCalls,2025-10-18T12:32:15.000Z,0xc160598f2f5b216b48fa36007b4538114a234444,bsc,SAFE,SAFE,0.00314802,3148,328,0.843,0.00314802,0,SAFE_0xc16059_bsc.csv,
146604,Brook Giga I verify @BrookCalls,2025-10-18T14:44:33.000Z,0xc160598F2f5b216b48FA36007b4538114A234444,bsc,SAFE,SAFE,0.00144656,1447,354,1.009,0.00144656,0,SAFE_0xc16059_bsc.csv,
146610,Brook,2025-10-18T16:10:26.000Z,CPLTbYbtDMKZtHBaPqdDmHjxNwESCEB14gm6VuoDpump,solana,DraperTV,DTV,0.01369271,13693,576,1.456,0.01369271,0,DTV_CPLTbYbt_solana.csv,
146617,JK -Whale,2025-10-18T16:15:01.000Z,0x5256cd8c02f89318665ecf25b21a008cd1b74444,bsc,Omen Oracle,OMEN,0.00043068,431,308,1.012,0.00043068,0,OMEN_0x5256cd_bsc.csv,
