Trade#,TokenAddress,TokenSymbol,TokenName,Chain,Caller,AlertTime,EntryPrice,ExitPrice,PnL_Multiplier,PnL_Percent,Max_Multiplier_Reached,HoldDuration_Minutes,TimeToAth_Minutes,CandlesCount
1,37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T17:10:12.000Z,0.00045550,0.00027330,0.6000,-40.00,1.7933,10065,65,452
2,ygDvqnG9V6qwWHZ9SmFkWjiMUrwmpYnJ9hMR7Njbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T18:20:22.000Z,0.00000602,0.00000614,1.0200,2.00,3.9652,10055,0,234
3,56UDDutoCf2iGMhfCTjmKuyseeJCpnMhcKPjoyFQbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T19:23:45.000Z,0.00005559,0.00003335,0.6000,-40.00,1.4816,10055,10,234
4,8qGR2zjDDXBins24urtvRMEWiE7tUr6xJ8nUCbY6bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T19:23:58.000Z,0.00004277,0.00004362,1.0200,2.00,4.7487,10055,340,234
5,GBZ9knZmAsCSPzxPqrFEKCXX5JBx1Yr3LKDxnKNqpump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T20:14:53.000Z,0.00014053,0.00008432,0.6000,-40.00,1.0421,10065,0,468
6,5kx6u1iN3bEUxWboawVS8uK745tBuhxSb8jApcYbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T20:45:19.000Z,0.00011167,0.00006700,0.6000,-40.00,1.6525,10030,15,234
7,D9jLchK1SDNYEFpMKacVQ5eoPtUSaZkuuQdeBKhKbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T22:41:09.000Z,0.00002786,0.00001672,0.6000,-40.00,1.9214,10035,0,234
8,6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T22:47:32.000Z,0.00168269,0.00256618,1.5250,52.50,3.9251,10030,2350,702
9,5EL3ZL6y59Wqw6H3DzMWCbF4gfaY1JcHBC8T96XSbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T00:56:08.000Z,0.00000507,0.00000515,1.0147,1.47,1.1025,10020,6300,234
10,6pVhSbhT8qod1LQFLaifieeecxhy7B7gp6aCMfKGbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T00:56:52.000Z,0.00004929,0.00002957,0.6000,-40.00,1.1446,10020,10,234
11,FvBJS4xPWLsjuoCiafXu4GR15YGiKpNHhJpXEm7bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T00:59:31.000Z,0.00007650,0.00004590,0.6000,-40.00,1.5074,10020,0,936
12,4ZVCJdxrbWLWKFFAZqqphyNBUhPE7YpnHWXvFuKkbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T07:06:49.000Z,0.00029195,0.00017517,0.6000,-40.00,1.8961,10070,5,702
13,A4WU95HHYX8u3vb18oFpz6JRcsxfM4VmZK9zsXCUbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T08:02:24.000Z,0.00020376,0.00012226,0.6000,-40.00,1.7624,10075,70,234
14,935zJVrrhH5j2fBjq9zSj9mrSKhDuLGQfhp1QNRBbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T08:26:51.000Z,0.00002470,0.00001482,0.6000,-40.00,1.1650,10050,0,468
15,92ZcT2413ZboNzdZFzq2mrqXZeu99wc5kx2fgjMgpump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T09:39:43.000Z,0.00004227,0.00007234,1.7112,71.12,4.3517,10040,2960,234
16,4SngaZ3N9ELjCqh6P3MeA3r4Hi2Dx1MDn2H4ijcDbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T09:53:13.000Z,0.00013801,0.00038486,2.7887,178.87,14.2236,10025,905,234
17,3Qsm1UVizsXvpV5qNQ2JYMbWL651Ld68MXGz31zYECfz,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T10:39:09.000Z,0.00002952,0.00003012,1.0200,2.00,2.8291,10040,75,234
