Trade#,TokenAddress,TokenSymbol,TokenName,Chain,Caller,AlertTime,EntryPrice,ExitPrice,PnL_Multiplier,PnL_Percent,Max_Multiplier_Reached,HoldDuration_Minutes,TimeToAth_Minutes,CandlesCount
1,37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T17:10:12.000Z,0.00045550,0.00031885,0.7000,-30.00,1.7933,10065,65,452
2,ygDvqnG9V6qwWHZ9SmFkWjiMUrwmpYnJ9hMR7Njbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T18:20:22.000Z,0.00000602,0.00000812,1.3500,35.00,3.9652,10055,0,234
3,56UDDutoCf2iGMhfCTjmKuyseeJCpnMhcKPjoyFQbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T19:23:45.000Z,0.00005559,0.00003891,0.7000,-30.00,1.4816,10055,10,234
4,8qGR2zjDDXBins24urtvRMEWiE7tUr6xJ8nUCbY6bonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T19:23:58.000Z,0.00004277,0.00005774,1.3500,35.00,4.7487,10055,340,234
5,GBZ9knZmAsCSPzxPqrFEKCXX5JBx1Yr3LKDxnKNqpump,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T20:14:53.000Z,0.00014053,0.00009837,0.7000,-30.00,1.0421,10065,0,468
6,5kx6u1iN3bEUxWboawVS8uK745tBuhxSb8jApcYbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T20:45:19.000Z,0.00011167,0.00007817,0.7000,-30.00,1.6525,10030,15,234
7,D9jLchK1SDNYEFpMKacVQ5eoPtUSaZkuuQdeBKhKbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T22:41:09.000Z,0.00002786,0.00001950,0.7000,-30.00,1.9214,10035,0,234
8,6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-18T22:47:32.000Z,0.00168269,0.00279452,1.6607,66.07,3.9251,10030,2350,702
9,5EL3ZL6y59Wqw6H3DzMWCbF4gfaY1JcHBC8T96XSbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T00:56:08.000Z,0.00000507,0.00000515,1.0147,1.47,1.1025,10020,6300,234
10,6pVhSbhT8qod1LQFLaifieeecxhy7B7gp6aCMfKGbonk,UNKNOWN,Unknown Token,solana,Unknown,2025-07-19T00:56:52.000Z,0.00004929,0.00003450,0.7000,-30.00,1.1446,10020,10,234
