TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-19T04:13:29.000Z,0.856715,10.00,-1.43,100.00,98.57,100.00
2,2025-07-20T08:36:03.000Z,1.009923,9.93,0.10,98.57,98.67,99.28
3,2025-07-21T01:57:36.000Z,0.959076,9.91,-0.41,98.67,98.26,99.08
4,2025-08-08T07:03:52.000Z,1.000000,9.89,0.00,98.26,98.26,98.87
5,2025-08-12T15:04:57.000Z,0.968501,9.88,-0.31,98.26,97.95,98.75
6,2025-08-25T20:47:20.000Z,1.004970,9.86,0.05,97.95,98.00,98.62
7,2025-08-26T01:06:19.000Z,1.000000,9.85,0.00,98.00,98.00,98.53
8,2025-08-26T07:30:58.000Z,1.094338,9.85,0.93,98.00,98.93,98.46
9,2025-09-11T10:04:00.000Z,1.000396,9.85,0.00,98.93,98.93,98.51
10,2025-09-12T11:55:46.000Z,0.985639,9.86,-0.14,98.93,98.79,98.56
11,2025-09-18T05:36:01.000Z,1.847140,9.84,8.34,98.79,107.13,98.43
12,2025-10-01T11:01:57.000Z,1.168663,9.93,1.67,107.13,108.80,99.29
