TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,AMqhbPuvGbf6gz9H6NmdoZuEdHssjmAP6HDKrfSZbonk,2025-07-19T04:13:29.000Z,2025-07-20T06:00:00.000+10:00,2025-07-20T08:00:00.000+10:00,0.856715,-14.33,1.0560,120,No
2,t5xgMrnnqYNQFZZkSJNGU9xghPi9Y3p1kj5AhtYpump,2025-07-20T08:36:03.000Z,2025-07-22T04:00:00.000+10:00,2025-07-22T21:00:00.000+10:00,1.009923,0.99,1.0888,1020,Yes
3,HzCStXuaVTFvyZ4Dj2scxZnE1uoNsFX2BvCga3ZRbonk,2025-07-21T01:57:36.000Z,2025-07-25T08:00:00.000+10:00,2025-07-25T16:00:00.000+10:00,0.959076,-4.09,1.0000,480,No
4,5Sw6GyT1rt8PTNd3Kx7uGboGbif64m2vB65ZUvkFeUjt,2025-08-08T07:03:52.000Z,2025-08-09T14:00:00.000+10:00,2025-08-10T08:00:00.000+10:00,1.000000,0.00,1.0000,1080,No
5,8TLKf3Rm7V4mEJA92A34EBDwWJ53eNHzXsE3rWDZBAGS,2025-08-12T15:04:57.000Z,2025-08-18T06:00:00.000+10:00,2025-08-18T16:00:00.000+10:00,0.968501,-3.15,1.0000,600,No
6,7rirFJUDQuQodWWE6MEBZkpTfp1i1psgTc6NTkqwg777,2025-08-25T20:47:20.000Z,2025-08-29T07:00:00.000+10:00,2025-08-29T09:00:00.000+10:00,1.004970,0.50,1.0063,120,Yes
7,FWenaFEAvhRUEcfBWuzpVSYqj67Mfpjk1A3aUUNmpump,2025-08-26T01:06:19.000Z,2025-08-27T14:00:00.000+10:00,2025-08-28T08:00:00.000+10:00,1.000000,0.00,1.0000,1080,No
8,22Ley6feLYpyKn7tJL73PuHtvChBVPzYn6nTnB3npump,2025-08-26T07:30:58.000Z,2025-08-27T10:00:00.000+10:00,2025-08-30T17:00:00.000+10:00,1.094338,9.43,1.0943,4740,Yes
9,3oRQo5kbyvtudqxd6F5pz7uDgdfK4FkHA8kFRk61pump,2025-09-11T10:04:00.000Z,2025-09-13T12:00:00.000+10:00,2025-09-13T17:00:00.000+10:00,1.000396,0.04,1.0214,300,Yes
10,CikXy6QvSLAs9fd1xCCH12abicJivdgxwJ4gcZfSpump,2025-09-12T11:55:46.000Z,2025-09-16T20:00:00.000+10:00,2025-09-17T01:00:00.000+10:00,0.985639,-1.44,1.0000,300,No
11,FERY9pNPzt2JYZMN55eLLfRH2zoLfYzgsYrsWrSQbonk,2025-09-18T05:36:01.000Z,2025-09-19T10:00:00.000+10:00,2025-09-19T12:00:00.000+10:00,1.847140,84.71,1.3413,120,Yes
12,0xa7c8bdcc72832be4337eb6b26781371dad3b4444,2025-10-01T11:01:57.000Z,2025-10-03T04:00:00.000+10:00,2025-10-03T06:00:00.000+10:00,1.168663,16.87,1.0119,120,Yes
