TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-18T14:50:51.000Z,1.128920,10.00,12.89,100.00,101.29,100.00
2,2025-07-18T16:26:39.000Z,0.800000,10.04,-20.00,101.29,99.28,100.43
3,2025-07-18T19:47:22.000Z,0.954258,10.01,-4.57,99.28,98.82,100.14
4,2025-07-18T22:47:32.000Z,1.016423,9.99,1.64,98.82,98.99,99.88
5,2025-07-19T00:59:31.000Z,1.405979,9.97,40.60,98.99,103.04,99.73
6,2025-07-19T07:06:49.000Z,1.101795,10.02,10.18,103.04,104.06,100.20
7,2025-07-19T08:26:51.000Z,1.030744,10.08,3.07,104.06,104.37,100.78
8,2025-07-19T08:34:53.000Z,1.317929,10.14,31.79,104.37,107.59,101.40
9,2025-07-19T10:39:40.000Z,1.044088,10.23,4.41,107.59,108.04,102.30
10,2025-07-19T10:42:00.000Z,0.996780,10.36,-0.32,108.04,108.01,103.56
11,2025-07-19T11:50:14.000Z,0.926963,10.49,-7.30,108.01,107.24,104.87
12,2025-07-19T17:15:21.000Z,1.436081,10.60,43.61,107.24,111.87,106.05
13,2025-07-19T19:55:25.000Z,0.943044,10.73,-5.70,111.87,111.25,107.31
14,2025-07-20T12:52:28.000Z,1.117926,10.83,11.79,111.25,112.53,108.34
15,2025-07-20T14:21:46.000Z,1.035366,10.95,3.54,112.53,112.92,109.50
16,2025-07-20T16:46:45.000Z,1.152514,11.03,15.25,112.92,114.60,110.27
17,2025-07-20T21:08:14.000Z,0.912257,11.12,-8.77,114.60,113.63,111.20
18,2025-07-21T01:57:24.000Z,1.088291,11.20,8.83,113.63,114.61,112.01
19,2025-07-21T07:38:24.000Z,0.800000,11.31,-20.00,114.61,112.35,113.06
20,2025-07-21T07:43:00.000Z,0.986364,11.31,-1.36,112.35,112.20,113.13
21,2025-07-21T08:04:35.000Z,0.992286,11.33,-0.77,112.20,112.11,113.26
22,2025-07-21T10:37:16.000Z,0.907276,11.32,-9.27,112.11,111.06,113.20
23,2025-07-21T14:56:49.000Z,0.996660,11.29,-0.33,111.06,111.02,112.94
24,2025-07-21T15:40:31.000Z,0.829262,11.24,-17.07,111.02,109.10,112.43
25,2025-07-21T16:35:44.000Z,1.035204,11.18,3.52,109.10,109.50,111.78
26,2025-07-21T16:55:58.000Z,1.047066,11.11,4.71,109.50,110.02,111.05
27,2025-07-21T18:29:00.000Z,1.611875,11.07,61.19,110.02,116.79,110.72
28,2025-07-21T20:13:54.000Z,0.844808,11.14,-15.52,116.79,115.07,111.37
29,2025-07-21T22:46:53.000Z,1.000000,11.18,0.00,115.07,115.07,111.80
30,2025-07-22T08:19:12.000Z,1.222479,11.24,22.25,115.07,117.57,112.37
31,2025-07-22T16:35:54.000Z,0.845709,11.33,-15.43,117.57,115.82,113.30
32,2025-07-22T20:28:00.000Z,1.114634,11.43,11.46,115.82,117.13,114.26
33,2025-07-22T21:33:04.000Z,0.992692,11.54,-0.73,117.13,117.04,115.35
34,2025-07-23T01:25:30.000Z,0.976694,11.64,-2.33,117.04,116.77,116.36
35,2025-07-23T07:50:44.000Z,1.278101,11.64,27.81,116.77,120.01,116.35
36,2025-07-23T10:12:40.000Z,1.332661,11.71,33.27,120.01,123.90,117.06
37,2025-07-23T14:58:31.000Z,0.805588,11.83,-19.44,123.90,121.60,118.32
38,2025-07-23T19:41:03.000Z,1.037615,11.89,3.76,121.60,122.05,118.90
39,2025-07-24T00:41:22.000Z,0.845591,11.98,-15.44,122.05,120.20,119.79
40,2025-07-24T02:15:46.000Z,1.387111,12.02,38.71,120.20,124.85,120.23
41,2025-07-24T11:25:57.000Z,0.892322,12.13,-10.77,124.85,123.55,121.34
42,2025-07-24T11:26:24.000Z,1.023051,12.23,2.31,123.55,123.83,122.31
43,2025-07-24T12:30:10.000Z,0.983804,12.29,-1.62,123.83,123.63,122.85
44,2025-07-24T14:51:57.000Z,1.003325,12.28,0.33,123.63,123.67,122.82
45,2025-07-24T17:49:16.000Z,1.571025,12.31,57.10,123.67,130.70,123.11
46,2025-07-24T18:02:56.000Z,1.181518,12.43,18.15,130.70,132.96,124.35
47,2025-07-25T16:04:22.000Z,0.987034,12.62,-1.30,132.96,132.79,126.17
48,2025-07-26T04:03:02.000Z,0.912597,12.73,-8.74,132.79,131.68,127.30
49,2025-07-26T04:47:19.000Z,0.992728,12.85,-0.73,131.68,131.59,128.47
50,2025-07-26T14:28:52.000Z,1.105537,12.96,10.55,131.59,132.96,129.58
51,2025-07-26T14:29:07.000Z,0.931353,13.09,-6.86,132.96,132.06,130.91
52,2025-07-26T19:06:11.000Z,1.002073,13.21,0.21,132.06,132.08,132.11
53,2025-07-26T20:30:08.000Z,0.957429,13.23,-4.26,132.08,131.52,132.30
54,2025-07-27T00:55:10.000Z,0.908796,13.21,-9.12,131.52,130.32,132.10
55,2025-07-27T08:53:15.000Z,1.171745,13.17,17.17,130.32,132.58,131.74
56,2025-07-27T12:29:24.000Z,0.987848,13.19,-1.22,132.58,132.42,131.87
57,2025-07-27T12:43:28.000Z,1.090284,13.20,9.03,132.42,133.61,131.99
58,2025-07-27T16:13:28.000Z,0.800000,13.21,-20.00,133.61,130.97,132.08
59,2025-07-27T19:32:00.000Z,1.073497,13.19,7.35,130.97,131.94,131.93
60,2025-07-28T00:28:59.000Z,1.205188,13.19,20.52,131.94,134.65,131.91
61,2025-07-28T06:46:27.000Z,0.975165,13.24,-2.48,134.65,134.32,132.35
62,2025-07-28T07:39:54.000Z,1.384547,13.29,38.45,134.32,139.43,132.93
63,2025-07-28T19:11:54.000Z,1.100836,13.39,10.08,139.43,140.78,133.90
64,2025-07-29T06:11:15.000Z,1.063786,13.51,6.38,140.78,141.64,135.10
65,2025-07-29T14:25:35.000Z,1.385142,13.62,38.51,141.64,146.89,136.25
66,2025-07-30T06:25:23.000Z,1.082943,13.85,8.29,146.89,148.04,138.52
67,2025-07-30T08:52:22.000Z,1.292269,14.08,29.23,148.04,152.15,140.82
68,2025-07-30T12:53:52.000Z,0.800000,14.33,-20.00,152.15,149.29,143.32
69,2025-07-30T13:38:32.000Z,1.007115,14.55,0.71,149.29,149.39,145.46
70,2025-07-30T18:16:53.000Z,1.007256,14.69,0.73,149.39,149.50,146.88
71,2025-07-31T17:02:50.000Z,0.962497,14.81,-3.75,149.50,148.94,148.13
72,2025-07-31T17:26:06.000Z,1.132994,14.92,13.30,148.94,150.92,149.17
73,2025-07-31T22:02:14.000Z,0.984516,14.97,-1.55,150.92,150.69,149.75
74,2025-08-01T04:18:04.000Z,0.958035,15.01,-4.20,150.69,150.06,150.13
75,2025-08-01T15:03:52.000Z,1.099987,14.98,10.00,150.06,151.56,149.83
76,2025-08-01T21:29:50.000Z,0.903122,15.02,-9.69,151.56,150.11,150.15
77,2025-08-02T00:40:29.000Z,0.923810,15.03,-7.62,150.11,148.96,150.25
78,2025-08-02T01:13:10.000Z,1.072492,15.02,7.25,148.96,150.05,150.18
79,2025-08-02T09:05:43.000Z,0.946979,15.03,-5.30,150.05,149.25,150.34
80,2025-08-02T11:33:00.000Z,0.895170,15.01,-10.48,149.25,147.68,150.10
81,2025-08-02T11:56:04.000Z,0.883382,14.97,-11.66,147.68,145.93,149.67
82,2025-08-02T14:16:40.000Z,1.069448,14.91,6.94,145.93,146.97,149.08
83,2025-08-02T16:29:55.000Z,1.139111,14.84,13.91,146.97,149.03,148.42
84,2025-08-02T22:15:21.000Z,1.135052,14.83,13.51,149.03,151.04,148.27
85,2025-08-03T00:56:12.000Z,0.843486,14.86,-15.65,151.04,148.71,148.56
86,2025-08-03T09:45:59.000Z,0.977480,14.84,-2.25,148.71,148.38,148.37
87,2025-08-03T12:03:40.000Z,1.087452,14.82,8.75,148.38,149.67,148.25
88,2025-08-03T15:03:07.000Z,0.997983,14.85,-0.20,149.67,149.64,148.53
89,2025-08-03T20:52:41.000Z,1.003676,14.91,0.37,149.64,149.70,149.06
90,2025-08-03T22:50:11.000Z,0.875602,14.95,-12.44,149.70,147.84,149.45
91,2025-08-03T23:40:49.000Z,1.388562,14.93,38.86,147.84,153.64,149.28
92,2025-08-03T23:49:33.000Z,1.114811,14.97,11.48,153.64,155.36,149.65
93,2025-08-04T02:13:50.000Z,0.992074,15.06,-0.79,155.36,155.24,150.60
94,2025-08-04T08:04:01.000Z,0.989526,15.16,-1.05,155.24,155.08,151.58
