Caller,TotalCalls,UniqueTokens,TotalTrades,WinRate,WinningTrades,LosingTrades,AvgPnlPerTrade,InitialPortfolio,FinalPortfolio_Reinvestment,TotalReturn_Reinvestment,FinalPortfolio_NoReinvestment,TotalReturn_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment,StdDevReturns,DaysActive,DailyTWR,WeeklyTWR,AnnualTWR_Theoretical,AnnualTWR_Realistic,CalmarRatio,RiskAdjustedScore,AvgPerTradeMaxDrawdown,MaxPerTradeMaxDrawdown,AvgRiskRatio,MedianRiskRatio
Salvatore 🦇 |Genius|,17,17,12,50,6,6,7.46,100,108.8,8.8,108.95,8.95,1.88,0,2.53,75,0.11,0.79,50.77,0,0,0.04,0,0,0,0
Argy,2,2,2,50,1,1,42.86,100,108.55,8.55,108.57,8.57,0.56,0,6.87,34,0.24,1.7,141.16,0,0,0.04,0,0,0,0
Brook 💀🧲,186,174,148,33.11,49,99,0.54,100,106.83,6.83,107.97,7.97,15.12,13.26,1.81,61.17,0.11,0.76,48.33,48.33,3.2,0.06,9.63,45.16,174.02,0
Degens,7,7,6,83.33,5,1,11.04,100,106.69,6.69,106.62,6.62,0.29,0,1.27,54.38,0.12,0.84,54.45,0,0,0.09,0,0,0,0
Rayin 雷音,40,39,23,34.78,8,15,2.77,100,106.24,6.24,106.38,6.38,2.27,0,1.75,89.04,0.07,0.48,28.15,0,0,0.04,3.35,23.49,456.41,0
H B,3,3,3,100,3,0,17.19,100,105.18,5.18,105.16,5.16,0,0,2.42,5.71,0.89,6.39,2421.63,0,0,0.37,0,0,0,0
Rayin,47,42,24,29.17,7,17,1.87,100,104.27,4.27,104.49,4.49,3.17,0,1.72,89.04,0.05,0.33,18.69,0,0,0.03,4.3,23.49,378.6,0
meme world order,25,24,15,53.33,8,7,2.81,100,104.01,4.01,104.21,4.21,4.86,0,2.42,75.96,0.05,0.36,20.81,0,0,0.02,0,0,0,0
Brook Giga I verify @BrookCalls,527,405,301,31.56,95,206,0.42,100,103.9,3.9,112.52,12.52,24.89,24.52,2.45,109.38,0.03,0.25,13.62,13.62,0.55,0.01,9.27,60.71,359.73,0
AnnaGems️ (multi-chain),15,15,3,100,3,0,12.1,100,103.63,3.63,103.63,3.63,0,0,2.05,58.46,0.06,0.43,24.95,0,0,0.03,0,0,0,0
ʟ ᴇ ᴍ ᴏ ɴ ᴄ ʜ ɪ ʟ ᴅ 🍋,6,6,2,100,2,0,16.44,100,103.29,3.29,103.29,3.29,0,0,2.12,1.21,2.72,20.63,1767010.13,0,0,1.28,0,0,0,0
Crypto BO$$ 💀,7,7,6,50,3,3,5.49,100,103.27,3.27,103.29,3.29,1.57,0,2.15,33.08,0.1,0.68,42.68,0,0,0.05,0,0,0,0
BlockBard @Mrcrypt100xcalls,1,1,1,100,1,0,27.3,100,102.73,2.73,102.73,2.73,0,0,0,1,2.73,20.75,1858750.61,0,0,0,0,0,0,0
KungFuDOOM (DOOM arc),7,7,5,40,2,3,4.49,100,102.24,2.24,102.25,2.25,0.48,0,1.27,29.33,0.08,0.53,31.75,0,0,0.06,0,0,0,0
Min Min,17,17,12,66.67,8,4,1.57,100,101.84,1.84,101.88,1.88,2.22,0,1.19,58.71,0.03,0.22,12.01,0,0,0.03,0,0,0,0
Jewel.Sol,6,6,6,33.33,2,4,2.77,100,101.66,1.66,101.66,1.66,0.37,0,0.77,85.29,0.02,0.14,7.3,0,0,0.02,0,0,0,0
Zephyr (Back 10/25),4,4,2,100,2,0,4.97,100,100.99,0.99,100.99,0.99,0,0,0.57,53.88,0.02,0.13,6.93,0,0,0.03,0,0,0,0
Zephyr,6,6,3,66.67,2,1,2.65,100,100.8,0.8,100.8,0.8,0.2,0,0.57,80,0.01,0.07,3.68,0,0,0.02,0,0,0,0
🤵🍌Mr Banana🍌🤵.ࣩࣩ,3,3,2,100,2,0,3.82,100,100.76,0.76,100.76,0.76,0,0,0.47,13.25,0.06,0.4,23.35,0,0,0.12,0,0,0,0
Cobalt,12,10,6,33.33,2,4,0.92,100,100.5,0.5,100.55,0.55,3.43,0,1.72,87.42,0.01,0.04,2.12,0,0,0,0,0,0,0
