TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-08-03T06:22:51.000Z,1.000662,10.00,0.01,100.00,100.01,100.00
2,2025-08-12T22:47:47.000Z,1.039621,10.00,0.40,100.01,100.40,100.00
3,2025-09-24T21:51:33.000Z,0.800000,10.01,-2.00,100.40,98.40,100.14
4,2025-09-24T23:43:03.000Z,1.004693,9.97,0.05,98.40,98.45,99.70
5,2025-09-25T07:06:40.000Z,0.831366,9.95,-1.68,98.45,96.77,99.45
6,2025-09-26T19:12:51.000Z,1.000000,9.90,0.00,96.77,96.77,99.00
7,2025-09-26T19:14:47.000Z,1.000337,9.87,0.00,96.77,96.77,98.69
8,2025-09-28T03:41:16.000Z,0.854586,9.84,-1.43,96.77,95.34,98.45
9,2025-09-28T18:44:29.000Z,1.000000,9.81,0.00,95.34,95.34,98.10
10,2025-10-02T10:47:50.000Z,1.061528,9.78,0.60,95.34,95.94,97.83
11,2025-10-08T05:27:56.000Z,1.845363,9.74,8.24,95.94,104.18,97.42
12,2025-10-08T07:01:05.000Z,0.983143,9.78,-0.16,104.18,104.01,97.84
13,2025-10-08T07:05:04.000Z,0.975351,9.82,-0.24,104.01,103.77,98.20
14,2025-10-12T12:06:47.000Z,1.009227,9.87,0.09,103.77,103.86,98.74
15,2025-10-18T10:21:26.000Z,1.015086,9.93,0.15,103.86,104.01,99.28
