TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,69Dbtw3HEcRzim4XHZDSZCSvfuisdE1GhxsnvkcGpump,2025-08-03T06:22:51.000Z,2025-08-04T09:00:00.000+10:00,2025-08-04T12:00:00.000+10:00,1.000662,0.07,1.1137,180,Yes
2,Bu5fNx2ZFoy6TcytcpW4AUV2MsEnY2pNriqh5RQqpump,2025-08-12T22:47:47.000Z,2025-08-14T04:00:00.000+10:00,2025-08-14T06:00:00.000+10:00,1.039621,3.96,1.0000,120,Yes
3,GVvPZpC6ymCoiHzYJ7CWZ8LhVn9tL2AUpRjSAsLh6jZC,2025-09-24T21:51:33.000Z,2025-09-26T02:00:00.000+10:00,2025-09-26T04:00:00.000+10:00,0.800000,-20.00,1.0219,120,No
4,VhBDWqDmHSRzTYDc9t7uBtD9bXitQNGK6fiV3Rspump,2025-09-24T23:43:03.000Z,2025-09-27T06:00:00.000+10:00,2025-09-29T02:00:00.000+10:00,1.004693,0.47,1.0047,2640,Yes
5,4NWHUsqene63s56idLAchHC85MgvCucBgCsMjkiZpump,2025-09-25T07:06:40.000Z,2025-09-28T15:00:00.000+10:00,2025-09-28T20:00:00.000+10:00,0.831366,-16.86,1.1205,300,No
6,6UmzLsqnrVpxcRBRyBzFsJWB8FYseVrHThTMDk2ppump,2025-09-26T19:12:51.000Z,2025-09-29T15:00:00.000+10:00,2025-09-30T04:00:00.000+10:00,1.000000,0.00,1.0000,780,No
7,BCmzCD8SBswoM2EHkY7JW2b5iYzYJQjGGKfzYG79pump,2025-09-26T19:14:47.000Z,2025-09-30T02:00:00.000+10:00,2025-09-30T04:00:00.000+10:00,1.000337,0.03,1.0000,120,Yes
8,G1DXVVmqJs8Ei79QbK41dpgk2WtXSGqLtx9of7o8BAGS,2025-09-28T03:41:16.000Z,2025-09-29T07:00:00.000+10:00,2025-09-29T08:00:00.000+10:00,0.854586,-14.54,1.0000,60,No
9,8qozTAptNFophrcNTsrLGUSK9QQTLErFWmPrsQW9pump,2025-09-28T18:44:29.000Z,2025-09-30T14:00:00.000+10:00,2025-10-01T10:00:00.000+10:00,1.000000,0.00,1.0000,1200,No
10,0x0a43fc31a73013089df59194872ecae4cae14444,2025-10-02T10:47:50.000Z,2025-10-03T03:00:00.000+10:00,2025-10-03T04:00:00.000+10:00,1.061528,6.15,1.1894,60,Yes
11,0x02e75d28A8AA2a0033b8cf866fCf0bB0E1eE4444,2025-10-08T05:27:56.000Z,2025-10-10T05:00:00.000+11:00,2025-10-10T07:00:00.000+11:00,1.845363,84.54,1.0397,120,Yes
12,GaPbGp23pPuY9QBLPUjUEBn2MKEroTe9Q3M3f2Xpump,2025-10-08T07:01:05.000Z,2025-10-09T09:00:00.000+11:00,2025-10-09T11:00:00.000+11:00,0.983143,-1.69,1.0140,120,No
13,2rMgbkuu9ULmd1cPaJP25KA47XjccNyHEm6Xq1AYpump,2025-10-08T07:05:04.000Z,2025-10-10T23:00:00.000+11:00,2025-10-11T01:00:00.000+11:00,0.975351,-2.46,1.0000,120,No
14,B8Y1gUd2KKtoMH7s2euYBfafcKKnZvEi2QkE51gfpump,2025-10-12T12:06:47.000Z,2025-10-18T14:00:00.000+11:00,2025-10-19T05:00:00.000+11:00,1.009227,0.92,1.0311,900,Yes
15,5uDpMmodeafTKGDDQ5PxzYuUDx6cSh9rfb6LT4Fspump,2025-10-18T10:21:26.000Z,2025-10-19T08:00:00.000+11:00,2025-10-19T09:00:00.000+11:00,1.015086,1.51,1.1977,60,Yes
