TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-10-06T11:37:24.000Z,0.982434,10.00,-0.18,100.00,99.82,100.00
2,2025-10-07T19:56:14.000Z,0.801821,9.99,-1.98,99.82,97.84,99.91
