mint,chain,entryPrice,exitPrice,pnl,pnlPercent,positionSize,tradeReturn,portfolioBefore,portfolioAfter,timestamp,holdDuration
3ziWtmSWCgvJ8V1kcJKLz8axMBtC2jvCrnFca7aGpump,solana,0.000006029890242702005,0.000006042998543850256,0.9343940107605365,-6.560598923946348,6.666666666666667,-0.4373732615964232,100,99.56262673840358,1757448900,24995
6rV7DD28jFi41hbXnn9kJY9bTQFcuyUwfEBAuR9NceUe,solana,0.000005608897601581527,0.000005607880875348331,0.9321981393383206,-6.780186066167937,6.637508449226905,-0.4500354230152021,99.56262673840358,99.11259131538837,1757192400,24995
82n1yVoCpZRoZUVTjgUF7RSpx8Y1EuQykDXPBJfwpump,solana,0.000006208809578851012,0.000005609121470084359,0.8423129315361145,-15.768706846388547,6.607506087692558,-1.0419182648255165,99.11259131538837,98.07067305056286,1757192400,24995
EtdLQS4WrMbBiU8V2Yc1JXNDUSwQHToajNVPxsZppump,solana,0.000005807137858889069,0.0000056162488046415674,0.9017188876104503,-9.828111238954973,6.538044870037524,-0.642566322680077,98.07067305056286,97.42810672788278,1757193000,24995
4HVXQo2aL9HxAHbqj5KL7PRs1Ujm6NdPzk7nDDeqpump,solana,0.000005659958671540102,0.000005653495288751935,0.9313024342476672,-6.869756575233277,6.495207115192185,-0.4462049178709348,97.42810672788278,96.98190181001185,1757195400,24995
4A4yiTTJddLrFom9VCxLj9q4GhTjCKCeHNfbr1vapump,solana,0.000005866659413252666,0.000005771949186532177,0.9173151929428122,-8.268480705718783,6.465460120667457,-0.5345953226133311,96.98190181001185,96.44730648739852,1757151900,24995
7hJ3D3XfyLqb582vAEh1nvsv3cBSHZir5NXWgoaepump,solana,0.000005712580954842051,0.0000057068152425603,0.9314261108884655,-6.85738891115345,6.429820432493234,-0.44091779334486986,96.44730648739852,96.00638869405365,1757151900,24995
BUYZppHmBTvXRC5feeh7JcoY53KAjQdMzrp1VKjgR2o5,solana,0.00027237052199699725,0.0002446149913598793,0.6526570048309178,-34.734299516908216,6.40042591293691,-2.2231431069573135,96.00638869405365,93.78324558709635,1756648800,4450
FPK639CYJMWfpSaf33ZrjMc9gg4my1K4GQaWAjzCpump,solana,0.000005964263448407556,0.000004517931061143272,0.9323671497584541,-6.763285024154586,6.2522163724730895,-0.42285521359721356,93.78324558709635,93.36039037349913,1757149500,0
8xYdG32WBgFDTxYPx1Ag1xhBrm7Cs2oh9wSjiAxFpump,solana,0.00000623766908985707,0.000005678234035358412,0.8487463517129087,-15.125364828709131,6.224026024899942,-0.9414066432999189,93.36039037349913,92.41898373019922,1757152200,24995
7GHtAPaEFCYZjxDHoGwpWgTdcoYdHHaDGXHLepv1pump,solana,0.000006047499183233004,0.0000056804797790579986,0.8757822994908504,-12.42177005091496,6.161265582013281,-0.7653382428238571,92.41898373019922,91.65364548737536,1757152500,24995
ErTMghBqjsh12qVq6Qpi9wk117HrmMDGXA4n768Ypump,solana,0.000005857661351691539,0.0000057634340158020775,0.9173689333512836,-8.263106664871644,6.110243032491691,-0.5048958992576762,91.65364548737536,91.14874958811768,1757152500,24995
4kGBk2awHhcAsCABk7ZgTjeKAaJMptJyDCKjyqTdpump,solana,0.000005858326141777491,0.000005836756591957632,0.9289343023545346,-7.106569764546544,6.076583305874512,-0.4318366319327609,91.14874958811768,90.71691295618493,1757152500,24995
3KP5n6MUCq5cwdWbQV5B9v5Dz1x62v2c4U26zmmXpump,solana,0.000006098052860942209,0.00000579358460578815,0.8858152083890809,-11.41847916109191,6.0477941970789955,-0.6905661200991909,90.71691295618493,90.02634683608574,1757157600,24995
8iwkhLsrryTp4udNHMNN36mjUjb8zF9BSj2A5ew3JpXw,solana,0.000005685905638855456,0.00000564986858830372,0.9264578427381238,-7.354215726187618,6.001756455739049,-0.44138211711544173,90.02634683608574,89.5849647189703,1757133900,24995
6cEbCEwk8CC7hwDHWGW2ps15WgZXuKHoqXB33cXapump,solana,0.000006511854031864628,0.000006540134723566138,0.9323671497584541,-6.763285024154586,5.972330981264687,-0.4039257668488192,89.5849647189703,89.18103895212148,1756964400,0
365DTRxig9b5Rc1LV5g7sod6HAknNUes1BmTAU7Epump,solana,0.000006009585798593053,0.000005735323559681603,0.8898162801061551,-11.018371989384491,5.945402596808099,-0.6550865743828416,89.18103895212148,88.52595237773865,1757081400,24995
91pGcDXrbvQGtRFKiRZPBHEEuoPNkTRSTHjtLLf5pump,solana,0.000006386300994140708,0.000005759089961249831,0.8407975598549943,-15.920244014500573,5.901730158515909,-0.9395698423131043,88.52595237773865,87.58638253542554,1757081400,24995
9pnccZMXQREMrzpr27rjKutrgWTwAR5Nw5dYyddqpump,solana,0.000006212855697103281,0.0000062226179431299525,0.9338321761403436,-6.616782385965636,5.839092169028369,-0.3863600221405679,87.58638253542554,87.20002251328498,1757083500,24995
