table_schema,table_name,ordinal_position,column_name,data_type,is_nullable
baseline,caller_scored_v2,11,median_t2x_hrs,DOUBLE,YES
baseline,caller_scored_v2,12,median_t2x_min,DOUBLE,YES
baseline,caller_scored_v2,13,median_dd_pre2x_pct,DOUBLE,YES
baseline,caller_scored_v2,14,median_dd_pre2x_or_horizon_pct,DOUBLE,YES
baseline,caller_scored_v2,15,risk_dd_pct,DOUBLE,YES
baseline,caller_scored_v2,16,risk_mag,DOUBLE,YES
baseline,caller_scored_v2,17,base_upside,DOUBLE,YES
baseline,caller_scored_v2,18,tail_bonus,DOUBLE,YES
baseline,caller_scored_v2,19,fast2x_signal,DOUBLE,YES
baseline,caller_scored_v2,20,discipline_bonus,"DECIMAL(3,2)",YES
baseline,caller_scored_v2,21,risk_penalty,DOUBLE,YES
baseline,caller_scored_v2,22,confidence,DOUBLE,YES
baseline,caller_scored_v2,23,score_v2,DOUBLE,YES
baseline,caller_stats_f,1,run_id,VARCHAR,YES
baseline,caller_stats_f,2,caller,VARCHAR,YES
baseline,caller_stats_f,3,n,INTEGER,YES
baseline,caller_stats_f,4,median_ath,DOUBLE,YES
baseline,caller_stats_f,5,p25_ath,DOUBLE,YES
baseline,caller_stats_f,6,p75_ath,DOUBLE,YES
baseline,caller_stats_f,7,p95_ath,DOUBLE,YES
baseline,caller_stats_f,8,hit2x_pct,DOUBLE,YES
baseline,caller_stats_f,9,hit3x_pct,DOUBLE,YES
baseline,caller_stats_f,10,hit4x_pct,DOUBLE,YES
baseline,caller_stats_f,11,hit5x_pct,DOUBLE,YES
baseline,caller_stats_f,12,hit10x_pct,DOUBLE,YES
baseline,caller_stats_f,13,median_t2x_hrs,DOUBLE,YES
baseline,caller_stats_f,14,median_dd_initial_pct,DOUBLE,YES
baseline,caller_stats_f,15,median_dd_overall_pct,DOUBLE,YES
baseline,caller_stats_f,16,median_dd_pre2x_pct,DOUBLE,YES
baseline,caller_stats_f,17,median_dd_pre2x_or_horizon_pct,DOUBLE,YES
baseline,caller_stats_f,18,median_dd_after_2x_pct,DOUBLE,YES
baseline,caller_stats_f,19,median_dd_after_3x_pct,DOUBLE,YES
baseline,caller_stats_f,20,median_dd_after_ath_pct,DOUBLE,YES
baseline,caller_stats_f,21,worst_dd_pct,DOUBLE,YES
baseline,caller_stats_f,22,median_peak_pnl_pct,DOUBLE,YES
baseline,caller_stats_f,23,median_ret_end_pct,DOUBLE,YES
baseline,run_summary_v,1,run_id,VARCHAR,YES
baseline,run_summary_v,2,created_at,TIMESTAMP,YES
baseline,run_summary_v,3,run_name,VARCHAR,YES
baseline,run_summary_v,4,chain,VARCHAR,YES
baseline,run_summary_v,5,date_from,DATE,YES
baseline,run_summary_v,6,date_to,DATE,YES
baseline,run_summary_v,7,interval_seconds,INTEGER,YES
baseline,run_summary_v,8,horizon_hours,INTEGER,YES
baseline,run_summary_v,9,alerts_total,INTEGER,YES
baseline,run_summary_v,10,alerts_ok,INTEGER,YES
baseline,run_summary_v,11,median_ath_mult,VARCHAR,YES
baseline,run_summary_v,12,pct_hit_2x,VARCHAR,YES
baseline,run_summary_v,13,median_dd_overall,VARCHAR,YES
baseline,run_summary_v,14,median_peak_pnl_pct,VARCHAR,YES
baseline,runs_d,1,run_id,VARCHAR,NO
baseline,runs_d,2,created_at,TIMESTAMP,YES
baseline,runs_d,3,run_name,VARCHAR,YES
baseline,runs_d,4,date_from,DATE,YES
baseline,runs_d,5,date_to,DATE,YES
baseline,runs_d,6,interval_seconds,INTEGER,YES
baseline,runs_d,7,horizon_hours,INTEGER,YES
baseline,runs_d,8,chain,VARCHAR,YES
baseline,runs_d,9,alerts_total,INTEGER,YES
baseline,runs_d,10,alerts_ok,INTEGER,YES
baseline,runs_d,11,config_json,VARCHAR,YES
baseline,runs_d,12,summary_json,VARCHAR,YES
baseline,runs_d,13,slice_dir,VARCHAR,YES
baseline,trades_d,1,trade_id,VARCHAR,NO
baseline,trades_d,2,run_id,VARCHAR,NO
baseline,trades_d,3,alert_id,VARCHAR,NO
baseline,trades_d,4,caller,VARCHAR,NO
baseline,trades_d,5,token_address,VARCHAR,NO
baseline,trades_d,6,entry_mode,VARCHAR,YES
