TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-18T20:04:46.000Z,0.863433,10.00,-1.37,100.00,98.63,100.00
2,2025-07-19T19:55:25.000Z,1.024617,9.93,0.24,98.63,98.88,99.32
3,2025-07-19T20:56:22.000Z,1.028131,9.92,0.28,98.88,99.16,99.17
4,2025-07-20T16:46:45.000Z,1.059900,9.92,0.59,99.16,99.75,99.17
5,2025-07-21T08:04:35.000Z,0.929829,9.93,-0.70,99.75,99.06,99.28
6,2025-07-21T14:56:49.000Z,0.949428,9.92,-0.50,99.06,98.55,99.25
7,2025-07-21T15:40:31.000Z,0.877848,9.91,-1.21,98.55,97.34,99.15
8,2025-07-21T16:34:20.000Z,0.958058,9.89,-0.41,97.34,96.93,98.92
9,2025-07-21T18:29:00.000Z,1.587322,9.87,5.80,96.93,102.72,98.70
10,2025-07-22T08:19:12.000Z,0.792015,9.91,-2.06,102.72,100.66,99.10
11,2025-07-24T00:41:22.000Z,0.943792,9.92,-0.56,100.66,100.11,99.17
12,2025-07-24T11:26:24.000Z,0.799492,9.93,-1.99,100.11,98.11,99.32
13,2025-07-24T17:49:16.000Z,1.403789,9.92,4.01,98.11,102.12,99.24
14,2025-07-25T16:04:22.000Z,0.967490,9.95,-0.32,102.12,101.80,99.54
15,2025-07-27T00:55:10.000Z,0.936353,9.97,-0.63,101.80,101.16,99.74
16,2025-07-27T12:43:28.000Z,0.932376,10.00,-0.68,101.16,100.49,99.95
17,2025-07-27T16:13:28.000Z,0.792015,10.01,-2.08,100.49,98.40,100.14
18,2025-07-28T19:11:54.000Z,1.016143,10.03,0.16,98.40,98.57,100.25
19,2025-07-28T19:12:07.000Z,0.793668,10.04,-2.07,98.57,96.49,100.41
20,2025-07-29T14:25:35.000Z,0.819827,9.98,-1.80,96.49,94.70,99.79
21,2025-07-30T12:53:52.000Z,1.438566,9.92,4.35,94.70,99.05,99.19
22,2025-07-30T13:38:32.000Z,0.987173,9.91,-0.13,99.05,98.92,99.09
23,2025-07-30T13:43:58.000Z,0.792015,9.92,-2.06,98.92,96.86,99.17
24,2025-07-30T18:16:53.000Z,1.004477,9.86,0.04,96.86,96.90,98.64
25,2025-08-01T04:18:04.000Z,0.792015,9.82,-2.04,96.90,94.86,98.15
26,2025-08-01T10:53:27.000Z,1.124895,9.75,1.22,94.86,96.08,97.52
27,2025-08-01T13:56:16.000Z,1.059085,9.71,0.57,96.08,96.65,97.08
28,2025-08-01T21:29:50.000Z,1.030807,9.69,0.30,96.65,96.95,96.91
29,2025-08-02T14:23:35.000Z,1.043306,9.67,0.42,96.95,97.37,96.75
30,2025-08-02T16:29:55.000Z,0.928815,9.68,-0.69,97.37,96.68,96.83
31,2025-08-03T00:56:12.000Z,1.347021,9.70,3.37,96.68,100.05,97.03
32,2025-08-03T11:21:52.000Z,0.916197,9.71,-0.81,100.05,99.23,97.13
33,2025-08-03T13:01:21.000Z,0.930115,9.72,-0.68,99.23,98.55,97.16
34,2025-08-03T20:52:41.000Z,0.964558,9.73,-0.34,98.55,98.21,97.33
35,2025-08-04T01:26:26.000Z,1.361066,9.75,3.52,98.21,101.73,97.46
36,2025-08-04T02:13:50.000Z,0.933388,9.81,-0.65,101.73,101.07,98.15
37,2025-08-04T10:35:06.000Z,0.872791,9.86,-1.25,101.07,99.82,98.65
38,2025-08-04T16:35:37.000Z,0.792015,9.90,-2.06,99.82,97.76,98.97
39,2025-08-04T22:54:08.000Z,0.957830,9.90,-0.42,97.76,97.34,99.05
40,2025-08-05T07:45:54.000Z,1.217929,9.90,2.16,97.34,99.50,99.04
41,2025-08-05T19:05:28.000Z,1.014091,9.93,0.14,99.50,99.64,99.33
42,2025-08-06T08:04:04.000Z,1.488134,9.93,4.85,99.64,104.49,99.29
43,2025-08-07T06:30:51.000Z,1.001271,9.98,0.01,104.49,104.50,99.81
44,2025-08-07T14:33:15.000Z,0.946266,10.04,-0.54,104.50,103.96,100.41
45,2025-08-07T22:53:02.000Z,1.318375,10.10,3.21,103.96,107.18,100.98
