Date,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment
2025-07-19,98.63,98.63,-1.37,-1.37
2025-07-20,98.88,98.88,-1.12,-1.12
2025-07-23,100.66,100.71,0.66,0.71
2025-07-22,99.06,99.06,-0.94,-0.94
2025-07-25,102.12,102.18,2.12,2.18
2025-07-28,100.49,100.54,0.49,0.54
2025-07-29,98.57,98.62,-1.43,-1.38
2025-07-30,94.70,94.76,-5.30,-5.24
2025-07-31,96.86,96.93,-3.14,-3.07
2025-08-02,96.95,97.05,-3.05,-2.95
2025-08-01,96.90,96.98,-3.10,-3.02
2025-08-03,96.68,96.77,-3.32,-3.23
2025-08-04,98.55,98.70,-1.45,-1.30
2025-08-07,104.49,104.72,4.49,4.72
2025-08-05,97.34,97.52,-2.66,-2.48
2025-08-08,106.64,106.85,6.64,6.85
2025-08-06,99.64,99.84,-0.36,-0.16
2025-08-09,105.34,105.66,5.34,5.66
2025-08-10,108.46,108.60,8.46,8.60
2025-08-12,107.75,107.94,7.75,7.94
2025-08-11,106.59,106.85,6.59,6.85
2025-08-15,110.78,110.80,10.78,10.80
2025-08-13,108.29,108.47,8.29,8.47
2025-08-14,106.06,106.39,6.06,6.39
2025-08-18,109.17,109.31,9.17,9.31
2025-08-17,110.21,110.27,10.21,10.27
2025-08-19,114.64,114.36,14.64,14.36
2025-08-20,113.48,113.33,13.48,13.33
2025-08-22,118.89,118.06,18.89,18.06
2025-08-21,115.98,115.54,15.98,15.54
2025-08-23,113.85,113.70,13.85,13.70
2025-08-24,111.57,111.73,11.57,11.73
2025-08-25,110.92,111.16,10.92,11.16
2025-08-26,114.99,114.72,14.99,14.72
2025-08-27,114.72,114.48,14.72,14.48
2025-08-28,115.91,115.53,15.91,15.53
2025-08-29,116.33,115.90,16.33,15.90
2025-08-30,116.01,115.62,16.01,15.62
2025-09-01,113.93,113.81,13.93,13.81
2025-09-02,112.40,112.48,12.40,12.48
2025-09-03,119.39,118.58,19.39,18.58
2025-09-04,113.92,113.84,13.92,13.84
2025-09-05,110.60,110.94,10.60,10.94
2025-09-06,109.42,109.91,9.42,9.91
2025-09-08,108.18,108.80,8.18,8.80
2025-09-07,110.70,111.03,10.70,11.03
2025-09-11,113.24,113.51,13.24,13.51
2025-09-09,116.38,116.27,16.38,16.27
2025-09-10,117.38,117.17,17.38,17.17
2025-09-12,113.30,113.56,13.30,13.56
2025-09-13,113.14,113.42,13.14,13.42
2025-09-14,106.89,107.91,6.89,7.91
2025-09-16,108.02,109.09,8.02,9.09
2025-09-15,101.33,102.85,1.33,2.85
2025-09-17,107.27,108.39,7.27,8.39
2025-09-19,106.66,107.81,6.66,7.81
2025-09-18,106.83,107.97,6.83,7.97
