tokenAddress,alertTimestamp,tradeType,price,timestamp,amountSOL,pnlSOL,reason,currentPortfolioSOL,entryRating,entryVolatility,entryTrend
"0xc160598f2f5b216b48fa36007b4538114a234444","2025-10-18T12:21:23.000Z","Stop Loss","0.002295353013282896","2025-10-18T12:45:00.000Z","2.5","-0.8374999999999999","Stop loss hit","99.1625","D","60.16","-45.38"
"0xc160598f2f5b216b48fa36007b4538114a234444","2025-10-18T12:32:15.000Z","Stop Loss","0.002147428748056872","2025-10-18T12:45:00.000Z","2.5","-0.8375000000000002","Stop loss hit","98.32499999999999","D","56.21","-43.43"
"0xc160598F2f5b216b48FA36007b4538114A234444","2025-10-18T14:44:33.000Z","Stop Loss","0.0010125892858195288","2025-10-18T21:00:00.000Z","2.5","-0.8375000000000001","Stop loss hit","97.48749999999998","D","59.36","-0.66"
"CPLTbYbtDMKZtHBaPqdDmHjxNwESCEB14gm6VuoDpump","2025-10-18T16:10:26.000Z","Stop Loss","0.008309106116182017","2025-10-18T21:40:00.000Z","2.5","-0.8375000000000001","Stop loss hit","96.64999999999998","D","71.79","10.32"
