caller,token_address,timestamp,message_preview
"Brook","CxiR3c9AGqMtE7bg82sLnzpLinXN3kXfcoYeYtGApFoG","2025-11-25T01:15:49.000Z","CxiR3c9AGqMtE7bg82sLnzpLinXN3kXfcoYeYtGApFoG"
"Austic","J42RjYeaLX7t7GJx6wpsVWisJ3xu2a7rRNMrRH45pump","2025-11-25T01:21:09.000Z","J42RjYeaLX7t7GJx6wpsVWisJ3xu2a7rRNMrRH45pump"
"TY/ACC NO INFO","4FiBb22Xezd4LLh4vmpAtBkFUXE2HH1drSJLoMEGpump","2025-11-25T01:23:46.000Z","4FiBb22Xezd4LLh4vmpAtBkFUXE2HH1drSJLoMEGpump$LOL"
"Mistor","36Q5RuwiXbLxvRHvCjkKQxEpWmmoVUEM8dYQT2Wcbonk","2025-11-25T09:28:03.000Z","36Q5RuwiXbLxvRHvCjkKQxEpWmmoVUEM8dYQT2Wcbonk"
"Brook Giga I verify @BrookCalls","FC384DdK8NGLqWLtFNvCjqGsYMmR1FJzbMG7V1PQpump","2025-11-25T18:54:20.000Z","FC384DdK8NGLqWLtFNvCjqGsYMmR1FJzbMG7V1PQpump"
"JK -Whale","J7Dx5yPbPD5e5BmrSvJyi4n4XRUR2kWqWYaxaSWdpump","2025-11-25T19:33:00.000Z","J7Dx5yPbPD5e5BmrSvJyi4n4XRUR2kWqWYaxaSWdpump"
"Brook","3j9wLMzwjTWJRAcmprDFb9EnRRG3tTTWc1eoYe8Wpump","2025-11-26T01:30:11.000Z","3j9wLMzwjTWJRAcmprDFb9EnRRG3tTTWc1eoYe8Wpump"
"Brook","91ejMf9JtcHhHxaAfQnoYNRKr5q9Ghd2mwnHtwaypump","2025-11-26T01:30:21.000Z","91ejMf9JtcHhHxaAfQnoYNRKr5q9Ghd2mwnHtwaypump"
"Brook","F7pB3ZdfBnyFw2LRHydWEn9BmhEa5XihXLjhySFRpump","2025-11-26T03:21:06.000Z","F7pB3ZdfBnyFw2LRHydWEn9BmhEa5XihXLjhySFRpump"
"Mistor","J7Dx5yPbPD5e5BmrSvJyi4n4XRUR2kWqWYaxaSWdpump","2025-11-26T03:22:59.000Z","J7Dx5yPbPD5e5BmrSvJyi4n4XRUR2kWqWYaxaSWdpump"
"Brook","Ch87t1PM7vYeiHAz2pjbw646pNLSFSzGtfMQWeGNbonk","2025-11-26T14:33:26.000Z","Gamble Ch87t1PM7vYeiHAz2pjbw646pNLSFSzGtfMQWeGNbonk"
"exy","8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump","2025-11-26T20:11:57.000Z","/pnl 8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump"
"Brook","2CGzC5q2iP1sWomQPrAiywevd5NYhG4rCn1mzraqpump","2025-11-26T23:23:17.000Z","2CGzC5q2iP1sWomQPrAiywevd5NYhG4rCn1mzraqpump"
"Brook Giga I verify @BrookCalls","CxiR3c9AGqMtE7bg82sLnzpLinXN3kXfcoYeYtGApFoG","2025-11-26T23:52:51.000Z","CxiR3c9AGqMtE7bg82sLnzpLinXN3kXfcoYeYtGApFoG"
"meta maxist","4tKPN8hVd1uX6FP7gjvUH3KwfySdtrAWjRHACEKTpump","2025-11-27T00:12:19.000Z","4tKPN8hVd1uX6FP7gjvUH3KwfySdtrAWjRHACEKTpump"
"meta maxist","ACdPW2ChqDmzQeCLX5VS7dYEcCGy87gFWiWXRWEspump","2025-11-27T00:37:36.000Z","ACdPW2ChqDmzQeCLX5VS7dYEcCGy87gFWiWXRWEspump"
"Mistor","8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump","2025-11-27T07:56:19.000Z","8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump"
"Austic","5oxz2UVVsk25Ea7p5xiz7f6SACcKsEujjo64Cv2mpump","2025-11-27T08:45:35.000Z","5oxz2UVVsk25Ea7p5xiz7f6SACcKsEujjo64Cv2mpump"
"Brook","E4sWRh9frUeQKHjYrfBF1jLra4pa5ZLufUWs5hXRpump","2025-11-27T09:09:58.000Z","E4sWRh9frUeQKHjYrfBF1jLra4pa5ZLufUWs5hXRpump"
"meta maxist","5oxz2UVVsk25Ea7p5xiz7f6SACcKsEujjo64Cv2mpump","2025-11-27T09:10:18.000Z","5oxz2UVVsk25Ea7p5xiz7f6SACcKsEujjo64Cv2mpump"
"BORUTO UZU || 010 ETH/SOL TO RECOUP","36eBuWXPEeRxuNouF19M7sKvWZiTdpoHDWHjZRAGpump","2025-11-27T11:37:42.000Z","36eBuWXPEeRxuNouF19M7sKvWZiTdpoHDWHjZRAGpump"
"BORUTO UZU || 010 ETH/SOL TO RECOUP","Hpie4Z6MYxVxm1wnm1QdVUHdxhydhXX6P5ptDyA3pump","2025-11-27T12:01:00.000Z","Hpie4Z6MYxVxm1wnm1QdVUHdxhydhXX6P5ptDyA3pump"
"Samiel","5gR5DfVqDjeJeLg4ANQtxb5YfymDBJFqnrEZhP9Bpump","2025-11-27T22:37:11.000Z","5gR5DfVqDjeJeLg4ANQtxb5YfymDBJFqnrEZhP9Bpump"
"Mistor","muGLbuYUAbkNpT7brNDegb55Z2Xs757J6WHRXGmpump","2025-11-28T01:50:21.000Z","muGLbuYUAbkNpT7brNDegb55Z2Xs757J6WHRXGmpump"
"TY/ACC NO INFO","623bhm9JctXcpT3sVzvPxpxgqzTULzjGFXZH74d3pump","2025-11-28T06:41:33.000Z","Gambled Betty $boop here with the domain trademark expiring 623bhm9JctXcpT3sVzvPxpxgqzTULzjGFXZH74d3pump"
"TY/ACC NO INFO","7tHWSSGPLGywdWZRWSgUwRXqzNdGHFFhK3TPUGm7pump","2025-11-28T07:09:35.000Z","7tHWSSGPLGywdWZRWSgUwRXqzNdGHFFhK3TPUGm7pump"
"Croz","7biCCUthUHDn48jTpYKFExvpJzxTcWoXjwVDBCyZpump","2025-11-28T10:53:26.000Z","7biCCUthUHDn48jTpYKFExvpJzxTcWoXjwVDBCyZpump$olaf"
"exy","Dh6Z92PFfKwsSmGFaNGkafdGmuMVPTNBKiev1t6qpump","2025-11-28T10:56:46.000Z","Dh6Z92PFfKwsSmGFaNGkafdGmuMVPTNBKiev1t6qpump"
"Brook Giga I verify @BrookCalls 
       
𝐁𝐫𝐨𝐨𝐤 𝐂𝐚𝐥𝐥𝐬 💀 🎻  25.11.2025 07:09:56","4nswj3o1Lo9iWYvvRJxUD8vbCy9ay7QQoXYcncHNbonk","2025-11-28T14:32:03.000Z","4nswj3o1Lo9iWYvvRJxUD8vbCy9ay7QQoXYcncHNbonk"
"Austic","FWSL1NQ3ANZLyrHg6DQftUWH5ooUKXheScSiCP4qpump","2025-11-28T18:48:56.000Z","FWSL1NQ3ANZLyrHg6DQftUWH5ooUKXheScSiCP4qpump"
"TY/ACC NO INFO","5Wo5GdwmqPjZbmniHYEyCDX54umap2PWADodm7MMpump","2025-11-28T20:13:02.000Z","Lord Kek deployed but 50/50 gamble $pepo 5Wo5GdwmqPjZbmniHYEyCDX54umap2PWADodm7MMpump"
"Whale 🐳 x","EEu9SjbneY5qsBkZpdNPr9BLsRa4WNYFX4CnvmoDpump","2025-11-28T23:32:50.000Z","EEu9SjbneY5qsBkZpdNPr9BLsRa4WNYFX4CnvmoDpump"
"Brook Giga I verify @BrookCalls","BWFTKMWLQjZbmG8XSNSsmjXucaob8LP1DZp5cvBGpump","2025-11-29T03:50:43.000Z","BWFTKMWLQjZbmG8XSNSsmjXucaob8LP1DZp5cvBGpump"
"Brook Giga I verify @BrookCalls","7oLWGMuGbBm9uwDmffSdxLE98YChFAH1UdY5XpKYLff8","2025-11-29T03:51:12.000Z","7oLWGMuGbBm9uwDmffSdxLE98YChFAH1UdY5XpKYLff8"
"TY/ACC NO INFO","BxBmLazgUME6ah27Yjy44JgqUMZSzinUWrEiab2tpump","2025-11-29T09:11:00.000Z","BxBmLazgUME6ah27Yjy44JgqUMZSzinUWrEiab2tpump.  The cats back"
"exy","DL6BBBQ6heTg9Zr5gFZxsCK2AZt2aVyRqUZgChqopump","2025-11-29T12:24:55.000Z","DL6BBBQ6heTg9Zr5gFZxsCK2AZt2aVyRqUZgChqopump"
"exy","A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump","2025-11-29T15:11:58.000Z","A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump"
"Austic","4if6P3Yaa12fcmHQ6WmAorVEpsbW4HWjFbqM35ETpump","2025-11-29T19:58:59.000Z","4if6P3Yaa12fcmHQ6WmAorVEpsbW4HWjFbqM35ETpump"
"BORUTO UZU || 010 ETH/SOL TO RECOUP","A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump","2025-11-30T10:50:20.000Z","A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump"
"Brook Giga I verify @BrookCalls","9DQfeLpgzvSiFDKatqwyY7S2d89BWCsQyRkYVHEsSQjz","2025-11-30T11:38:12.000Z","https://dexscreener.com/solana/9DQfeLpgzvSiFDKatqwyY7S2d89BWCsQyRkYVHEsSQjz"
"BORUTO UZU || 010 ETH/SOL TO RECOUP","A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump","2025-11-30T13:54:54.000Z","A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump"
"Austic","6KXjdTtGqXMawUqcAypAYXCdav7rXQYZjDyejfjQpump","2025-11-30T21:43:12.000Z","6KXjdTtGqXMawUqcAypAYXCdav7rXQYZjDyejfjQpump"
"meta maxist","4EmBkXxf2uAhbY68TJK9VT4PXTuP672EwJvpRrvopump","2025-12-01T06:13:31.000Z","Gamble 4EmBkXxf2uAhbY68TJK9VT4PXTuP672EwJvpRrvopump"
"Brook Giga I verify @BrookCalls","4EmBkXxf2uAhbY68TJK9VT4PXTuP672EwJvpRrvopump","2025-12-01T07:50:08.000Z","4EmBkXxf2uAhbY68TJK9VT4PXTuP672EwJvpRrvopump"
"Mistor","GYKBbafCYFwd9gYrZuVQ4yYwdHgbxJ1HRQh8jN6Apump","2025-12-01T08:16:17.000Z","GYKBbafCYFwd9gYrZuVQ4yYwdHgbxJ1HRQh8jN6Apump"
"Whale 🐳 x","PsVzbVqnebSHcbNQGmV8e2Es18qNQvyK6LXsAakpump","2025-12-01T08:34:32.000Z","PsVzbVqnebSHcbNQGmV8e2Es18qNQvyK6LXsAakpump- 150k- moon or dust"
