Week_Start,Trades,Portfolio_Start_SOL,Investment_Per_Trade_SOL,Week_Return_SOL,Week_Profit_SOL,Portfolio_End_SOL,Return_Percent,Multiplier
2025-07-20,6,10.00000000,0.20000000,1.88407743,0.68407743,10.68407743,6.84,1.0684
2025-07-27,9,10.68407743,0.21368155,1.33337286,-0.58976107,10.09431635,-5.52,0.9448
2025-08-03,17,10.09431635,0.20188633,4.30894251,0.87687495,10.97119130,8.69,1.0869
2025-08-10,22,10.97119130,0.21942383,4.94594191,0.11861773,11.08980904,1.08,1.0108
2025-08-17,21,11.08980904,0.22179618,5.60643014,0.94871035,12.03851938,8.55,1.0855
2025-08-24,25,12.03851938,0.24077039,9.28951141,3.27025171,15.30877110,27.16,1.2716
2025-08-31,17,15.30877110,0.30617542,4.53357127,-0.67141090,14.63736020,-4.39,0.9561
2025-09-07,19,14.63736020,0.29274720,5.35863299,-0.20356389,14.43379631,-1.39,0.9861
2025-09-14,19,14.43379631,0.28867593,7.16368112,1.67883852,16.11263483,11.63,1.1163
2025-09-21,16,16.11263483,0.32225270,224.90810619,219.75206304,235.86469787,1363.85,14.6385
2025-09-28,8,235.86469787,4.71729396,91.28468753,53.54633587,289.41103375,22.70,1.2270
2025-10-05,16,289.41103375,5.78822067,95.08870460,2.47717380,291.88820754,0.86,1.0086
2025-10-12,17,291.88820754,5.83776415,76.35716792,-22.88482264,269.00338490,-7.84,0.9216
2025-10-19,13,269.00338490,5.38006770,108.52606271,38.58518264,307.58856754,14.34,1.1434
2025-10-26,7,307.58856754,6.15177135,28.88614537,-14.17625409,293.41231345,-4.61,0.9539
