Trade#,Date,Time,TokenAddress,TokenSymbol,TokenName,Chain,Investment_SOL,PNL_Multiplier,Return_SOL,Profit_SOL,Portfolio_Before_SOL,Portfolio_After_SOL,Max_Multiplier_Reached,HoldDuration_Minutes,TimeToAth_Minutes
39,2025-08-12,08:35:46,zJQQ2zZ5ggJKXBpaNNxJdmB2JJodJJvudQUbyZQpump,yarl,yarl,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.81664940,10.72887987,1.6700,86300,75
40,2025-08-12,21:55:24,C6TSrLYAqL8RRMU9hrSZAzY49bCiyXH1TGVYpAF4LpaQ,JORDAN,The Wolf,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.72887987,10.64111034,1.2326,86280,0
41,2025-08-13,00:36:50,9VyGv7D8YTiWN4ci1WSNVpAZmAtc6cxrbMs3F7FK6VLA,Dumb,Dumb Money,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.64111034,10.55334080,1.3204,86300,60
42,2025-08-13,00:52:35,Boun7CYwd668AbxSQDNTijzEmweY91cW6DKuwAbJBAGS,ANDY,Andy by Matt Furie,solana,0.21942383,0.8800,0.19309297,-0.02633086,10.55334080,10.52700995,2.5019,86285,845
43,2025-08-13,08:20:07,Dk3eGnQcc17xJzGib8xHDovL5UjPWZDvTZXXzf6Mpump,Green,The Green Era,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.52700995,10.43924042,1.1494,86315,0
44,2025-08-13,09:10:13,BVPVnNJ7AjYscfdJrUPV7P6XFEkVDo1YnJMin7YoBAGS,VER,Vernus,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.43924042,10.35147088,1.1644,86325,0
45,2025-08-13,16:32:34,5V1HCmgWNR4FdJmhy5ny2kdxsoB2NPrV9LX4d3GXpump,SNOWFALL,Snowfall Edit,solana,0.21942383,0.8800,0.19309297,-0.02633086,10.35147088,10.32514003,2.9458,86305,385
46,2025-08-14,12:21:42,EuwaFjov8s9EMsQ3EYF55S9HnGxShB9w3WvrpV8rpump,btc,buy this coin,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.32514003,10.23737050,1.5203,86315,25
47,2025-08-15,05:44:10,32nNtYR8h8rRBKv8JQd2PM1XroBh8rQica5JWmgpBAGS,BAGTARDIO,Bagtardio,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.23737050,10.14960097,1.1390,86295,25
48,2025-08-15,06:08:17,BGQeuBCLEtLzBD9QUMykinkY5XXNk7oK3Xiem92opump,USAi,US Artificial Intelligence,solana,0.21942383,3.3327,0.73127404,0.51185021,10.14960097,10.66145118,5.5541,20,20
49,2025-08-15,08:16:52,G1DXVVmqJs8Ei79QbK41dpgk2WtXSGqLtx9of7o8BAGS,MRBEAST,MrBeast FUND,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.66145118,10.57368165,1.5930,86320,0
50,2025-08-16,00:25:50,CH29CmCw1HK5ennwEFu7RGbbguUWwno81zxk9S5pump,欢乐马,Happy Horse,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.57368165,10.48591212,1.8263,86310,10
51,2025-08-16,04:35:49,EZC9he3789GZK4teWj2uDniP86cPiqHrC12ea7qLpump,big,a big runner,solana,0.21942383,2.7715,0.60813904,0.38871521,10.48591212,10.87462733,4.2179,25,25
52,2025-08-16,18:42:38,3hFEAFfPBgquhPcuQYJWufENYg9pjMDvgEEsv4jxpump,LYN,Lyn,solana,0.21942383,2.5007,0.54870593,0.32928210,10.87462733,11.20390943,3.5730,375,375
53,2025-08-16,22:13:51,98grnXKE6oaymTBUnhkurXzXUYfFbkzzzVwEzFxSpump,GIKO,Giko Cat,solana,0.21942383,0.8800,0.19309297,-0.02633086,11.20390943,11.17757857,2.6398,86325,180
54,2025-08-16,22:27:06,6Hi2PPiqkwYBY2vxbn1oasbTknvsWRZvNL3PjKZnpump,Sus,Sus,solana,0.21942383,0.6000,0.13165430,-0.08776953,11.17757857,11.08980904,1.3387,86310,50
55,2025-08-17,04:37:43,EaDVr42iPXmaWYeZ4zoGfPhw7r449FymN9vfGntDpump,maingoal,act like i dont know nobody,solana,0.22179618,0.6000,0.13307771,-0.08871847,11.08980904,11.00109056,1.0015,86300,0
56,2025-08-17,20:09:49,8D9CZBsMocuJ8bdnpegGE8auHdFQ1Ez5F66wWAFv3WcN,SNAKE,Snake ,solana,0.22179618,0.6000,0.13307771,-0.08871847,11.00109056,10.91237209,1.3676,86330,13490
57,2025-08-18,04:33:58,J8EcXP9L3YqGf1VWkXhRjPHnq4UJ6QHRaQEZayBciaxT,SLM,Small Language Model,solana,0.22179618,0.6000,0.13307771,-0.08871847,10.91237209,10.82365362,1.4136,86305,30
58,2025-08-18,04:34:35,HoQYRCnUeyZZyFiPtYDw48kHyGwjsaUXJxDVtxcK4yPg,BELIEVE,believe coin,solana,0.22179618,0.6000,0.13307771,-0.08871847,10.82365362,10.73493515,1.0262,86305,10
59,2025-08-18,05:51:44,EG6WeiR2DymUVVjNHEU4MEJXmWnzXJhk3JerRy4gpump,snail,a slow runner,solana,0.22179618,0.6000,0.13307771,-0.08871847,10.73493515,10.64621667,1.7952,86285,1865
60,2025-08-18,12:55:26,GGQnvZju6xqvgGU5BN3rnKnQ5H4LyKRLBy25LGeDpump,Pearl,Physical Kitten,solana,0.22179618,0.6000,0.13307771,-0.08871847,10.64621667,10.55749820,1.6470,86280,5
61,2025-08-20,02:26:14,HhJ5gsWi1nvDFza5MNxNvjjx6bsx1mPUdRvpMCtzL777,Asscend,Asscend,solana,0.22179618,2.4460,0.54251616,0.32071998,10.55749820,10.87821818,3.4429,115,115
62,2025-08-20,05:15:57,4LRePMApBS2HFfX4ZDZK61n87CJ7rAMuN8ZHNQQXjupx,YABAI,YABAI,solana,0.22179618,2.4434,0.54192995,0.32013377,10.87821818,11.19835195,3.4366,6940,6940
63,2025-08-20,09:24:45,Co4692bPPQXAqqxSLAeTTvF1bnhY26FUWt2YuWQPBgfU,BANANA,Banana Chain,solana,0.22179618,2.9137,0.64624905,0.42445287,11.19835195,11.62280482,4.5564,19595,19595
64,2025-08-20,21:51:46,5SmTatunpUm5ob6CKa1qx3bE5xJo8bpavno7iqokpump,dafuq,da fuck cat,solana,0.22179618,0.6000,0.13307771,-0.08871847,11.62280482,11.53408634,1.1540,86285,105
65,2025-08-20,23:15:34,6XfcSDmRXm8EipmbygHJi2tWwUdCCKEGjEsKQeL9pump,BUBBLE,The AI Bubble,solana,0.22179618,0.6000,0.13307771,-0.08871847,11.53408634,11.44536787,1.7626,86320,0
66,2025-08-21,02:49:50,6pvtv14ye2nvxqCR8fc8y7TTU6SkLGyaSVnVNS9V6777,DARK,⬛️,solana,0.22179618,0.6000,0.13307771,-0.08871847,11.44536787,11.35664940,1.5689,86290,670
67,2025-08-21,03:33:38,HcTwgEvBYzopr3LYXqikFpf37XhtPYVwkibCqvM3H8sV,67,67coin,solana,0.22179618,3.4138,0.75717176,0.53537558,11.35664940,11.89202498,5.7472,40,40
68,2025-08-21,04:22:43,4hPn7KMF8CT6dDWVMC8adPW4hXqTgdtRtnmqcqSM4777,Raptor,Raptor Jesus,solana,0.22179618,0.6000,0.13307771,-0.08871847,11.89202498,11.80330650,1.0188,86315,5
69,2025-08-21,04:40:07,9Xw3areGS4XkLi16WJWTSdvLXxvv57An9czTwZBfpump,Drake-chan,Drake Body Pillow,solana,0.22179618,2.2674,0.50289496,0.28109878,11.80330650,12.08440528,3.0176,135,120
70,2025-08-21,04:40:30,i1f1o1sxUeqizm8pGTnvcF859QdvwPEAQnA935fpump,Agentik,Agentik,solana,0.22179618,0.6000,0.13307771,-0.08871847,12.08440528,11.99568681,1.4234,86295,15
71,2025-08-21,10:41:44,EwEJ5R1im54MowvsGwYUkyfWRMV1qcRL21PumVd4pump,2016,2016 coin,solana,0.22179618,0.6000,0.13307771,-0.08871847,11.99568681,11.90696834,1.2504,86295,15
72,2025-08-22,23:45:04,6d2Wze1KMUxQ28sFLrH9DKfgBXpUJSJYZaRbufucvBLV,LOS,ANALOS,solana,0.22179618,2.5131,0.55739971,0.33560353,11.90696834,12.24257187,3.6027,29170,29170
73,2025-08-23,01:10:27,97B5LdjdeqfAY7gPPt428GdpYFEJuxWgG83QgZpNpump,BUYME,BUY ME,solana,0.22179618,0.8800,0.19518064,-0.02661554,12.24257187,12.21595633,2.2424,86325,155
74,2025-08-23,06:49:08,bS3Y8KCfYmMC93sSc4qQMivQzTu48qnZqjuYbUopump,MERVIN,Mervin,solana,0.22179618,0.6000,0.13307771,-0.08871847,12.21595633,12.12723786,1.5392,86290,260
75,2025-08-23,21:51:57,7nsbGjYk85fkDk1uNFqVCyLZYtXxiZoLZncfLLC7pump,GUD,Gud Candle,solana,0.22179618,0.6000,0.13307771,-0.08871847,12.12723786,12.03851938,1.6457,86285,255
76,2025-08-24,01:10:56,rWqaZ3KaJaiKtVEQo4nuEsxKKr2tHtoeYMf1vVveDjS,PAMP,PAMP,solana,0.24077039,0.8800,0.21187794,-0.02889245,12.03851938,12.00962694,2.7824,86325,1305
77,2025-08-25,00:39:56,5ryWMZbrfyjzrBKFYxAvon26FEwJZrtPiHQwb1jH8777,KENNY,Kennyslowbird,solana,0.24077039,0.6000,0.14446223,-0.09630816,12.00962694,11.91331878,1.2258,86300,380
78,2025-08-25,01:35:39,EJRs2ephB8kZX1w196DBt7q3uvLAVqs6LEVgXEwhpump,AGI,ArtificialGirlfriendIntelligence,solana,0.24077039,0.6000,0.14446223,-0.09630816,11.91331878,11.81701063,1.6729,86300,110
79,2025-08-25,03:29:25,7woPKwozDM1mFeJAiJcEU8Fd3CvbYXVfwnC3W56RndFi,MONOPOLY,MONOPOLY,solana,0.24077039,0.6000,0.14446223,-0.09630816,11.81701063,11.72070247,1.3472,86310,105
80,2025-08-25,09:47:55,HeHzXrdq9mutDFJ2LEGu2fKp7jsnT2toCKfuPswypump,MEOW,Meowcoin,solana,0.24077039,0.8800,0.21187794,-0.02889245,11.72070247,11.69181003,2.3827,86290,430
81,2025-08-25,09:48:07,cFXwo8FqJxZeYNwrUf5xSABJZoCHnrtKiS7DaFyCoiN,WHOLE,Whole Coin,solana,0.24077039,2.4145,0.58134968,0.34057929,11.69181003,12.03238932,3.3680,790,790
82,2025-08-25,17:32:29,FFgQ6kvsHKR4BVLohpmCA9MXeXPtxa7QaNWKpYjzpump,LEGION,Centurion Cat,solana,0.24077039,2.3682,0.57018132,0.32941093,12.03238932,12.36180025,3.2575,80,80
83,2025-08-25,19:06:01,GEgsZXGhMGJbb9k6b7SaPss7wRW5WHwB12mLAjbdpump,GLM,Gambling Language Model,solana,0.24077039,0.6000,0.14446223,-0.09630816,12.36180025,12.26549209,1.3988,86330,50
84,2025-08-26,07:02:26,J7CSUzsM2VfBUaeaer5aGVVLzzUoizBWF1vQX2NLpump,MICROWAVED,MICROWAVED,solana,0.24077039,2.9654,0.71398299,0.47321261,12.26549209,12.73870470,4.6795,1075,1075
85,2025-08-26,09:57:18,5EkcKr582FkAPVnRmaDdnkekTtnNRzNNSxmQxqrFpump,AQC,aqc,solana,0.24077039,2.7577,0.66397708,0.42320669,12.73870470,13.16191139,4.1850,35820,35820
86,2025-08-26,10:43:03,44sVpouhWHXzADVsVUo863tvgmaw6LNQo25fYRs1pump,GF,GoonFi,solana,0.24077039,0.6000,0.14446223,-0.09630816,13.16191139,13.06560323,1.7896,86295,5
87,2025-08-26,11:13:36,kLxcxtkxsrTXQnffM6QQBgv6SX3gYMVx9w14LZZpump,ROTS,Return of the Static,solana,0.24077039,0.6000,0.14446223,-0.09630816,13.06560323,12.96929508,1.4090,86325,270
88,2025-08-26,17:30:16,9uDHmr4h2R6h6mTdhdzXGsT6abRMfx8N3rQxRB2Fpump,Colours,Raise The Colours,solana,0.24077039,0.6000,0.14446223,-0.09630816,12.96929508,12.87298692,1.9769,86305,290
89,2025-08-27,01:15:18,CXbypcjnbV7A5b6XqfkUCUkLiD3czHXoxAsWBYa4pump,jobless,jobless,solana,0.24077039,0.6000,0.14446223,-0.09630816,12.87298692,12.77667877,1.5557,86320,125
90,2025-08-27,01:34:57,9am6SZQqUM5hMomurts3iuUQULEwqsSEdQSkVc9Vpump,PIKA,Surprised Pikachu,solana,0.24077039,0.6000,0.14446223,-0.09630816,12.77667877,12.68037061,1.2766,86305,0
91,2025-08-27,07:33:37,5Tr7EC7GyzEg5AKrMYPHa61uGEFwMo5V1fRtnqpxpump,BRAINROT,Brainrot,solana,0.24077039,11.3511,2.73299947,2.49222909,12.68037061,15.17259970,24.6454,0,0
92,2025-08-27,11:13:01,DxiYSR3KTArNUyQWSXJKAxbu73NUKds64EG9dQNEpump,SSC,South Sea Company,solana,0.24077039,0.6000,0.14446223,-0.09630816,15.17259970,15.07629154,1.2805,86325,0
93,2025-08-27,19:04:03,EPVXXm1NH7z9pxtuRff3LHt8bkY8Ui4BXT5eVTUS7EA3,$lion,The Lion Society ,solana,0.24077039,0.6000,0.14446223,-0.09630816,15.07629154,14.97998339,1.8898,86335,835
94,2025-08-28,00:59:14,B3zWuNcVQK9YVHngeDH7UFwsmudWnNhFn89T1AQcpump,RANDOM,Random Coin,solana,0.24077039,2.9555,0.71159947,0.47082908,14.97998339,15.45081247,4.6560,55,55
95,2025-08-28,06:53:32,CDnLCT7tNSubuQKdLwQjsKJQVsTS7YFfusHXDFQupump,NVDA,NVIDIA6900,solana,0.24077039,0.6000,0.14446223,-0.09630816,15.45081247,15.35450431,1.1207,86285,0
96,2025-08-28,07:43:55,51Yc9NkkNKMbo31XePni6ZFKMFz4d6H273M8CRhCpump,SMS,Stork,solana,0.24077039,2.4101,0.58026979,0.33949941,15.35450431,15.69400372,3.3573,90,90
97,2025-08-28,09:04:05,Ba8JAE3h9YUQnkMFEDdX261Zu8nWpYN7zhad7pYKdaos,DMAN,Dao-Man,solana,0.24077039,0.6000,0.14446223,-0.09630816,15.69400372,15.59769556,1.4411,86335,475
98,2025-08-28,20:48:14,6cyNW42LiScbpQAQfFMFJ3s4z4zcqXdPpSRKsjRJ8Lhv,Luffy,luffy coin,solana,0.24077039,0.6000,0.14446223,-0.09630816,15.59769556,15.50138741,1.5195,86290,7630
99,2025-08-29,19:02:49,FvbZG7ApFyjM9tq4waRpANCws2qqPZCfb46qMqTDYtLw,Speed,AIShowSpeed,solana,0.24077039,0.6000,0.14446223,-0.09630816,15.50138741,15.40507925,1.8968,86335,415
100,2025-08-30,02:14:11,EqGEH6P8BwcHN1xiErPMwWf4QT6f8ZHH58QcWif9pump,ZENITH,Murder Language Model,solana,0.24077039,0.6000,0.14446223,-0.09630816,15.40507925,15.30877110,1.1456,86325,5
101,2025-08-31,04:54:07,Hcn43x1SnXZrRD9f6tuzv94qT51QoRHhaG7ALK7wMGF,USD1DOGE,USD1DOGE,solana,0.30617542,0.6000,0.18370525,-0.12247017,15.30877110,15.18630093,1.8963,86285,25
102,2025-08-31,12:38:25,3sEE9zj79Tzrm7T8geAkzTQDdG4Me637d1aMi9fUpump,nothing,nothing,solana,0.30617542,0.6000,0.18370525,-0.12247017,15.18630093,15.06383076,1.3072,86300,5
103,2025-09-01,15:48:25,EuzDfT3XVdWXXDV3xfzpUkCsajm3yexr2KyQjsN3pump,TROB,The Rape of Britain,solana,0.30617542,0.6000,0.18370525,-0.12247017,15.06383076,14.94136059,1.3526,86290,15
104,2025-09-01,22:06:14,51YWtFnA97ERyvbxhV6Qoxmkqe3H4g5DCr7P5MUpWiFE,WIFE,WIFE COIN,solana,0.30617542,0.8800,0.26943437,-0.03674105,14.94136059,14.90461954,2.1150,86330,8810
105,2025-09-02,22:26:24,HMcQvSj8hEqdkbyPbEUmiU6mnu5k2Ki5y5J65ebpump,KITTY,First Digital Cat (1968),solana,0.30617542,0.8800,0.26943437,-0.03674105,14.90461954,14.86787849,2.0350,86310,15
106,2025-09-03,04:54:49,GGnJAYezJw5MhUg8u7RWnv1dqe7tj2rVrJJ1AmL8pump,SCUM,Scum Token,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.86787849,14.74540832,1.5332,86285,0
107,2025-09-03,07:28:54,D7Z2fUrxECBh91chmnou8u7E9Yaq7inzzcjg9G1Apump,Salary,This will make ur monthly salary,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.74540832,14.62293815,1.2856,86310,2610
108,2025-09-03,08:13:33,FDEF2U9geiWS7sdGPCUo2r1wGswkJr2mmVTECiH6pump,MITCH,idrawline,solana,0.30617542,0.8800,0.26943437,-0.03674105,14.62293815,14.58619710,2.3257,86325,150
109,2025-09-03,16:14:54,HGwdb6RQsMTqXpjBiy5BEAXHcpanmJr3c1Dj84r5pump,PokeSol,PokeSol,solana,0.30617542,2.3362,0.71527415,0.40909873,14.58619710,14.99529583,3.1813,300,260
110,2025-09-04,07:12:38,dh1yPPKTsqR25aVVpbp24rHTjc7VbyhFPGiQyrypump,FOMO,FOMO,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.99529583,14.87282566,1.3707,86325,525
111,2025-09-04,21:14:05,FdpEvMwXM99WsCr5zwrQ5BqgQTSLULpewpXjfs7ABAGS,DEGEN,Degen Social Media,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.87282566,14.75035549,1.6077,86325,105
112,2025-09-04,22:35:04,FfptCUbN78XmFB9A51Q9v4KGXJHiSkHV36dUfjVmpump,KKK,King Kong Kaew,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.75035549,14.62788533,1.6362,86300,15
113,2025-09-04,22:52:07,BFhwU8vyK4v1bm3uva4TXrrhN1md1eSpx75ah245oxSr,pumpguy,pump guy,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.62788533,14.50541516,1.5959,86285,280
114,2025-09-04,22:55:14,82knoLRwHvWQr3tBo2ExUumVCNMsY6Pi51UvRzmEpump,Longshiff,Adam Longshiff,solana,0.30617542,2.3509,0.71980185,0.41362643,14.50541516,14.91904159,3.2165,0,0
115,2025-09-05,04:23:26,8nr9vtxmaRz6hc68wmr7kvVQe2iFYqJJnK6SykLXpump,Humancoin,No AI Was Used to Create This ,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.91904159,14.79657142,1.7601,86315,0
116,2025-09-06,21:48:38,GBUxQFRXQjSPjkxymAUKPfbUbSpRY8Ui7az1HCxtpump,MIR,Mirror Chain,solana,0.30617542,0.6000,0.18370525,-0.12247017,14.79657142,14.67410125,1.2140,86290,15
117,2025-09-06,23:58:27,BV3PUxYhLs1X859A8ev7QaGnQLESnqY7kTaak3Aepump,firecoin,firecoin,solana,0.30617542,0.8800,0.26943437,-0.03674105,14.67410125,14.63736020,2.2290,86280,200
