Trade#,Date,Time,TokenAddress,TokenSymbol,TokenName,Chain,Investment_SOL,PNL_Multiplier,Return_SOL,Profit_SOL,Portfolio_Before_SOL,Portfolio_After_SOL,Max_Multiplier_Reached,HoldDuration_Minutes,TimeToAth_Minutes
1,2025-07-20,22:56:43,LarJmR9bQNUGUNPWaQ2tb6KrBT5DYMtpuuL9W7ELg5w,poorless,POORLESS COIN,solana,0.20000000,2.3431,0.46862577,0.26862577,10.00000000,10.26862577,3.1979,115,115
2,2025-07-21,07:08:14,HjsZ73QxNbXoUnyXXffoXn6kHUKQqdy6GXd4J1N4shot,ENERGY,ENERGY COIN,solana,0.20000000,0.6000,0.12000000,-0.08000000,10.26862577,10.18862577,1.7532,86390,1070
3,2025-07-22,01:12:53,2Pqk7MiMcQWEbXRLz8WPDF3tFkKuumobn7B69i3uEeTe,THC,The Holy Coin,solana,0.20000000,2.9009,0.58017247,0.38017247,10.18862577,10.56879824,4.5259,45,45
4,2025-07-22,06:13:54,G85CQEBqwsoe3qkb5oXXpdZFh7uhYXhDRsQAM4aJuBLV,ORGO,Orgo,solana,0.20000000,0.6000,0.12000000,-0.08000000,10.56879824,10.48879824,1.6076,86385,1125
5,2025-07-23,02:35:54,3MrwYcAvGNNtMcHwscSqFQJ3qhMpKwxZCbprYrz1RYWi,boner,boner,solana,0.20000000,2.3764,0.47527919,0.27527919,10.48879824,10.76407743,3.2771,1160,1160
6,2025-07-24,21:25:57,y31hFyYbrVW4R53Zfka8WJfQpwpMLfCcAjVKAonpump,pumper,First Kid Named After Pumpfun,solana,0.20000000,0.6000,0.12000000,-0.08000000,10.76407743,10.68407743,1.1151,86370,60
7,2025-07-27,06:30:08,HY9af7cfvWjyWVxc6mUcqVt4be1NWk2TawjwuSbujups,TGM,The Great Migration,solana,0.21368155,0.6000,0.12820893,-0.08547262,10.68407743,10.59860481,1.2854,86365,865
8,2025-07-28,05:32:00,5BuqrxLTaWpazYKrh4dz1mCiMNj4WCHiU8ZKnoEDjups,MARS,MARS,solana,0.21368155,0.6000,0.12820893,-0.08547262,10.59860481,10.51313219,1.0993,86365,0
9,2025-07-28,10:28:59,2uaTpSujZBYwBZNXusmW7PqM8Vi4qwbyotnfWhaN9oT9,SLOP,digital slop,solana,0.21368155,0.8800,0.18803976,-0.02564179,10.51313219,10.48749040,2.2559,86370,40
10,2025-07-28,17:39:54,9AfZdS6orGRi6ey4mMwyRnU2yZ6SzMZxcpMroE4rjups,MEOW,Meow,solana,0.21368155,0.6000,0.12820893,-0.08547262,10.48749040,10.40201778,1.3766,86360,5
11,2025-07-29,02:06:47,dgU3DSSTFyHx4j5MKx94V3BB6jMse7EQpGDi6zUuULt,Myst,Mystify,solana,0.21368155,0.8800,0.18803976,-0.02564179,10.40201778,10.37637600,2.5047,86390,95
12,2025-07-31,16:52:57,5hUL8iHMXcUj9AS7yBErJmmTXyRvbdwwUqbtB2udjups,NEMA,Nema,solana,0.21368155,0.6000,0.12820893,-0.08547262,10.37637600,10.29090338,1.1612,86345,135
13,2025-08-01,04:17:10,6pcSWu35Dw4qZjtcn1sdeSHXzxNaY3JVege6xn59DEpQ,LOB,LEAGUE OF BONK,solana,0.21368155,0.6000,0.12820893,-0.08547262,10.29090338,10.20543076,1.4173,86380,25
14,2025-08-02,11:13:10,76jtf8RVt6e8aMfVRvYXoV2iBggqMXotEyUjmAHdjups,SOL,Solana CTO,solana,0.21368155,0.6000,0.12820893,-0.08547262,10.20543076,10.11995814,1.3746,86385,5
15,2025-08-02,21:56:04,9mAnyxAq8JQieHT7Lc47PVQbTK7ZVaaog8LwAbFzBAGS,WATER,TeamWater,solana,0.21368155,0.8800,0.18803976,-0.02564179,10.11995814,10.09431635,2.9878,86340,600
16,2025-08-03,08:15:21,JD5GYKm5dQ7JbTagEvddDuk671VzZdGtDpQt2MM6y8RH,macrohard,macrohard,solana,0.20188633,0.8800,0.17765997,-0.02422636,10.09431635,10.07008999,2.1065,86380,120
17,2025-08-03,19:45:59,9a5DxpveEUcPKjcULbHU1YMDq5FwUZFtPLxw6YRGBAGS,AIRBAGS,AIRBAGS,solana,0.20188633,0.6000,0.12113180,-0.08075453,10.07008999,9.98933546,1.2278,86350,5
18,2025-08-04,18:37:26,5Ste2CMTfyJt2eu1uFYLKrZXTLpAfQ5JEqem2eTjjups,CHAIR,Chair,solana,0.20188633,0.6000,0.12113180,-0.08075453,9.98933546,9.90858093,1.4425,86360,250
19,2025-08-05,18:09:46,5zCETicUCJqJ5Z3wbfFPZqtSpHPYqnggs1wX7ZRpump,SPARK,Illusion of Life,solana,0.20188633,2.4245,0.48947335,0.28758702,9.90858093,10.19616795,3.3917,45,45
20,2025-08-05,21:44:36,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,TROLL,solana,0.20188633,1.4387,0.29046059,0.08857427,10.19616795,10.28474222,2.4704,86355,25035
21,2025-08-06,00:32:52,7oLWGMuGbBm9uwDmffSdxLE98YChFAH1UdY5XpKYLff8,WOJAK,Wojak,solana,0.20188633,2.2659,0.45745203,0.25556570,10.28474222,10.54030792,3.0140,1225,1225
22,2025-08-06,06:27:30,DHNfLi9ad4L9ebZZ6MPcmJbezBcs5ksCx9JFFf1LmF2N,Banger,dudes reply banger to your tweet,solana,0.20188633,0.6000,0.12113180,-0.08075453,10.54030792,10.45955339,1.3615,86310,0
23,2025-08-06,06:52:24,5ghpHpgiew7WuuKY1f3CSMgGHmDiZUeMjZrgDrfzBAGS,GROKPROMPT,grokprompt.fun,solana,0.20188633,0.6000,0.12113180,-0.08075453,10.45955339,10.37879886,1.1976,86285,4805
24,2025-08-06,20:26:02,ArzbUA9b1dq47j4RaFR728Fxkvb5hDBDLd7GJtwWpump,KIKO,Kiko,solana,0.20188633,0.6000,0.12113180,-0.08075453,10.37879886,10.29804433,1.9504,86310,0
25,2025-08-07,16:46:23,83xk8Zz5nwq5W6RkEPJLwPL9rr951xt8XjSDha9irzK5,FIF,Flokiwifhat,solana,0.20188633,2.5518,0.51517696,0.31329064,10.29804433,10.61133496,3.6948,910,910
26,2025-08-07,23:02:39,Cz7LGKdZPpAxonXx23ZYPW3RtDQvjcf17ZDCZEzFpump,401jk,401jk,solana,0.20188633,3.2083,0.64771067,0.44582435,10.61133496,11.05715931,5.2578,53335,52375
27,2025-08-08,02:42:56,CMx7yon2cLzHcXqgHsKJhuU3MmME6noWLQk2rAycBAGS,NYAN,Nyan Cat,solana,0.20188633,0.6000,0.12113180,-0.08075453,11.05715931,10.97640478,1.5885,86295,230
28,2025-08-08,08:59:21,ESBCnCXtEZDmX8QnHU6qMZXd9mvjSAZVoYaLKKADBAGS,BTH,BUY THE HAT,solana,0.20188633,2.2942,0.46316280,0.26127647,10.97640478,11.23768125,3.0814,960,900
29,2025-08-08,09:49:19,2kBaWJjNf2XiEWjg4qhWtTXoVN5EvJAvZPv8vyWB8A4M,GFF,GLASS FULL FOUNDATION,solana,0.20188633,0.8800,0.17765997,-0.02422636,11.23768125,11.21345489,2.9637,86290,610
30,2025-08-08,23:13:59,7obhQyME8iSNktCbCAtiLCpgv3cVqW1PWd31v4Egpump,RAVE,Final Rave Guy,solana,0.20188633,0.6000,0.12113180,-0.08075453,11.21345489,11.13270036,1.0477,86325,5
31,2025-08-09,01:23:20,4H2Qjr8rsCj5MpaJXoVyJUC6XkaDupqEAre3r4JqBAGS,TERMINAGEN,Terminagent,solana,0.20188633,0.6000,0.12113180,-0.08075453,11.13270036,11.05194583,1.3391,86315,0
32,2025-08-09,10:31:37,8J4oASLBU8WdTgeRP4wiucCH4Cpn272R47W9JmduBAGS,SP500,S&P 500,solana,0.20188633,0.6000,0.12113180,-0.08075453,11.05194583,10.97119130,1.7041,86305,625
33,2025-08-10,09:11:01,HHxGTfXuv5hL1b1k8FWf4jrafBjs2VLdi6KjrBhPpump,pelosicoin,this will go up for sure.,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.97119130,10.88342177,1.2414,86325,0
34,2025-08-10,21:01:27,92ZcT2413ZboNzdZFzq2mrqXZeu99wc5kx2fgjMgpump,Shh,Shh Dog,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.88342177,10.79565224,1.1137,86335,40
35,2025-08-11,01:49:06,FYXnJhgLmhcELqsKyAfdKZExFfA7gaskQa5TuEZE9RZT,GRUG,Grug,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.79565224,10.70788271,1.1751,86290,145
36,2025-08-11,22:58:20,FTggXu7nYowpXjScSw7BZjtZDXywLNjK88CGhydDGgMS,rex,no internet,solana,0.21942383,2.2957,0.50372957,0.28430575,10.70788271,10.99218846,3.0850,285,265
37,2025-08-12,03:27:14,3gLJDi8BnPQRhGGuY8PCrZbUG9ZDvKxj8SKh7gPMiqgS,ITALIANO,ITALIANOBRAIN,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.99218846,10.90441893,1.6018,86310,1710
38,2025-08-12,03:59:17,H8xQ6poBjB9DTPMDTKWzWPrnxu4bDEhybxiouF8Ppump,Tokabu,The Spirit of Gambling,solana,0.21942383,0.6000,0.13165430,-0.08776953,10.90441893,10.81664940,1.2222,86280,6360
