TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-09-02T23:23:43.000Z,1.915569,10.00,9.16,100.00,109.16,100.00
2,2025-10-06T14:53:06.000Z,0.941666,10.46,-0.61,109.16,108.55,104.58
