TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,6VLZVUvmzxKk5DgMNaBzgkDTRc1dfCpRm5m6d79nbonk,2025-07-18T17:15:38.000Z,2025-07-21T19:00:00.000+10:00,2025-07-22T00:00:00.000+10:00,0.800000,-20.00,1.0454,300,No
2,G52sNbCpzmb6FehaXxHfSxErXUMhYKnyfugN5XmXpump,2025-07-19T01:05:40.000Z,2025-07-21T16:00:00.000+10:00,2025-07-21T18:00:00.000+10:00,0.870548,-12.95,1.1047,120,No
3,7L11EwmNRz4A4oj6jErkFR2CjSbAPadgwAGz7vGobonk,2025-07-20T13:22:38.000Z,2025-07-21T20:00:00.000+10:00,2025-07-21T23:00:00.000+10:00,0.931068,-6.89,1.3879,180,No
4,9UUKsR28bZ5yNKK31GocRBNm1DSDHidxVepXB7bWbonk,2025-07-20T20:07:20.000Z,2025-07-21T14:00:00.000+10:00,2025-07-21T16:00:00.000+10:00,1.020187,2.02,1.1282,120,Yes
5,A3nqXHmMn1bcsggkmehHBd37PjDBTx1Ud2nv27uKdS8Q,2025-07-21T15:53:15.000Z,2025-07-23T07:00:00.000+10:00,2025-07-23T09:00:00.000+10:00,2.845243,184.52,1.1684,120,Yes
6,Bzx6NPUUSukdSy9jCwsTJFeHwpuZtuh4ffgasb69bonk,2025-07-21T16:02:35.000Z,2025-07-25T05:00:00.000+10:00,2025-07-25T09:00:00.000+10:00,0.977412,-2.26,1.0000,240,No
7,CZF6Zt6mig4xrGimTSJtutqfDfPbQ6wMGxvYLXa5bonk,2025-07-22T11:29:38.000Z,2025-07-27T07:00:00.000+10:00,2025-07-28T01:00:00.000+10:00,1.004087,0.41,1.0049,1080,Yes
8,6MTMkWtow8ujFLdUkxkFuUXrDBXDsnpu5UVpd8zobonk,2025-07-22T20:04:52.000Z,2025-07-23T18:00:00.000+10:00,2025-07-23T20:00:00.000+10:00,0.927266,-7.27,1.1638,120,No
9,ARLYsWnz3eafecasuzCVghccgo9qRF8DnJ3St1dwbonk,2025-07-23T11:12:04.000Z,2025-07-28T06:00:00.000+10:00,2025-07-28T09:00:00.000+10:00,1.319409,31.94,1.6425,180,Yes
10,4pfeei8PAepBcWiLeSPmJwSaSdikgSRhCvk1RDKxbonk,2025-07-23T11:13:47.000Z,2025-07-24T14:00:00.000+10:00,2025-07-24T16:00:00.000+10:00,1.025877,2.59,1.0121,120,Yes
11,CESqUPwH5WT54yZ6mejtr2yBBNhTodFyYifPtXcnbonk,2025-07-24T07:54:18.000Z,2025-07-26T15:00:00.000+10:00,2025-07-27T00:00:00.000+10:00,1.000000,0.00,1.0000,540,No
12,4GudzK6GstbS7rphjxQPhudaSL9fJohwM1joyXpmbonk,2025-07-24T12:41:56.000Z,2025-07-25T17:00:00.000+10:00,2025-07-25T19:00:00.000+10:00,1.027751,2.78,1.2262,120,Yes
13,G9SJ8zKzp5XwWvVGmYeBkp4ky3rpJ2xkXDqAbtvUbonk,2025-07-24T17:15:10.000Z,2025-07-26T04:00:00.000+10:00,2025-07-26T06:00:00.000+10:00,1.171705,17.17,1.0385,120,Yes
14,7tAnusL3srXjzEriVL86a23KgwDZKXJTZ2ezEUubonk,2025-07-25T13:45:44.000Z,2025-07-26T06:00:00.000+10:00,2025-07-26T09:00:00.000+10:00,1.238818,23.88,1.6460,180,Yes
15,2kuoRNPV3PmEsmy2SGLHaYAtq4K7nFMTdxFFL9pWbonk,2025-07-26T04:33:28.000Z,2025-07-27T02:00:00.000+10:00,2025-07-27T03:00:00.000+10:00,1.184447,18.44,1.3892,60,Yes
16,G95DeH1mNbG48MWsfRx1WXngtUhHvjWE97P4piXZbonk,2025-07-28T18:56:22.000Z,2025-07-30T03:00:00.000+10:00,2025-07-30T05:00:00.000+10:00,0.809702,-19.03,1.3010,120,No
