TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,5282xUX6Um6yP9SSFpUE4DLdbV4FTS7fzFkF2xDcbonk,2025-07-24T10:39:52.000Z,2025-07-26T15:00:00.000+10:00,2025-07-26T17:00:00.000+10:00,1.000270,0.03,1.0087,120,Yes
2,3whRoa92tx28MtuctTCAmWwPVZaJmXQ2jf2mzmP3te9U,2025-08-09T14:05:35.000Z,2025-08-11T03:00:00.000+10:00,2025-08-11T05:00:00.000+10:00,0.869418,-13.06,1.0030,120,No
3,BFnbo38r4RNHTAnLe1kKoYnheP6avH3T45UjEPeDBAGS,2025-08-09T14:50:14.000Z,2025-08-14T12:00:00.000+10:00,2025-08-15T06:00:00.000+10:00,1.000000,0.00,1.0000,1080,No
4,DyqS2Aw4CiK55zL8C3WhSnydzi9qv2aN7MKMWj3hpump,2025-08-09T20:02:41.000Z,2025-08-11T10:00:00.000+10:00,2025-08-11T12:00:00.000+10:00,1.769417,76.94,1.0025,120,Yes
5,8YPJp3GBRARgWhYv3HnTyM1vLMHxbKQHiV94nNKXessi,2025-08-12T13:34:31.000Z,2025-08-13T14:00:00.000+10:00,2025-08-13T15:00:00.000+10:00,0.986245,-1.38,1.0000,60,No
6,WPm6k6RJPHeYgBrZaaQ1QzJca7SswmjFFQBzj1Zpump,2025-08-14T22:11:46.000Z,2025-08-18T05:00:00.000+10:00,2025-08-18T11:00:00.000+10:00,0.984134,-1.59,1.0000,360,No
7,6LQbQrA2aNDxKTgFZCBoYDjdYaPV83EwfMWGNp1TBAGS,2025-08-18T21:37:40.000Z,2025-08-19T14:00:00.000+10:00,2025-08-19T16:00:00.000+10:00,1.033308,3.33,1.2620,120,Yes
8,8iDm2iKvLtF48a9pENACDK6W62aPaYcfPUcjusjfrge,2025-08-20T13:02:47.000Z,2025-08-22T03:00:00.000+10:00,2025-08-22T04:00:00.000+10:00,1.025817,2.58,1.0149,60,Yes
9,FKMSn2pbUfsexQucnKMqgSDWJdz9hfiSVsqb65zQV777,2025-08-24T19:16:59.000Z,2025-08-27T09:00:00.000+10:00,2025-08-27T16:00:00.000+10:00,1.000000,0.00,1.0000,420,No
10,7WH7Vw6xtjaYJC4yAdg8bw5o2KHEwQqXJ2oYLhyZBAGS,2025-08-24T20:38:42.000Z,2025-08-27T10:00:00.000+10:00,2025-08-27T14:00:00.000+10:00,0.985468,-1.45,1.0000,240,No
11,66TMnfquHV395erMM7FTZnQAWXjLVsx974jtBjRo6edD,2025-08-25T13:32:29.000Z,2025-08-26T12:00:00.000+10:00,2025-08-26T14:00:00.000+10:00,1.113263,11.33,1.0000,120,Yes
12,4AKqi4cb8jSKhjDNmeeFZXdC2F7vWNtSLVTGaYxypump,2025-08-26T15:52:24.000Z,2025-08-28T10:00:00.000+10:00,2025-08-29T02:00:00.000+10:00,1.000000,0.00,1.0000,960,No
13,FF4sUzUfBbuLyVwPimeyseUpYtgPbX3jHjfqN6xEpump,2025-08-27T18:55:42.000Z,2025-08-29T00:00:00.000+10:00,2025-08-29T04:00:00.000+10:00,0.990902,-0.91,1.0000,240,No
14,B1QcBE4PcnqWPccJLNAEkLeMmH3sUXQzopSZtLAipump,2025-08-31T20:28:13.000Z,2025-09-01T20:00:00.000+10:00,2025-09-01T22:00:00.000+10:00,1.000000,0.00,1.0000,120,No
15,2Su19KU4xbHbrfEyaPMuLwacT2FqtaADn2RpiEvwbonk,2025-09-01T12:19:32.000Z,2025-09-02T05:00:00.000+10:00,2025-09-02T07:00:00.000+10:00,0.996196,-0.38,1.0000,120,No
16,28agnqHVRF9HA5qvy24jiUAvV4mMwxnLpCfM4wf3pump,2025-09-04T16:09:56.000Z,2025-09-05T12:00:00.000+10:00,2025-09-05T18:00:00.000+10:00,0.926831,-7.32,1.0000,360,No
17,988v3LaqpRwPtAJtjpKAxmVMmg9jHn6sSJVjpU5Epump,2025-09-05T14:29:04.000Z,2025-09-08T09:00:00.000+10:00,2025-09-08T18:00:00.000+10:00,1.000000,0.00,1.0000,540,No
18,zbLyd9VyPtaqd4txRG7aXuegqSwGmyhmRTnokAYpump,2025-09-05T20:03:38.000Z,2025-09-09T07:00:00.000+10:00,2025-09-09T16:00:00.000+10:00,1.000000,0.00,1.0000,540,No
19,JwN7kQ4kaGxSwJyA8WbnoC9Wa9sgHzWx1gUoCAgeacs,2025-09-08T09:53:19.000Z,2025-09-09T18:00:00.000+10:00,2025-09-09T20:00:00.000+10:00,1.054123,5.41,1.1107,120,Yes
20,0xf31767d47ab5c300eb0db6c400de33ec39ac0757,2025-09-22T16:47:24.000Z,2025-09-23T10:00:00.000+10:00,2025-09-23T14:00:00.000+10:00,1.009454,0.95,1.3193,240,Yes
21,0x3f247ef7e4a3498d6c9d1ced88610a8c74bb4444,2025-09-25T11:25:34.000Z,2025-09-26T08:00:00.000+10:00,2025-09-26T10:00:00.000+10:00,0.800000,-20.00,1.0000,120,No
22,0xad2e917bfc5a0fe1eb00405a6b45df9a1f304444,2025-09-25T15:13:17.000Z,2025-09-27T07:00:00.000+10:00,2025-09-27T16:00:00.000+10:00,1.000000,0.00,1.0000,540,No
23,0x84bd7aee39867fe7a875b334c9e9d11fd1eb4444,2025-10-19T18:33:29.000Z,2025-10-20T17:00:00.000+11:00,2025-10-20T19:00:00.000+11:00,0.918634,-8.14,1.0638,120,No
24,0xd3454470569613fcb7d52cb9c9db67e9e7d04444,2025-10-22T13:50:22.000Z,2025-10-23T16:00:00.000+11:00,2025-10-23T17:00:00.000+11:00,0.985477,-1.45,1.0000,60,No
