Week,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment
2025-07-21,109.56,109.40,9.56,9.40,0.43,0.43
2025-07-28,110.73,110.91,10.73,10.91,7.35,6.66
2025-08-04,114.56,114.40,14.56,14.40,2.40,2.18
2025-08-11,134.98,132.41,34.98,32.41,0.07,0.06
2025-08-18,144.74,140.31,44.74,40.31,0.17,0.14
2025-08-25,141.17,137.66,41.17,37.66,1.74,1.30
2025-09-01,144.56,140.10,44.56,40.10,0.00,0.00
2025-09-15,147.25,142.03,47.25,42.03,1.58,1.15
2025-09-22,143.30,139.32,43.30,39.32,1.54,1.10
2025-09-29,139.08,136.40,39.08,36.40,1.63,1.15
2025-10-06,136.61,134.68,36.61,34.68,1.55,1.11
2025-10-13,138.46,135.98,38.46,35.98,2.33,1.71
2025-10-20,161.64,152.75,61.64,52.75,1.32,1.01
2025-10-27,164.53,154.72,64.53,54.72,0.00,0.00
2025-11-03,164.01,154.37,64.01,54.37,0.00,0.00
