TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-21T09:17:54.000Z,1.210289,10.00,2.10,100.00,102.10,100.00
2,2025-07-21T12:45:56.000Z,0.953204,10.11,-0.47,102.10,101.63,101.05
3,2025-07-21T15:35:10.000Z,1.100326,10.12,1.02,101.63,102.65,101.24
4,2025-07-23T07:46:40.000Z,0.981585,10.16,-0.19,102.65,102.46,101.59
5,2025-07-23T11:29:53.000Z,0.987333,10.18,-0.13,102.46,102.33,101.77
6,2025-07-23T12:23:40.000Z,1.029746,10.19,0.30,102.33,102.63,101.86
7,2025-07-23T15:12:10.000Z,1.295682,10.20,3.02,102.63,105.65,101.97
8,2025-07-23T19:41:28.000Z,1.406176,10.24,4.16,105.65,109.81,102.43
9,2025-07-25T11:11:59.000Z,0.975718,10.33,-0.25,109.81,109.56,103.25
10,2025-07-25T12:45:05.000Z,1.564211,10.39,5.86,109.56,115.42,103.88
11,2025-07-26T12:37:07.000Z,1.064981,10.54,0.69,115.42,116.10,105.42
12,2025-07-26T16:06:49.000Z,1.203367,10.68,2.17,116.10,118.28,106.82
13,2025-07-27T20:06:53.000Z,0.792015,10.85,-2.26,118.28,116.02,108.49
14,2025-07-28T00:30:24.000Z,0.792015,10.98,-2.28,116.02,113.74,109.83
15,2025-07-28T00:35:07.000Z,0.997692,11.10,-0.03,113.74,113.71,110.95
16,2025-07-28T16:44:29.000Z,0.911253,11.21,-0.99,113.71,112.72,112.09
17,2025-07-30T13:35:34.000Z,0.792015,11.31,-2.35,112.72,110.36,113.10
18,2025-07-31T06:59:58.000Z,0.972590,11.36,-0.31,110.36,110.05,113.57
19,2025-07-31T12:40:01.000Z,0.980198,11.36,-0.22,110.05,109.83,113.60
20,2025-08-01T10:20:56.000Z,0.978532,11.36,-0.24,109.83,109.58,113.62
21,2025-08-01T10:21:10.000Z,0.980198,11.30,-0.22,109.58,109.36,113.04
22,2025-08-02T09:52:49.000Z,1.121887,11.24,1.37,109.36,110.73,112.36
23,2025-08-03T11:07:32.000Z,0.916197,11.16,-0.94,110.73,109.79,111.61
24,2025-08-03T11:11:02.000Z,0.971294,11.10,-0.32,109.79,109.47,110.99
25,2025-08-03T14:57:40.000Z,1.232664,11.06,2.57,109.47,112.05,110.56
26,2025-08-05T09:25:24.000Z,0.793965,11.04,-2.27,112.05,109.77,110.39
27,2025-08-06T01:06:19.000Z,0.957066,11.01,-0.47,109.77,109.30,110.10
28,2025-08-06T18:44:55.000Z,1.128194,11.00,1.41,109.30,110.71,109.99
29,2025-08-06T23:16:00.000Z,0.973079,11.01,-0.30,110.71,110.41,110.06
30,2025-08-07T07:52:17.000Z,1.376425,11.01,4.15,110.41,114.56,110.12
31,2025-08-10T22:54:21.000Z,1.429342,11.06,4.75,114.56,119.31,110.62
32,2025-08-10T23:01:19.000Z,0.992370,11.16,-0.09,119.31,119.22,111.61
33,2025-08-12T10:28:36.000Z,2.052238,11.25,11.83,119.22,131.06,112.46
34,2025-08-12T17:27:38.000Z,1.032121,11.46,0.37,131.06,131.42,114.59
35,2025-08-12T19:07:04.000Z,0.992025,11.68,-0.09,131.42,131.33,116.78
36,2025-08-16T09:15:06.000Z,1.029476,11.87,0.35,131.33,131.68,118.71
37,2025-08-16T12:30:08.000Z,1.273215,12.09,3.30,131.68,134.98,120.90
38,2025-08-16T15:30:31.000Z,1.810564,12.35,10.01,134.98,144.99,123.47
39,2025-08-18T19:58:46.000Z,0.980198,12.69,-0.25,144.99,144.74,126.90
40,2025-08-24T12:15:10.000Z,0.876755,13.03,-1.61,144.74,143.13,130.33
41,2025-08-25T13:08:30.000Z,0.980198,13.32,-0.26,143.13,142.87,133.19
42,2025-08-26T21:29:37.000Z,1.059367,13.55,0.80,142.87,143.68,135.54
43,2025-08-27T00:56:42.000Z,0.818680,13.80,-2.50,143.68,141.17,137.99
44,2025-09-04T12:33:55.000Z,1.243274,13.90,3.38,141.17,144.56,139.00
45,2025-09-17T11:26:28.000Z,1.332861,14.03,4.67,144.56,149.23,140.31
46,2025-09-18T09:59:34.000Z,0.834427,14.21,-2.35,149.23,146.87,142.10
47,2025-09-18T11:54:25.000Z,1.046025,14.36,0.66,146.87,147.53,143.62
48,2025-09-18T19:43:47.000Z,0.980198,14.49,-0.29,147.53,147.25,144.88
49,2025-09-26T12:43:00.000Z,0.882854,14.51,-1.70,147.25,145.55,145.10
50,2025-09-26T18:07:26.000Z,0.845454,14.52,-2.24,145.55,143.30,145.18
51,2025-09-28T17:10:06.000Z,0.867351,14.52,-1.93,143.30,141.38,145.20
52,2025-09-28T19:25:52.000Z,0.874130,14.51,-1.83,141.38,139.55,145.05
53,2025-09-29T08:26:40.000Z,0.980198,14.46,-0.29,139.55,139.27,144.64
54,2025-10-03T01:34:30.000Z,0.987096,14.44,-0.19,139.27,139.08,144.45
55,2025-10-04T16:49:52.000Z,0.978099,14.39,-0.32,139.08,138.76,143.90
56,2025-10-10T18:02:07.000Z,0.849261,14.29,-2.15,138.76,136.61,142.85
57,2025-10-11T12:22:26.000Z,1.014309,14.18,0.20,136.61,136.81,141.83
58,2025-10-11T12:26:42.000Z,1.351889,14.08,4.95,136.81,141.77,140.76
59,2025-10-12T00:10:38.000Z,0.937067,14.02,-0.88,141.77,140.88,140.21
60,2025-10-13T11:14:01.000Z,0.877634,13.97,-1.71,140.88,139.17,139.74
61,2025-10-14T17:31:33.000Z,1.043340,13.93,0.60,139.17,139.78,139.33
62,2025-10-15T22:21:21.000Z,0.905669,13.92,-1.31,139.78,138.46,139.17
63,2025-10-16T08:08:15.000Z,0.958518,13.91,-0.58,138.46,137.89,139.06
64,2025-10-20T22:32:49.000Z,0.954000,13.89,-0.64,137.89,137.25,138.92
65,2025-10-22T15:54:04.000Z,0.891353,13.87,-1.51,137.25,135.74,138.74
66,2025-10-22T16:08:35.000Z,1.047843,13.84,0.66,135.74,136.40,138.44
67,2025-10-24T01:15:27.000Z,1.001075,13.84,0.01,136.40,136.42,138.42
68,2025-10-24T02:43:24.000Z,2.916213,13.84,26.52,136.42,162.93,138.38
