TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,9PZggYdpAWJVhJ8C3ktVkEkH3xeuyndu9RzTZbAipump,2025-07-21T09:17:54.000Z,2025-07-23T07:00:00.000+10:00,2025-07-23T09:00:00.000+10:00,0.00000545,0.00000660,1.210289,21.03,1.0000,120,Yes
2,CNGgncMbFhUwRU1nGUGoPkGAd7TDjyKewR89V6NXbonk,2025-07-21T12:45:56.000Z,2025-07-25T13:00:00.000+10:00,2025-07-26T02:00:00.000+10:00,0.00000536,0.00000511,0.953204,-4.68,1.0000,780,No
3,GxNGdYcXRFSuPJrVsSLgcavKE1E8Jptqvxz4ZR3tbonk,2025-07-21T15:35:10.000Z,2025-07-22T12:00:00.000+10:00,2025-07-22T14:00:00.000+10:00,0.00010308,0.00011342,1.100326,10.03,1.0000,120,Yes
4,EeXCizcQ3KQpaK4DXsvnCQQoBo4hmG7hw4ozo8bTbonk,2025-07-23T07:46:40.000Z,2025-07-27T04:00:00.000+10:00,2025-07-27T06:00:00.000+10:00,0.00000455,0.00000447,0.981585,-1.84,1.0000,120,No
5,0x6189c29eb01493a88df50ad3a5dd952709db7616,2025-07-23T11:29:53.000Z,2025-07-26T10:00:00.000+10:00,2025-07-27T10:00:00.000+10:00,0.00000236,0.00000233,0.987333,-1.27,1.0000,1440,No
6,14HxFS6yxquojf7q2fg8fuSzDeLtLi9wD9bXRuDAbonk,2025-07-23T12:23:40.000Z,2025-07-24T14:00:00.000+10:00,2025-07-24T16:00:00.000+10:00,0.00075299,0.00077539,1.029746,2.97,1.0177,120,Yes
7,Aw3VsVuGQcj2bTAH8S3iyraDWBdBbbPAJusAd8Jnpump,2025-07-23T15:12:10.000Z,2025-07-27T18:00:00.000+10:00,2025-07-27T20:00:00.000+10:00,0.00005274,0.00006834,1.295682,29.57,1.7545,120,Yes
8,cyMRy2qBFbv6r6epi5TFiWuwANP46bH56iY42zdbonk,2025-07-23T19:41:28.000Z,2025-07-26T11:00:00.000+10:00,2025-07-26T13:00:00.000+10:00,0.00006557,0.00009220,1.406176,40.62,1.6265,120,Yes
9,Bk6oLMgBNGJKFCCELjjydMqQ1igunsS7y1ZpDDzGbonk,2025-07-25T11:11:59.000Z,2025-07-26T05:00:00.000+10:00,2025-07-26T06:00:00.000+10:00,0.00010281,0.00010032,0.975718,-2.43,1.2297,60,No
10,Gi7oE7pF93vGwsib6WqZg5UTHyvzE2svKZx14DTHbonk,2025-07-25T12:45:05.000Z,2025-07-29T22:00:00.000+10:00,2025-07-30T00:00:00.000+10:00,0.00000481,0.00000752,1.564211,56.42,1.0533,120,Yes
11,GZKnG2D9ssPaBNBbmeieR6b7qUnFxNv5vhDGr5wLbonk,2025-07-26T12:37:07.000Z,2025-07-28T17:00:00.000+10:00,2025-07-28T18:00:00.000+10:00,0.00000437,0.00000465,1.064981,6.50,1.0052,60,Yes
12,CMva3U9E7WvrpLkRnYF2Hr3sVEhBkTBSDXBWVv5Qpump,2025-07-26T16:06:49.000Z,2025-07-28T12:00:00.000+10:00,2025-07-28T14:00:00.000+10:00,0.00003799,0.00004572,1.203367,20.34,1.0741,120,Yes
13,dgU3DSSTFyHx4j5MKx94V3BB6jMse7EQpGDi6zUuULt,2025-07-27T20:06:53.000Z,2025-07-28T18:00:00.000+10:00,2025-07-28T19:00:00.000+10:00,0.00071657,0.00056753,0.792015,-20.80,1.2108,60,No
14,8AKBy6SkaerTMWZAad47yQxZnvrEk59DvhcHLHUsbonk,2025-07-28T00:30:24.000Z,2025-07-29T13:00:00.000+10:00,2025-07-29T15:00:00.000+10:00,0.00103424,0.00081914,0.792015,-20.80,1.1783,120,No
15,Aj27AMdcxtKvmuhbM2D6wcSWmFGCo8bST7g5BYDNBAGS,2025-07-28T00:35:07.000Z,2025-07-29T15:00:00.000+10:00,2025-07-29T16:00:00.000+10:00,0.00005648,0.00005635,0.997692,-0.23,1.1164,60,No
16,JCXhuWo7mupPXDRQx3g5ZoDbNTEVkHrkPvo2xSRKJqpQ,2025-07-28T16:44:29.000Z,2025-07-31T23:00:00.000+10:00,2025-08-01T11:00:00.000+10:00,0.00000507,0.00000462,0.911253,-8.87,1.0000,720,No
17,6T7xYGQxtSRjKFpJHvX1ondUnULLLyx8iKsGmM7Xbonk,2025-07-30T13:35:34.000Z,2025-07-31T17:00:00.000+10:00,2025-07-31T18:00:00.000+10:00,0.00065422,0.00051815,0.792015,-20.80,1.1946,60,No
18,9B1WxNvqrkYwhSdZNxSjF3i2vfbo4gvUEUJ1xFCCbonk,2025-07-31T06:59:58.000Z,2025-08-02T19:00:00.000+10:00,2025-08-02T20:00:00.000+10:00,0.00032340,0.00031454,0.972590,-2.74,1.0098,60,No
19,DK9TdDbkqsgUuTeohNKgKg6Fv3RN2MeQFCyjauQZbonk,2025-07-31T12:40:01.000Z,2025-08-04T15:00:00.000+10:00,2025-08-04T17:00:00.000+10:00,0.00000367,0.00000360,0.980198,-1.98,1.0000,120,No
20,EbXvNvU1kEgJKVUa7iStqn2CLEoeMuiZAjBFYdnRbonk,2025-08-01T10:20:56.000Z,2025-08-02T17:00:00.000+10:00,2025-08-02T19:00:00.000+10:00,0.00001120,0.00001096,0.978532,-2.15,1.2360,120,No
21,FMcbpXxMZjifkxBE2kXonjfz12TuNXGoZXrAkUfEbonk,2025-08-01T10:21:10.000Z,2025-08-04T08:00:00.000+10:00,2025-08-04T17:00:00.000+10:00,0.00000202,0.00000198,0.980198,-1.98,1.0000,540,No
22,Bb5BKNzKtkRM9zeEdc5ojkPgYKr5GsuMzBeGktn2bonk,2025-08-02T09:52:49.000Z,2025-08-03T08:00:00.000+10:00,2025-08-03T09:00:00.000+10:00,0.00008054,0.00009036,1.121887,12.19,1.1972,60,Yes
