Date,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment
2025-07-23,102.10,102.10,2.10,2.10
2025-07-26,109.56,109.40,9.56,9.40
2025-07-22,102.65,102.64,2.65,2.64
2025-07-27,105.65,105.58,5.65,5.58
2025-07-24,102.63,102.62,2.63,2.62
2025-07-30,115.42,115.04,15.42,15.04
2025-07-28,116.02,115.65,16.02,15.65
2025-07-29,113.71,113.54,13.71,13.54
2025-08-01,112.72,112.66,12.72,12.66
2025-07-31,110.36,110.58,10.36,10.58
2025-08-02,109.58,109.89,9.58,9.89
2025-08-04,112.05,112.11,12.05,12.11
2025-08-03,110.73,110.91,10.73,10.91
2025-08-07,110.71,110.90,10.71,10.90
2025-08-05,109.47,109.79,9.47,9.79
2025-08-06,109.30,109.62,9.30,9.62
2025-08-08,114.56,114.40,14.56,14.40
2025-08-12,119.31,118.69,19.31,18.69
2025-08-13,131.33,129.38,31.33,29.38
2025-08-14,131.42,129.46,31.42,29.46
2025-08-17,134.98,132.41,34.98,32.41
2025-08-18,144.99,140.51,44.99,40.51
2025-08-20,144.74,140.31,44.74,40.31
2025-08-25,143.13,139.08,43.13,39.08
2025-08-27,142.87,138.88,42.87,38.88
2025-08-28,141.17,137.66,41.17,37.66
2025-09-05,144.56,140.10,44.56,40.10
2025-09-18,149.23,143.43,49.23,43.43
2025-09-19,147.53,142.23,47.53,42.23
2025-09-20,147.25,142.03,47.25,42.03
2025-09-27,145.55,140.86,45.55,40.86
2025-09-28,143.30,139.32,43.30,39.32
2025-09-29,141.38,137.99,41.38,37.99
2025-10-01,139.27,136.53,39.27,36.53
2025-10-04,139.08,136.40,39.08,36.40
2025-10-08,138.76,136.18,38.76,36.18
2025-10-11,136.61,134.68,36.61,34.68
2025-10-14,141.77,138.34,41.77,38.34
2025-10-15,140.88,137.71,40.88,37.71
2025-10-17,139.78,136.92,39.78,36.92
2025-10-16,138.46,135.98,38.46,35.98
2025-10-20,137.89,135.56,37.89,35.56
2025-10-23,136.40,134.49,36.40,34.49
2025-10-25,162.07,153.05,62.07,53.05
2025-10-26,161.64,152.75,61.64,52.75
2025-10-29,164.53,154.72,64.53,54.72
2025-11-05,164.01,154.37,64.01,54.37
