TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,4QXpkiK31rKGCnYWyMzTJHJfTfs2iuAfqEGxCR5uBAGS,2025-08-09T18:35:16.000Z,2025-08-10T20:00:00.000+10:00,2025-08-10T22:00:00.000+10:00,1.077020,7.70,1.3669,120,Yes
2,48Yi53Mw21XvnPYfU2a4WZqGPDu67XQWhikgNHhSBAGS,2025-08-09T18:56:22.000Z,2025-08-10T17:00:00.000+10:00,2025-08-10T19:00:00.000+10:00,1.153986,15.40,1.1448,120,Yes
3,3inA8VDyTANLdStqedmmNsJbtn95gFNzSUiNb5XCBAGS,2025-08-14T22:35:42.000Z,2025-08-17T04:00:00.000+10:00,2025-08-18T11:00:00.000+10:00,1.097924,9.79,1.1470,1860,Yes
4,2LrBoFoc6AsBeZB2BkSs8TmZjbp1qtvPfFrsgY9Rpump,2025-08-16T15:16:34.000Z,2025-08-17T21:00:00.000+10:00,2025-08-17T22:00:00.000+10:00,1.019409,1.94,1.0637,60,Yes
5,GKdpkRpeSpMv3pqV23EProe7tSZdBoTCJJspfYBLpump,2025-08-19T08:17:21.000Z,2025-08-20T20:00:00.000+10:00,2025-08-20T21:00:00.000+10:00,1.012876,1.29,1.0013,60,Yes
6,4KHvstdHy3cJd8Q9KnV29wfm9Qk1HvsPtdCjfpc4pump,2025-08-26T22:35:03.000Z,2025-08-30T05:00:00.000+10:00,2025-08-30T14:00:00.000+10:00,1.000000,0.00,1.0000,540,No
7,5QFVvHTP2M2VZFUFQnT6PRKd8x3DNMcAfqMNLeFJBAGS,2025-09-03T18:13:57.000Z,2025-09-08T13:00:00.000+10:00,2025-09-08T22:00:00.000+10:00,1.000000,0.00,1.0000,540,No
8,DxiAg5mqccrmYJuG8JA2RBhYrPvokoU7wPqc7ZQKpump,2025-09-07T13:34:22.000Z,2025-09-13T01:00:00.000+10:00,2025-09-13T07:00:00.000+10:00,1.005278,0.53,1.0351,360,Yes
9,5RCywgbUGxcVEc1cCGCwCHFM1Dzyv272itV9kr8Upump,2025-09-07T15:12:53.000Z,2025-09-10T05:00:00.000+10:00,2025-09-10T09:00:00.000+10:00,0.940114,-5.99,1.0000,240,No
10,EwZE2j2RXj4LskpQyyqG381Rsy9wXpXmYuJ3u2uNpump,2025-09-09T13:32:00.000Z,2025-09-10T14:00:00.000+10:00,2025-09-10T23:00:00.000+10:00,1.011478,1.15,1.0240,540,Yes
11,BxADEtdwTB2xmUJmmJtNEro3UPBfpd5iQkg2Dmwepump,2025-09-10T19:58:47.000Z,2025-09-12T20:00:00.000+10:00,2025-09-13T11:00:00.000+10:00,1.000000,0.00,1.0000,900,No
12,34QfoNFg2U6tVGLdP3hiFBRUmowBzrrW8vxA5Pw5ru4e,2025-09-19T20:01:26.000Z,2025-09-20T13:00:00.000+10:00,2025-09-20T20:00:00.000+10:00,0.842193,-15.78,1.0439,420,No
13,BYd8ivRZred1i97Sn33PBZmG6MJYfFRGj63VJa7upump,2025-09-20T14:05:41.000Z,2025-09-21T15:00:00.000+10:00,2025-09-21T17:00:00.000+10:00,1.037559,3.76,1.0000,120,Yes
14,3SpN85Rpz16U9jsPHCABhwk33okwSCB1Qxb8J2jhpump,2025-09-22T15:06:28.000Z,2025-09-24T14:00:00.000+10:00,2025-09-25T00:00:00.000+10:00,1.000000,0.00,1.0000,600,No
