TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-08-09T18:35:16.000Z,1.077020,10.00,0.77,100.00,100.77,100.00
2,2025-08-09T18:56:22.000Z,1.153986,10.04,1.55,100.77,102.32,100.39
3,2025-08-14T22:35:42.000Z,1.097924,10.10,0.99,102.32,103.31,101.03
4,2025-08-16T15:16:34.000Z,1.019409,10.16,0.20,103.31,103.50,101.60
5,2025-08-19T08:17:21.000Z,1.012876,10.20,0.13,103.50,103.63,101.98
6,2025-08-26T22:35:03.000Z,1.000000,10.23,0.00,103.63,103.63,102.25
7,2025-09-03T18:13:57.000Z,1.000000,10.25,0.00,103.63,103.63,102.45
8,2025-09-07T13:34:22.000Z,1.005278,10.26,0.05,103.63,103.69,102.60
9,2025-09-07T15:12:53.000Z,0.940114,10.27,-0.62,103.69,103.07,102.72
10,2025-09-09T13:32:00.000Z,1.011478,10.28,0.12,103.07,103.19,102.76
11,2025-09-10T19:58:47.000Z,1.000000,10.31,0.00,103.19,103.19,103.07
12,2025-09-19T20:01:26.000Z,0.842193,10.33,-1.63,103.19,101.56,103.32
13,2025-09-20T14:05:41.000Z,1.037559,10.32,0.39,101.56,101.95,103.24
14,2025-09-22T15:06:28.000Z,1.000000,10.31,0.00,101.95,101.95,103.11
15,2025-09-26T08:29:35.000Z,0.911671,10.30,-0.91,101.95,101.04,102.95
16,2025-09-29T09:52:51.000Z,1.010117,10.27,0.10,101.04,101.14,102.69
17,2025-09-29T23:34:08.000Z,4.308824,10.24,33.90,101.14,135.04,102.44
18,2025-10-01T21:06:11.000Z,0.992188,10.56,-0.08,135.04,134.96,105.58
19,2025-10-05T16:10:18.000Z,1.000000,10.87,0.00,134.96,134.96,108.71
20,2025-10-07T06:37:13.000Z,1.379470,11.19,4.25,134.96,139.20,111.90
21,2025-10-10T06:12:35.000Z,1.016983,11.55,0.20,139.20,139.40,115.50
22,2025-10-13T00:09:56.000Z,0.926161,11.91,-0.88,139.40,138.52,119.12
23,2025-10-13T08:48:56.000Z,1.010964,12.28,0.13,138.52,138.65,122.81
24,2025-10-13T10:23:06.000Z,1.012169,12.65,0.15,138.65,138.81,126.49
25,2025-10-14T10:10:24.000Z,0.954561,13.02,-0.59,138.81,138.22,130.17
26,2025-10-20T22:43:42.000Z,1.000000,13.39,0.00,138.22,138.22,133.89
