tokenAddress,tokenName,tokenSymbol,caller,alertTime,alertDateTime,entryTime,exitTime,pnl,pnlPercent,holdDuration,entryPrice,exitPrice,athSinceCall,athSinceCallPercent,maxDrawdownFromEntry,maxDrawdownFromEntryPercent,timeToATH,hasOHLCV,strategy
BuySwFGZsPFDa8q9WcieW6esuqLcidy3XAJUbovkpjky,Token BuySwFGZ,BUY,davinch,2025-11-03T20:48:21.000+11:00,2025-11-03T20:48:21.000+11:00,2025-11-03T22:25:00.000+11:00,2025-11-04T20:48:21.000+11:00,1.0661240671964853,6.612406719648534,1343,0.00008244493041617366,0.00008789652453502228,0.00009454008825413755,20.31226874900589,0.000009256139750869833,11.227057508746478,11,1,MACD_Cross_5m_20pctTrail_24h
GPQWVskLkdTwRK61MUtUvUN83woXSNbGU27yZJT2pump,Token GPQWVskL,MON,davinch,2025-11-08T02:25:09.000+11:00,2025-11-08T02:25:09.000+11:00,2025-11-08T04:30:00.000+11:00,2025-11-09T02:25:09.000+11:00,0.8031239767793935,-19.68760232206065,1315,0.0000036991849428953667,0.0000029709041221805804,0.00009827751596342294,25.094832001050584,6.983285225694078e-7,18.877902385243363,4,1,MACD_Cross_5m_20pctTrail_24h
5weo14h7pxCa8x3dZQECiBGnWF4LtmiTMFCqRVuXpump,,,davinch,2025-11-11T01:20:22.000+11:00,2025-11-11T01:20:22.000+11:00,2025-11-11T03:25:00.000+11:00,2025-11-11T03:30:00.000+11:00,0.792015,-20.798499999999997,5,0.00003866118306067814,0.000030620236901803,0.00011083961855868714,176.46287854914976,0.00003185632039100778,82.39872106606197,4,1,MACD_Cross_5m_20pctTrail_24h
DuhWAVKwCtUG7juPqwRoczKS1LqDDEjN4cjoqUa8pump,,,davinch,2025-11-11T07:15:00.000+11:00,2025-11-11T07:15:00.000+11:00,2025-11-11T08:50:00.000+11:00,2025-11-11T08:50:00.000+11:00,0.8216862326435027,-17.83137673564973,0,0.0003213366696657973,0.0002640379175078987,0.00046195514443170954,1176.8405349967557,0.00029052805253144975,90.41235562489967,0,1,MACD_Cross_5m_20pctTrail_24h
DnfUH9aCQ5w5JvT2y9eJEVCoq2NenHBgoTXnYnc3pump,,,davinch,2025-11-11T23:49:06.000+11:00,2025-11-11T23:49:06.000+11:00,2025-11-12T01:35:00.000+11:00,2025-11-12T01:35:00.000+11:00,0.877887318529049,-12.211268147095101,0,0.000010055271110983008,0.000008827394992703485,0.000019791591344676064,136.73997737088288,0.000005579590528419351,55.489210254360685,0,1,MACD_Cross_5m_20pctTrail_24h
3z2tRjNuQjoq6UDcw4zyEPD1Eb5KXMPYb4GWFzVT1DPg,,,davinch,2025-11-12T09:24:25.000+11:00,2025-11-12T09:24:25.000+11:00,2025-11-12T11:15:00.000+11:00,2025-11-13T04:30:00.000+11:00,1.1625480970373872,16.254809703738715,1035,0.05229513196398502,0.060795606149049816,0.07676067517540679,51.34671712978125,0.006475417238370265,12.382447457690327,0,1,MACD_Cross_5m_20pctTrail_24h
Bw5ReHat74Fs67MYiKgvkZWfGZ1qBTCSKYn7c54spump,,,davinch,2025-11-17T18:39:52.000+11:00,2025-11-17T18:39:52.000+11:00,2025-11-17T20:10:00.000+11:00,2025-11-17T20:10:00.000+11:00,0.8032991466891809,-19.67008533108191,0,0.00009941306299822735,0.00007985842867623381,0.00013219265468164047,12.489508641156565,0.000052865145197117455,53.17726222564946,5,1,MACD_Cross_5m_20pctTrail_24h
7pXsYxptLKSUV6t66SvCAhhyvCeHjHos4qaSYUv6pump,,,davinch,2025-11-17T21:14:39.000+11:00,2025-11-17T21:14:39.000+11:00,2025-11-17T22:10:00.000+11:00,2025-11-17T22:40:00.000+11:00,0.7920150000000001,-20.798499999999986,30,0.00018178580913981863,0.00014397708762587348,0.00020401061294568967,4.773864861419375,0.0001323496480368622,72.80526937890234,0,1,MACD_Cross_5m_20pctTrail_24h
C8vxprrDPF2GwTg2hAvV3PpK7toKvKdhZ8iFaF8xpump,,,davinch,2025-11-19T06:06:53.000+11:00,2025-11-19T06:06:53.000+11:00,2025-11-19T07:50:00.000+11:00,2025-11-19T07:55:00.000+11:00,0.7987146679653214,-20.128533203467857,5,0.000009909994672068634,0.000007915258104039404,0.00007430148268448318,79.22940954162844,0.000007176004014763233,72.41178479125557,3,1,MACD_Cross_5m_20pctTrail_24h
