Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.95,8.01,13320.65,133.2065,635.22,4.62,27.96,4.7278,3.52,4.21,4.5494,Yes,0.85
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.95,7.87,12338.89,123.3889,588.40,4.62,26.80,4.5676,3.52,4.21,4.6602,Yes,0.85
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.80,7.88,12228.03,122.2803,583.12,4.62,27.86,4.3530,3.54,4.20,4.4902,Yes,0.85
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.80,7.73,11326.78,113.2678,540.14,4.62,26.69,4.2068,3.54,4.20,4.5998,Yes,0.85
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.95,7.59,10594.42,105.9442,505.22,4.62,26.10,4.0216,3.52,4.21,4.6168,Yes,0.85
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.95,7.66,10555.07,105.5507,510.05,4.68,28.28,3.6971,3.87,4.19,4.3003,Yes,0.8
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.95,7.53,10281.75,102.8175,490.31,4.62,25.31,4.0223,3.52,4.21,4.7203,Yes,0.85
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.20,7.61,10232.49,102.3249,487.96,4.62,27.88,3.6349,3.65,4.14,4.3313,Yes,0.85
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.20,7.61,10232.49,102.3249,487.96,4.62,27.88,3.6349,3.65,4.14,4.3313,No,0.8
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.20,7.61,10232.49,102.3249,487.96,4.62,27.88,3.6349,3.65,4.14,4.3313,Yes,0.8
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.80,7.47,9833.30,98.3330,468.92,4.62,26.02,3.7400,3.54,4.20,4.5590,Yes,0.85
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.95,7.51,9774.98,97.7498,472.35,4.68,27.12,3.5672,3.87,4.19,4.3972,Yes,0.8
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.80,7.52,9604.87,96.0487,464.13,4.68,28.19,3.3721,3.91,4.17,4.2324,No,0.8
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.80,7.52,9604.87,96.0487,464.13,4.68,28.19,3.3721,3.91,4.17,4.2324,Yes,0.8
PT1.5-2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.80,7.41,9507.22,95.0722,453.37,4.62,25.23,3.7291,3.54,4.20,4.6601,Yes,0.85
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.20,7.46,9478.33,94.7833,451.99,4.62,26.70,3.5123,3.65,4.14,4.4340,No,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.20,7.46,9478.33,94.7833,451.99,4.62,26.70,3.5123,3.65,4.14,4.4340,Yes,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.20,7.46,9478.33,94.7833,451.99,4.62,26.70,3.5123,3.65,4.14,4.4340,Yes,0.85
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.95,7.49,9419.93,94.1993,455.19,4.68,28.46,3.2748,4.04,4.18,4.1772,No,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.80,7.37,8895.01,88.9501,429.83,4.68,27.03,3.2543,3.91,4.17,4.3275,No,0.8
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.80,7.37,8895.01,88.9501,429.83,4.68,27.03,3.2543,3.91,4.17,4.3275,Yes,0.8
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.95,7.34,8722.21,87.2221,421.47,4.68,27.31,3.1572,4.04,4.18,4.2672,No,0.8
PT1.5_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.95,7.24,8391.04,83.9104,405.48,4.68,26.43,3.1373,3.87,4.19,4.3465,Yes,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.20,7.20,8228.57,82.2857,392.40,4.62,26.04,3.1220,3.65,4.14,4.3894,No,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.20,7.20,8228.57,82.2857,392.40,4.62,26.04,3.1220,3.65,4.14,4.3894,Yes,0.8
PT1.5_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.20,7.20,8228.57,82.2857,392.40,4.62,26.04,3.1220,3.65,4.14,4.3894,Yes,0.85
PT1.5-2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.95,7.17,8143.02,81.4302,393.49,4.68,25.65,3.1351,3.87,4.19,4.4388,Yes,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.20,7.13,7955.70,79.5570,379.38,4.62,25.24,3.1127,3.65,4.14,4.4851,No,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.20,7.13,7955.70,79.5570,379.38,4.62,25.24,3.1127,3.65,4.14,4.4851,Yes,0.8
PT1.5-2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,666,51.20,7.13,7955.70,79.5570,379.38,4.62,25.24,3.1127,3.65,4.14,4.4851,Yes,0.85
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,666,51.80,7.11,7720.75,77.2075,373.09,4.68,26.37,2.8902,3.91,4.17,4.2796,No,0.8
PT1.5_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,666,51.80,7.11,7720.75,77.2075,373.09,4.68,26.37,2.8902,3.91,4.17,4.2796,Yes,0.8
