Strategy,WeekStart,Trades,PortfolioStart,PortfolioEnd,ReturnPercent,Multiplier
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-14,22,100.00,113.01,13.01,1.1301
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-21,56,113.01,169.25,49.76,1.4976
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-28,55,169.25,212.86,25.77,1.2577
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-04,85,212.86,388.39,82.46,1.8246
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-11,54,388.39,611.66,57.48,1.5748
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-18,55,611.66,838.50,37.09,1.3709
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-25,45,838.50,1173.72,39.98,1.3998
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-01,38,1173.72,1439.11,22.61,1.2261
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-08,59,1439.11,1479.29,2.79,1.0279
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,38,1479.29,2040.27,37.92,1.3792
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,28,2040.27,4210.47,106.37,2.0637
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,25,4210.47,5449.31,29.42,1.2942
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,31,5449.31,10133.92,85.97,1.8597
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,26,10133.92,12308.38,21.46,1.2146
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,21,12308.38,12318.19,0.08,1.0008
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,26,12318.19,13324.76,8.17,1.0817
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,13324.76,13320.65,-0.03,0.9997
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-14,22,100.00,113.01,13.01,1.1301
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-21,56,113.01,169.25,49.76,1.4976
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-28,55,169.25,212.86,25.77,1.2577
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-04,85,212.86,388.39,82.46,1.8246
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-11,54,388.39,611.66,57.48,1.5748
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-18,55,611.66,794.59,29.91,1.2991
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-25,45,794.59,1112.26,39.98,1.3998
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-01,38,1112.26,1363.75,22.61,1.2261
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-08,59,1363.75,1401.82,2.79,1.0279
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,38,1401.82,1933.43,37.92,1.3792
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,28,1933.43,3942.86,103.93,2.0393
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,25,3942.86,5102.97,29.42,1.2942
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,31,5102.97,9387.02,83.95,1.8395
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,26,9387.02,11401.22,21.46,1.2146
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,21,11401.22,11410.31,0.08,1.0008
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,26,11410.31,12342.69,8.17,1.0817
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,12342.69,12338.89,-0.03,0.9997
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-14,22,100.00,113.01,13.01,1.1301
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-21,56,113.01,169.25,49.76,1.4976
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-07-28,55,169.25,212.86,25.77,1.2577
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-04,85,212.86,388.39,82.46,1.8246
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-11,54,388.39,611.66,57.48,1.5748
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-18,55,611.66,838.50,37.09,1.3709
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-08-25,45,838.50,1173.72,39.98,1.3998
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-01,38,1173.72,1439.11,22.61,1.2261
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-08,59,1439.11,1479.29,2.79,1.0279
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,38,1479.29,2040.27,37.92,1.3792
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,28,2040.27,4210.47,106.37,2.0637
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,25,4210.47,5002.33,18.81,1.1881
