Strategy,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,PnL,PnLPercent,MaxReached,MaxGainPercent,TokenMaxDrawdownPercent,HoldDurationHours
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,FRFnJw7CpAjvV7xHbCxLsTCBach5DKkoCRxnPb89bonk,2025-07-18T14:50:51.000Z,2025-07-19T17:00:00.000+10:00,2025-07-19T18:00:00.000+10:00,0.00000653,1.0862,8.62,1.2856,28.56,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,2025-07-18T16:26:39.000Z,2025-07-19T12:00:00.000+10:00,2025-07-19T13:00:00.000+10:00,0.00040093,1.2741,27.41,1.4157,41.57,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,2025-07-18T17:10:12.000Z,2025-07-19T12:00:00.000+10:00,2025-07-19T13:00:00.000+10:00,0.00040093,1.2741,27.41,1.4157,41.57,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,3pqL1GCZeSszT22SxnViRL3EjDojXKGygWbLnkquRkCm,2025-07-18T19:47:22.000Z,2025-07-19T22:00:00.000+10:00,2025-07-19T23:00:00.000+10:00,0.00012200,0.8809,-11.91,1.1255,12.55,11.91,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,3pqL1GCZeSszT22SxnViRL3EjDojXKGygWbLnkquRkCm,2025-07-18T20:04:46.000Z,2025-07-19T22:00:00.000+10:00,2025-07-19T23:00:00.000+10:00,0.00012200,0.8809,-11.91,1.1255,12.55,11.91,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,2025-07-18T22:47:32.000Z,2025-07-19T18:00:00.000+10:00,2025-07-19T20:00:00.000+10:00,0.00167905,1.0194,1.94,1.2080,20.80,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,FvBJS4xPWLsjuoCiafXu4GR15YGiKpNHhJpXEm7bonk,2025-07-19T00:59:31.000Z,2025-07-20T05:00:00.000+10:00,2025-07-20T06:00:00.000+10:00,0.00003579,1.2272,22.72,1.2193,21.93,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,4ZVCJdxrbWLWKFFAZqqphyNBUhPE7YpnHWXvFuKkbonk,2025-07-19T07:06:49.000Z,2025-07-21T03:00:00.000+10:00,2025-07-21T05:00:00.000+10:00,0.00000687,0.9941,-0.59,1.0041,0.41,0.59,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,935zJVrrhH5j2fBjq9zSj9mrSKhDuLGQfhp1QNRBbonk,2025-07-19T08:26:51.000Z,2025-07-20T15:00:00.000+10:00,2025-07-20T17:00:00.000+10:00,0.00000536,1.0143,1.43,1.0000,0.00,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,EuU9Vh37eKDdUnZkUfMZLGCcBqwFYpr1E6X3ZwUxhvgm,2025-07-19T08:34:53.000Z,2025-07-20T14:00:00.000+10:00,2025-07-20T16:00:00.000+10:00,0.00102601,1.2302,23.02,1.0716,7.16,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,CtG9JmXZxHNbBks1crFRSX1dM6L2R8trqn6XuTr1sh2q,2025-07-19T10:39:40.000Z,2025-07-21T17:00:00.000+10:00,2025-07-22T04:00:00.000+10:00,0.00000738,1.0104,1.04,1.0525,5.25,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,HHM5XfhBa3Arm6xvRqH2jHVJCFWmVBTYjUbf9wKJbonk,2025-07-19T10:42:00.000Z,2025-07-21T18:00:00.000+10:00,2025-07-21T19:00:00.000+10:00,0.00001543,0.9659,-3.41,1.0240,2.40,3.41,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,5SjXToyuAECn5rfkSvrukqiefwZsBpireRtUMaSoq8M1,2025-07-19T11:50:14.000Z,2025-07-20T10:00:00.000+10:00,2025-07-20T11:00:00.000+10:00,0.00002032,1.0020,0.20,1.0060,0.60,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,BDWvvvKUS9c3C4Rz1w9tk5uD519CzD2f6n7zBk2Bbonk,2025-07-19T13:22:07.000Z,2025-07-21T01:00:00.000+10:00,2025-07-21T03:00:00.000+10:00,0.00163814,0.8500,-15.00,1.0005,0.05,15.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,BDWvvvKUS9c3C4Rz1w9tk5uD519CzD2f6n7zBk2Bbonk,2025-07-19T15:41:12.000Z,2025-07-21T01:00:00.000+10:00,2025-07-21T03:00:00.000+10:00,0.00163814,0.8500,-15.00,1.0005,0.05,15.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,DRTxSx7s5WQxa1t7u6uHtqjnEKqS6Na8ZoCPoLc4bonk,2025-07-19T17:15:21.000Z,2025-07-20T14:00:00.000+10:00,2025-07-20T19:00:00.000+10:00,0.00000690,1.2232,22.32,1.3591,35.91,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,12XvRbmvA3AY8La3brnQGcMR5HBp7Cn3Fxc5kKiQ86FY,2025-07-19T19:55:25.000Z,2025-07-20T17:00:00.000+10:00,2025-07-20T20:00:00.000+10:00,0.00077170,1.2329,23.29,1.3699,36.99,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,BDWvvvKUS9c3C4Rz1w9tk5uD519CzD2f6n7zBk2Bbonk,2025-07-19T20:56:22.000Z,2025-07-23T19:00:00.000+10:00,2025-07-23T21:00:00.000+10:00,0.00143176,1.0489,4.89,1.0004,0.04,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,12XvRbmvA3AY8La3brnQGcMR5HBp7Cn3Fxc5kKiQ86FY,2025-07-20T10:15:18.000Z,2025-07-21T17:00:00.000+10:00,2025-07-21T18:00:00.000+10:00,0.00002693,0.9804,-1.96,1.0192,1.92,1.96,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,A9kWRELkvAZeFkKuj6abgacakH9rLDzhqSaEh2Rjbonk,2025-07-20T12:52:28.000Z,2025-07-21T14:00:00.000+10:00,2025-07-21T19:00:00.000+10:00,0.00000426,1.0920,9.20,1.2565,25.65,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,2025-07-20T12:53:20.000Z,2025-07-21T17:00:00.000+10:00,2025-07-21T19:00:00.000+10:00,0.00385459,1.0120,1.20,1.0790,7.90,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,LarJmR9bQNUGUNPWaQ2tb6KrBT5DYMtpuuL9W7ELg5w,2025-07-20T12:56:43.000Z,2025-07-22T10:00:00.000+10:00,2025-07-22T12:00:00.000+10:00,0.00000505,1.0996,9.96,1.0000,0.00,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,9AtRdmYjQ4zGz7YBFcJeLEeF3rh464vqCbQLgqB7bonk,2025-07-20T14:21:46.000Z,2025-07-21T20:00:00.000+10:00,2025-07-21T22:00:00.000+10:00,0.00000795,1.0954,9.54,1.0000,0.00,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,4ZJf38dnj9ENz62uCG4E15RbmHi6ZQdQkXp9gEw9bonk,2025-07-20T16:46:45.000Z,2025-07-22T01:00:00.000+10:00,2025-07-22T02:00:00.000+10:00,0.00000684,1.0813,8.13,1.0000,0.00,0.00,0.00
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,HjsZ73QxNbXoUnyXXffoXn6kHUKQqdy6GXd4J1N4shot,2025-07-20T21:08:14.000Z,2025-07-21T22:15:00.000+10:00,2025-07-21T23:20:00.000+10:00,0.00155657,1.0407,4.07,1.0029,0.29,0.00,0.00
