Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,No,0.8
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.8
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.85
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.85
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.85
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,No,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.8
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.85
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.85
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,70,54.29,15.08,250.69,2.5069,15.34,5.82,51.91,0.0290,3.14,1.14,4.6100,Yes,0.85
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_NoClamp,70,54.29,14.74,245.14,2.4514,15.57,6.00,52.12,0.0278,3.47,1.13,4.4905,No,0.8
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp80,70,54.29,14.74,245.14,2.4514,15.57,6.00,52.12,0.0278,3.47,1.13,4.4905,Yes,0.8
