Strategy,WeekStart,Trades,PortfolioStart,PortfolioEnd,ReturnPercent,Multiplier
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp80,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2-3_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,7,103.70,109.66,5.75,1.0575
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-06,10,109.66,193.42,76.38,1.7638
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-13,17,193.42,224.27,15.95,1.1595
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-20,12,224.27,258.21,15.13,1.1513
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-10-27,10,258.21,252.67,-2.15,0.9785
PT2-3_SL20_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-11-03,2,252.67,250.69,-0.79,0.9921
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-15,6,100.00,100.29,0.29,1.0029
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-22,6,100.29,103.70,3.40,1.0340
PT2-3_SL25_TS10@1.3_NoExitCross_KijunSL_Clamp85,2025-09-29,7,103.70,109.66,5.75,1.0575
