TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-19T13:14:28.000Z,1.000000,10.00,0.00,100.00,100.00,100.00
2,2025-07-20T14:16:35.000Z,1.037060,10.00,0.37,100.00,100.37,100.00
3,2025-07-21T11:10:43.000Z,0.959631,10.01,-0.40,100.37,99.97,100.12
4,2025-07-22T13:25:38.000Z,0.830240,10.01,-1.70,99.97,98.27,100.08
5,2025-07-22T16:30:19.000Z,1.000000,9.97,0.00,98.27,98.27,99.72
6,2025-07-22T20:04:34.000Z,1.002241,9.95,0.02,98.27,98.29,99.48
7,2025-07-23T07:46:57.000Z,1.006154,9.93,0.06,98.29,98.35,99.31
8,2025-07-26T08:27:57.000Z,1.085434,9.92,0.85,98.35,99.20,99.19
9,2025-07-26T18:22:35.000Z,0.800000,9.92,-1.98,99.20,97.21,99.19
10,2025-07-26T20:59:18.000Z,1.283381,9.90,2.81,97.21,100.02,98.99
11,2025-07-26T21:22:41.000Z,0.948595,9.90,-0.51,100.02,99.51,98.99
12,2025-07-27T15:26:29.000Z,1.013952,9.89,0.14,99.51,99.65,98.95
13,2025-07-27T19:02:49.000Z,1.016715,9.89,0.17,99.65,99.81,98.87
14,2025-07-28T10:51:59.000Z,0.931203,9.89,-0.68,99.81,99.13,98.86
15,2025-07-28T10:52:10.000Z,1.007273,9.89,0.07,99.13,99.21,98.94
16,2025-07-30T00:27:19.000Z,1.000000,9.90,0.00,99.21,99.21,99.04
17,2025-08-01T13:52:05.000Z,0.904195,9.91,-0.95,99.21,98.26,99.13
18,2025-08-03T11:32:17.000Z,1.009339,9.91,0.09,98.26,98.35,99.12
19,2025-08-03T12:11:46.000Z,0.966813,9.90,-0.33,98.35,98.02,99.04
20,2025-08-03T15:03:27.000Z,1.236878,9.91,2.35,98.02,100.37,99.12
21,2025-08-03T20:55:21.000Z,1.136619,9.92,1.35,100.37,101.72,99.15
22,2025-08-04T13:52:23.000Z,1.140421,9.94,1.40,101.72,103.12,99.37
23,2025-08-04T15:52:26.000Z,0.986916,9.97,-0.13,103.12,102.99,99.72
24,2025-08-04T17:36:39.000Z,0.940067,10.00,-0.60,102.99,102.39,100.04
25,2025-08-04T19:38:26.000Z,1.115868,10.04,1.16,102.39,103.55,100.36
26,2025-08-05T07:36:15.000Z,1.242533,10.08,2.44,103.55,106.00,100.80
27,2025-08-05T14:07:53.000Z,2.258905,10.15,12.77,106.00,118.77,101.48
28,2025-08-08T00:20:31.000Z,1.337419,10.35,3.49,118.77,122.26,103.53
29,2025-08-08T08:10:53.000Z,1.443872,10.59,4.70,122.26,126.96,105.92
30,2025-08-10T09:11:07.000Z,0.928707,10.88,-0.78,126.96,126.19,108.81
31,2025-08-10T09:15:21.000Z,1.026631,11.14,0.30,126.19,126.49,111.40
32,2025-08-10T13:02:11.000Z,0.990048,11.39,-0.11,126.49,126.37,113.87
33,2025-08-10T22:44:54.000Z,0.805657,11.62,-2.26,126.37,124.11,116.20
34,2025-08-15T17:10:36.000Z,0.925689,11.83,-0.88,124.11,123.24,118.31
35,2025-08-18T00:55:52.000Z,1.447124,12.04,5.38,123.24,128.62,120.39
36,2025-08-18T03:10:44.000Z,0.978594,12.29,-0.26,128.62,128.36,122.90
37,2025-08-18T13:25:21.000Z,1.085093,12.51,1.06,128.36,129.42,125.14
38,2025-08-18T13:31:43.000Z,1.000000,12.62,0.00,129.42,129.42,126.20
39,2025-08-18T15:08:13.000Z,1.197589,12.69,2.51,129.42,131.93,126.92
40,2025-08-18T16:27:52.000Z,0.822611,12.74,-2.26,131.93,129.67,127.41
41,2025-08-19T16:26:53.000Z,0.800000,12.78,-2.56,129.67,127.11,127.76
42,2025-08-20T18:52:06.000Z,0.801233,12.78,-2.54,127.11,124.57,127.82
43,2025-08-20T19:58:23.000Z,0.800000,12.76,-2.55,124.57,122.02,127.64
44,2025-08-20T23:40:25.000Z,0.965239,12.74,-0.44,122.02,121.58,127.43
45,2025-08-24T08:31:31.000Z,1.172526,12.73,2.20,121.58,123.77,127.27
46,2025-09-02T22:13:51.000Z,1.072715,12.68,0.92,123.77,124.69,126.78
47,2025-09-07T19:44:05.000Z,1.037203,12.64,0.47,124.69,125.16,126.42
48,2025-09-07T23:08:12.000Z,0.800000,12.60,-2.52,125.16,122.64,125.99
49,2025-09-08T10:28:11.000Z,0.833313,12.53,-2.09,122.64,120.55,125.31
50,2025-09-15T17:53:32.000Z,0.965700,12.42,-0.43,120.55,120.13,124.18
51,2025-09-16T06:25:32.000Z,1.000000,12.32,0.00,120.13,120.13,123.22
52,2025-09-16T06:25:46.000Z,0.800000,12.25,-2.45,120.13,117.68,122.53
53,2025-09-16T10:19:40.000Z,0.961037,12.18,-0.47,117.68,117.20,121.84
54,2025-09-19T18:08:14.000Z,0.892194,12.14,-1.31,117.20,115.90,121.35
55,2025-10-04T12:33:00.000Z,0.842239,12.08,-1.91,115.90,113.99,120.79
56,2025-10-07T16:32:25.000Z,0.904130,11.98,-1.15,113.99,112.84,119.81
57,2025-10-18T06:50:16.000Z,1.137230,11.86,1.63,112.84,114.47,118.62
58,2025-10-18T15:15:01.000Z,1.004992,11.76,0.06,114.47,114.53,117.55
59,2025-10-21T14:00:27.000Z,0.917764,11.67,-0.96,114.53,113.57,116.74
60,2025-10-21T21:24:00.000Z,1.097272,11.60,1.13,113.57,114.70,116.04
61,2025-10-22T12:38:17.000Z,0.894672,11.55,-1.22,114.70,113.48,115.50
62,2025-10-22T12:38:27.000Z,1.024835,11.48,0.29,113.48,113.77,114.84
63,2025-10-24T23:17:09.000Z,0.988617,11.44,-0.13,113.77,113.64,114.44
64,2025-10-25T07:52:53.000Z,1.337531,11.41,3.85,113.64,117.49,114.09
65,2025-10-25T08:44:58.000Z,0.800000,11.42,-2.28,117.49,115.20,114.25
66,2025-10-26T16:17:53.000Z,1.000000,11.44,0.00,115.20,115.20,114.37
67,2025-10-26T16:31:15.000Z,1.173841,11.46,1.99,115.20,117.19,114.60
68,2025-10-27T13:39:53.000Z,1.000000,11.49,0.00,117.19,117.19,114.88
69,2025-10-27T16:01:26.000Z,0.953616,11.51,-0.53,117.19,116.66,115.14
70,2025-10-29T12:40:02.000Z,1.143851,11.55,1.66,116.66,118.32,115.45
