TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-08-17T17:57:42.000Z,0.990440,10.00,-0.10,100.00,99.90,100.00
2,2025-08-21T15:40:56.000Z,1.014413,10.00,0.14,99.90,100.05,99.95
3,2025-08-29T16:22:50.000Z,1.006296,10.00,0.06,100.05,100.11,99.98
4,2025-09-01T19:14:09.000Z,0.800000,10.00,-2.00,100.11,98.11,100.02
5,2025-09-03T18:03:47.000Z,0.973549,9.96,-0.26,98.11,97.85,99.64
6,2025-09-08T17:49:06.000Z,1.011080,9.93,0.11,97.85,97.96,99.34
7,2025-09-08T20:55:25.000Z,1.019715,9.91,0.20,97.96,98.15,99.14
8,2025-09-16T13:43:38.000Z,1.006531,9.90,0.06,98.15,98.22,99.02
9,2025-09-21T16:12:04.000Z,1.339369,9.89,3.36,98.22,101.58,98.93
10,2025-09-28T17:16:20.000Z,1.019689,9.92,0.20,101.58,101.77,99.19
11,2025-09-28T22:04:11.000Z,1.000000,9.94,0.00,101.77,101.77,99.37
12,2025-10-17T16:22:55.000Z,1.007101,9.96,0.07,101.77,101.84,99.56
