TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,9dEcM4kpKW7tupAA1Y4QVGVDhL6rwDrWZ3ogs7kpump,2025-08-17T17:57:42.000Z,2025-08-20T22:00:00.000+10:00,2025-08-21T00:00:00.000+10:00,0.990440,-0.96,1.0001,120,No
2,7Y2GHg1Zq3SWxYkVceNrL6cEbZpHbsxccCujmuG6pump,2025-08-21T15:40:56.000Z,2025-08-24T04:00:00.000+10:00,2025-08-24T06:00:00.000+10:00,1.014413,1.44,1.0000,120,Yes
3,8eBC3qdRcvGfRnPEmcbFacPUxfhCtSyT2n2gZ21apump,2025-08-29T16:22:50.000Z,2025-09-01T09:00:00.000+10:00,2025-09-01T11:00:00.000+10:00,1.006296,0.63,1.0000,120,Yes
4,ERYH7V18RFsXhq7XGbojkpamb5dw6Qyto4kd1Ripump,2025-09-01T19:14:09.000Z,2025-09-03T10:00:00.000+10:00,2025-09-03T11:00:00.000+10:00,0.800000,-20.00,1.0364,60,No
5,ZYtQxEH4Gyh9u9R213dqnJHGCAHe2e8nrA2BUAspump,2025-09-03T18:03:47.000Z,2025-09-08T04:00:00.000+10:00,2025-09-09T07:00:00.000+10:00,0.973549,-2.65,1.1832,1620,No
6,7DXzLYEtqBfXoH2J2v4ARREJ1AFy2vbXNG2Rsh41pump,2025-09-08T17:49:06.000Z,2025-09-12T18:00:00.000+10:00,2025-09-12T21:00:00.000+10:00,1.011080,1.11,1.0575,180,Yes
7,4o5AVC5TSY4dTh3Um2gAGKjmuiYgnU3GrfgFt4EMpump,2025-09-08T20:55:25.000Z,2025-09-10T22:00:00.000+10:00,2025-09-12T10:00:00.000+10:00,1.019715,1.97,1.0275,2160,Yes
8,2EGCLgaYWgR29Qi9kQUdEdua9nVk9LgzJMYcFv93pump,2025-09-16T13:43:38.000Z,2025-09-18T10:00:00.000+10:00,2025-09-19T13:00:00.000+10:00,1.006531,0.65,1.0248,1620,Yes
9,HnqygYrhBfFMKTME8G5migrsNHA8MJ3Hhiuk5UqQpump,2025-09-21T16:12:04.000Z,2025-09-22T17:00:00.000+10:00,2025-09-22T19:00:00.000+10:00,1.339369,33.94,1.1656,120,Yes
10,Ghrcrh9YgyU6baT3Wt5XNiQ7UXWNNYSZMEuCcauspump,2025-09-28T17:16:20.000Z,2025-10-02T01:00:00.000+10:00,2025-10-02T03:00:00.000+10:00,1.019689,1.97,1.0000,120,Yes
11,DFzQDzWZA1CuUdCptQ1kf3XbyZ8cLgmLyuWRxmfwpump,2025-09-28T22:04:11.000Z,2025-09-30T19:00:00.000+10:00,2025-10-01T08:00:00.000+10:00,1.000000,0.00,1.0000,780,No
12,SAK6z7cDBWZ6GNMHMMMcRYv46ANHiwzGWrkqjsLpump,2025-10-17T16:22:55.000Z,2025-10-18T15:00:00.000+11:00,2025-10-18T16:00:00.000+11:00,1.007101,0.71,1.0000,60,Yes
